#Date,JD(TCB),averagemag
2014-08-16 12:48:18,2456886.03354,18.12
2014-08-16 18:48:38,2456886.28377,17.92
2014-08-17 00:48:28,2456886.53366,18.09
2014-08-17 02:35:04,2456886.60769,18.13
2014-08-17 06:48:57,2456886.78399,17.63
2014-08-17 08:35:15,2456886.85781,18.05
2014-08-17 12:49:18,2456887.03424,17.99
2014-08-17 14:35:36,2456887.10806,17.9
2014-08-17 18:49:06,2456887.2841,17.59
2014-08-17 20:35:59,2456887.35832,16.93
2014-08-18 00:49:27,2456887.53434,16.27
2014-08-18 06:49:40,2456887.78449,16.03
2014-08-18 08:36:34,2456887.85873,16.02
2014-08-18 12:49:59,2456888.03471,16.08
2014-08-18 14:36:44,2456888.10884,16.13
2014-08-18 18:50:28,2456888.28505,16.25
2014-08-18 20:37:07,2456888.35911,16.32
2014-08-19 00:50:30,2456888.53507,16.51
2014-08-19 02:36:54,2456888.60896,16.6
2014-08-19 06:50:45,2456888.78524,16.78
2014-08-19 08:37:14,2456888.85919,16.86
2014-08-19 12:50:46,2456889.03525,17.05
2014-08-19 14:37:50,2456889.10961,17.16
2014-08-19 18:51:21,2456889.28566,17.31
2014-08-19 20:37:51,2456889.35962,17.37
2014-08-20 02:37:50,2456889.60961,17.5
2014-08-20 08:38:13,2456889.85987,17.64
2014-08-23 06:54:50,2456892.78808,18.21
2014-10-05 23:39:25,2456936.48571,18.28
2014-11-06 15:34:28,2456968.14894,17.96
2014-11-06 17:21:14,2456968.22308,18.14
2014-12-07 11:01:53,2456998.95964,14.86
2015-02-04 04:15:57,2457057.67774,18.28
2015-02-04 08:29:32,2457057.85384,17.74
2015-04-04 13:32:48,2457117.06444,14.96
