#Date,JD(TCB),averagemag
2014-08-21 06:29:56,2456890.77079,18.29
2014-08-21 08:16:35,2456890.84485,18.3
2014-08-21 12:30:27,2456891.02115,18.32
2014-08-21 14:16:43,2456891.09494,18.27
2014-08-21 18:30:29,2456891.27117,18.28
2014-08-21 20:17:17,2456891.34534,18.3
2014-08-22 00:30:58,2456891.5215,18.33
2014-08-22 02:17:21,2456891.59538,18.3
2014-08-22 08:17:37,2456891.84557,18.27
2014-08-22 14:17:34,2456892.09553,17.61
2014-08-23 02:18:33,2456892.59622,17.56
2014-08-23 06:31:54,2456892.77215,17.6
2014-09-17 14:23:48,2456918.09986,17.92
2014-10-12 09:45:09,2456942.90635,17.78
2014-10-12 11:31:24,2456942.98014,17.83
2014-10-12 15:45:09,2456943.15635,17.87
2014-11-04 03:53:24,2456965.66208,18.31
2014-11-04 05:40:14,2456965.73627,17.61
2015-01-13 21:00:22,2457036.37525,18.02
2015-01-13 22:46:39,2457036.44906,18.03
2015-02-05 14:52:42,2457059.11993,17.62
2015-02-05 16:39:32,2457059.19412,17.61
2015-03-18 01:37:43,2457099.56786,18.11
2015-03-18 03:24:01,2457099.64168,18.11
2015-03-31 01:43:28,2457112.57185,18.17
2015-03-31 03:30:18,2457112.64604,18.2
