#Date,JD(TCB),averagemag
2014-09-08 08:36:43,2456908.85883,18.98
2014-09-08 12:50:35,2456909.03513,19.37
2014-09-08 14:36:52,2456909.10894,19.34
2014-09-08 18:50:30,2456909.28507,19.36
2014-09-08 20:37:22,2456909.35928,19.36
2014-09-09 00:50:49,2456909.53529,19.41
2014-09-09 02:37:20,2456909.60926,19.3
2014-09-09 06:51:05,2456909.78547,19.34
2014-09-09 08:37:22,2456909.85928,19.39
2014-09-09 12:51:07,2456910.0355,19.46
2014-09-09 14:37:57,2456910.10969,19.31
2014-09-09 18:51:42,2456910.2859,19.43
2014-09-09 20:37:57,2456910.35969,19.32
2014-09-10 02:38:24,2456910.61,19.36
2014-09-10 06:51:44,2456910.78593,19.39
2014-09-10 08:38:32,2456910.86009,19.31
2014-09-10 12:52:26,2456911.03641,19.2
2014-09-10 14:38:40,2456911.11019,19.4
2014-09-10 18:52:32,2456911.28648,19.46
2014-09-10 20:39:13,2456911.36057,19.47
2014-09-11 02:39:15,2456911.61059,19.4
2014-09-11 06:53:02,2456911.78683,19.65
2014-09-11 08:39:42,2456911.8609,19.31
2014-09-11 14:39:54,2456912.11104,19.32
2014-09-11 20:39:39,2456912.36087,19.42
2014-09-12 02:39:55,2456912.61105,19.26
2014-09-12 06:53:39,2456912.78726,19.38
2014-09-12 08:40:13,2456912.86126,19.07
2014-09-12 12:54:04,2456913.03755,19.24
2014-09-12 14:40:50,2456913.11169,18.16
2014-09-12 20:40:54,2456913.36174,18.45
2014-09-13 00:54:39,2456913.53795,19.09
2014-09-13 02:41:08,2456913.6119,19.33
2014-09-13 06:54:39,2456913.78795,19.46
2014-09-13 08:41:13,2456913.86196,19.36
2014-09-13 12:54:54,2456914.03813,19.26
2014-09-13 14:41:44,2456914.11231,19.23
2014-09-13 18:55:04,2456914.28824,19.42
2014-09-13 20:41:53,2456914.36242,19.37
2014-09-14 00:55:12,2456914.53833,19.38
2014-09-14 02:42:16,2456914.61269,19.31
2014-09-14 06:55:47,2456914.78874,19.33
2014-09-14 08:42:14,2456914.86266,19.35
2014-09-14 14:42:30,2456915.11285,19.27
2014-10-17 11:55:23,2456947.99679,19.37
2014-10-17 16:08:43,2456948.17272,19.31
2014-11-11 10:09:28,2456972.92324,19.36
2014-11-11 11:56:18,2456972.99743,19.38
2015-01-18 08:51:28,2457040.86907,19.4
2015-01-18 10:38:00,2457040.94306,19.36
2015-01-31 08:57:07,2457053.873,19.4
2015-01-31 10:43:57,2457053.94719,19.44
2015-03-18 13:16:13,2457100.05293,19.45
2015-03-18 15:02:42,2457100.12688,19.45
2015-03-18 19:16:10,2457100.30289,19.41
2015-03-18 21:03:12,2457100.37722,19.49
2015-03-25 03:07:56,2457106.63051,19.55
