#Date,JD(TCB),averagemag
2014-08-15 12:20:40,2456885.01435,20.0
2014-08-15 14:07:33,2456885.08858,19.94
2014-08-15 18:20:51,2456885.26448,20.24
2014-08-15 20:07:43,2456885.33869,19.88
2014-08-16 00:21:16,2456885.51477,20.0
2014-08-16 02:08:05,2456885.58895,20.09
2014-08-16 06:21:32,2456885.76495,20.05
2014-08-16 08:07:49,2456885.83876,19.96
2014-08-16 14:08:09,2456886.08899,19.95
2014-08-24 18:29:57,2456894.2708,20.08
2014-08-24 20:16:33,2456894.34483,19.89
2014-09-15 18:39:33,2456916.27747,19.04
2014-09-15 20:25:58,2456916.35137,19.05
2014-09-16 00:39:47,2456916.52763,19.03
2014-09-16 02:26:15,2456916.60156,19.13
2014-10-14 21:49:28,2456945.40935,19.36
2014-10-14 23:36:02,2456945.48336,19.41
2014-11-05 03:59:06,2456966.66604,19.95
2014-11-05 05:45:36,2456966.74,19.98
2015-02-05 02:56:41,2457058.6227,20.06
2015-03-19 01:34:06,2457100.56535,19.38
2015-03-19 03:20:59,2457100.63957,19.21
2015-03-29 03:26:52,2457110.64366,19.58
2015-03-29 07:40:35,2457110.81985,19.77
2015-03-29 09:27:33,2457110.89413,19.79
