#Date,JD(TCB),averagemag
2014-09-11 19:46:42,2456912.3241,20.17
2014-10-07 04:51:42,2456937.70257,20.05
2014-10-07 09:05:25,2456937.87876,20.07
2014-10-07 10:51:59,2456937.95277,20.1
2014-10-07 15:05:41,2456938.12895,20.13
2014-10-07 16:52:15,2456938.20295,20.11
2014-10-07 21:05:30,2456938.37882,20.04
2014-10-07 22:52:15,2456938.45295,20.12
2014-10-08 03:05:45,2456938.62899,20.12
2014-10-08 04:52:35,2456938.70318,20.19
2014-10-08 09:06:30,2456938.87951,20.09
2014-10-08 10:52:45,2456938.9533,20.06
2014-10-08 15:06:30,2456939.12951,20.03
2014-10-08 16:53:20,2456939.2037,19.94
2014-10-08 21:06:43,2456939.37966,19.87
2014-10-08 22:53:16,2456939.45366,17.94
2014-10-09 03:07:11,2456939.62999,18.02
2014-10-09 04:53:20,2456939.7037,18.14
2014-10-09 09:07:19,2456939.88008,18.32
2014-10-09 10:53:56,2456939.95412,17.92
2014-10-09 15:07:25,2456940.13015,19.51
2014-10-09 16:54:02,2456940.20419,19.41
2014-10-09 21:07:29,2456940.3802,20.03
2014-10-09 22:54:01,2456940.45418,19.94
2014-10-10 03:08:00,2456940.63056,20.26
2014-10-10 04:54:15,2456940.70434,20.2
2014-10-10 09:07:51,2456940.88045,20.18
2014-10-10 10:54:40,2456940.95463,20.1
2014-10-10 15:08:23,2456941.13082,20.23
2014-10-10 16:55:12,2456941.205,20.15
2014-10-10 21:08:49,2456941.38112,20.07
2014-10-10 22:55:15,2456941.45503,20.02
2014-10-11 04:55:16,2456941.70505,20.21
2014-10-11 10:55:21,2456941.9551,20.04
2014-10-11 16:55:54,2456942.20549,20.1
2014-10-11 22:56:11,2456942.45568,20.02
2015-01-11 15:32:01,2457034.14723,20.03
2015-01-11 17:18:18,2457034.22104,20.16
2015-02-13 16:53:03,2457067.20351,20.11
2015-02-13 21:06:28,2457067.37949,20.13
2015-03-24 02:13:59,2457105.59304,20.11
2015-04-03 10:06:47,2457115.92138,20.08
