#Date,JD(TCB),averagemag
2014-08-07 18:05:52,2456877.25407,20.22
2014-08-07 19:52:21,2456877.32802,20.03
2014-08-08 00:06:19,2456877.50439,20.14
2014-08-08 01:52:25,2456877.57807,20.07
2014-08-08 06:06:07,2456877.75425,20.14
2014-08-08 07:52:48,2456877.82833,19.84
2014-08-08 13:53:21,2456878.07872,20.01
2014-08-30 02:16:27,2456899.59476,19.92
2014-08-30 08:16:32,2456899.84481,19.79
2014-08-30 12:30:25,2456900.02112,19.72
2014-09-09 06:38:51,2456909.77698,19.23
2014-09-09 08:25:08,2456909.85079,19.2
2014-09-09 12:38:53,2456910.027,19.22
2014-09-09 14:25:08,2456910.10079,19.2
2014-09-09 18:38:53,2456910.277,19.14
2014-09-10 00:39:30,2456910.52743,18.9
2014-09-10 02:26:10,2456910.6015,19.25
2014-10-19 09:59:00,2456949.91597,19.39
2014-10-19 11:45:16,2456949.98977,19.47
2014-11-06 22:08:36,2456968.42264,20.06
2014-11-06 23:55:36,2456968.49694,19.62
2015-01-17 03:01:55,2457039.62633,19.58
2015-02-03 21:03:30,2457057.37743,20.29
2015-02-03 22:50:01,2457057.4514,19.98
2015-05-11 00:05:09,2457153.50358,20.17
