#Date,JD(TCB),averagemag
2014-08-14 00:23:28,2456883.5163,19.15
2014-08-14 02:10:01,2456883.59029,19.21
2014-08-14 06:23:34,2456883.76637,19.17
2014-08-14 08:09:58,2456883.84025,19.2
2014-08-14 12:24:06,2456884.01674,19.23
2014-08-14 14:10:30,2456884.09063,19.19
2014-08-14 18:23:56,2456884.26662,19.2
2014-08-14 20:10:55,2456884.34091,19.18
2014-08-15 00:24:10,2456884.51678,19.17
2014-08-15 02:10:46,2456884.59081,19.17
2014-08-24 18:33:54,2456894.27354,19.22
2014-08-24 20:20:37,2456894.34765,19.24
2014-09-18 00:41:28,2456918.5288,19.07
2014-09-18 02:28:02,2456918.6028,19.17
2014-10-12 21:49:21,2456943.40927,18.86
2014-10-12 23:35:53,2456943.48325,18.87
2014-10-13 03:49:45,2456943.65955,18.87
2014-11-05 21:56:06,2456967.41396,19.15
2014-11-05 23:42:35,2456967.48791,19.14
2014-12-12 09:31:12,2457003.89667,19.16
2015-02-04 16:38:42,2457058.19354,19.18
2015-03-17 13:33:31,2457099.06494,19.19
2015-03-17 15:19:37,2457099.13862,19.13
2015-03-30 13:39:20,2457112.06898,19.12
