#Date,JD(TCB),averagemag
2014-08-16 18:11:01,2456886.25765,18.05
2014-08-16 19:57:24,2456886.33153,18.05
2014-08-17 00:11:18,2456886.50785,18.01
2014-08-17 01:57:24,2456886.58153,18.06
2014-08-17 06:11:00,2456886.75764,18.04
2014-08-17 07:57:53,2456886.83186,18.05
2014-08-17 12:11:20,2456887.00787,17.47
2014-08-17 13:58:13,2456887.08209,17.48
2014-08-25 14:06:09,2456895.0876,18.06
2014-08-25 18:19:35,2456895.2636,17.97
2014-08-25 20:06:13,2456895.33765,18.02
2014-08-26 00:19:58,2456895.51387,18.04
2014-09-07 12:30:02,2456908.02086,17.52
2014-09-07 14:16:29,2456908.09478,17.54
2014-09-07 18:30:15,2456908.27101,17.5
2014-09-07 20:16:50,2456908.34502,17.56
2014-09-08 02:16:45,2456908.59497,17.53
2014-10-24 05:44:47,2456954.73943,17.93
2014-10-24 09:58:26,2456954.91558,17.94
2014-10-24 11:45:28,2456954.98991,17.94
2014-10-24 15:59:07,2456955.16605,17.94
2014-10-24 17:45:34,2456955.23998,17.97
2014-10-24 21:59:13,2456955.41612,17.96
2014-10-24 23:45:38,2456955.49002,17.97
2014-10-25 03:59:11,2456955.6661,17.97
2014-10-25 09:59:37,2456955.9164,17.97
2014-11-01 10:05:26,2456962.92044,18.01
2014-11-01 11:52:11,2456962.99457,17.97
2014-11-01 16:05:56,2456963.17079,18.0
2014-11-01 17:52:41,2456963.24492,17.97
2014-11-01 22:06:27,2456963.42115,18.01
2014-11-01 23:52:29,2456963.49478,17.98
2014-11-02 04:06:27,2456963.67115,18.01
2014-11-02 05:53:13,2456963.74529,17.98
2015-01-17 03:09:30,2457039.6316,17.58
2015-02-05 16:54:38,2457059.20461,18.08
2015-05-12 18:03:03,2457155.25212,17.58
2015-05-12 19:49:44,2457155.3262,18.34
2015-05-29 06:07:53,2457171.75547,17.94
2015-05-29 07:54:17,2457171.82936,18.28
