#Date,JD(TCB),averagemag
2014-09-12 12:25:37,2456913.01779,19.26
2014-09-12 14:12:23,2456913.09193,19.33
2014-09-12 18:25:48,2456913.26792,19.17
2014-09-12 20:12:25,2456913.34196,19.21
2014-10-19 23:29:26,2456950.47877,18.99
2014-10-20 05:29:42,2456950.72896,18.98
2014-10-20 09:43:22,2456950.90512,19.01
2014-10-20 11:29:59,2456950.97916,18.97
2014-10-20 15:43:39,2456951.15531,19.02
2014-10-20 17:29:52,2456951.22907,19.0
2014-10-20 21:43:56,2456951.40551,18.98
2014-10-20 23:30:26,2456951.47947,19.0
2014-10-21 03:44:06,2456951.65563,19.01
2014-10-21 05:30:43,2456951.72966,19.05
2014-10-21 09:44:21,2456951.9058,19.03
2014-10-21 11:30:59,2456951.97985,18.97
2014-10-21 15:44:37,2456952.15598,18.99
2014-10-21 17:31:15,2456952.23003,18.97
2014-10-21 21:44:26,2456952.40586,19.0
2014-10-21 23:31:17,2456952.48006,19.01
2014-10-22 03:44:54,2456952.65618,19.02
2014-10-22 05:31:30,2456952.73021,18.99
2014-10-22 09:45:24,2456952.90653,19.0
2014-10-22 11:31:59,2456952.98054,19.03
2014-10-22 15:45:21,2456953.15649,19.05
2014-10-22 17:31:56,2456953.23051,19.03
2014-10-22 21:45:23,2456953.40652,19.04
2014-10-22 23:32:06,2456953.48063,19.04
2014-10-23 03:45:36,2456953.65667,19.04
2014-10-23 05:32:15,2456953.73073,19.0
2014-10-23 09:45:58,2456953.90692,19.01
2014-10-23 11:32:37,2456953.98098,19.08
2014-10-23 15:46:19,2456954.15716,19.02
2014-10-23 17:32:58,2456954.23123,19.01
2014-10-23 21:46:31,2456954.4073,19.04
2014-10-24 11:33:44,2456954.98176,19.04
2014-10-24 15:47:23,2456955.15791,19.04
2014-10-24 17:33:50,2456955.23183,19.04
2014-10-24 21:47:40,2456955.4081,19.02
2014-10-24 23:33:54,2456955.48188,18.99
2014-10-25 03:48:02,2456955.65836,19.0
2014-10-25 05:34:13,2456955.73209,19.04
2014-10-25 11:34:34,2456955.98234,19.02
2015-02-07 22:49:25,2457061.45098,19.07
2015-03-22 07:47:13,2457103.82446,19.22
2015-03-22 09:34:13,2457103.89876,19.12
2015-03-22 13:47:36,2457104.07472,19.09
2015-03-22 15:34:06,2457104.14868,19.16
2015-03-28 21:39:35,2457110.40249,19.16
2015-03-29 01:52:42,2457110.57826,19.12
2015-03-29 03:39:40,2457110.65255,19.18
2015-03-29 07:53:23,2457110.82874,19.22
2015-05-16 00:13:11,2457158.50916,19.11
2015-05-16 01:59:43,2457158.58314,19.15
2015-05-29 06:19:33,2457171.76358,19.05
