#Date,JD(TCB),averagemag
2014-08-20 17:02:05,2456890.20978,18.17
2014-08-20 21:15:30,2456890.38576,18.1
2014-08-20 23:02:03,2456890.45976,18.18
2014-08-21 05:02:20,2456890.70995,18.2
2014-08-21 09:15:56,2456890.88606,18.16
2014-08-21 11:02:46,2456890.96025,18.17
2014-08-21 15:16:33,2456891.13649,18.18
2014-08-23 15:18:10,2456893.13762,17.55
2014-08-23 17:05:11,2456893.21193,18.21
2014-08-23 23:05:25,2456893.46209,18.23
2014-09-09 09:28:57,2456909.8951,17.6
2014-09-09 11:15:47,2456909.96929,17.55
2014-09-09 15:29:32,2456910.14551,17.58
2014-10-24 18:55:45,2456955.28872,18.01
2014-10-25 00:56:25,2456955.53918,18.04
2014-10-25 02:42:33,2456955.61288,18.0
2014-10-25 06:56:43,2456955.78939,18.0
2014-10-25 08:42:54,2456955.86313,17.96
2014-10-25 14:43:15,2456956.11337,18.0
2014-10-25 18:56:40,2456956.28935,17.84
2014-10-25 20:43:45,2456956.36372,17.97
2014-10-26 00:57:17,2456956.53978,17.8
2014-10-26 02:43:37,2456956.61362,17.83
2014-10-26 06:57:09,2456956.78969,17.79
2014-10-26 08:44:14,2456956.86405,17.79
2014-10-26 12:57:46,2456957.04012,17.75
2014-10-26 14:44:15,2456957.11406,17.75
2014-10-26 18:58:10,2456957.29039,17.69
2014-10-26 20:44:26,2456957.36419,17.69
2014-10-27 00:58:04,2456957.54032,17.7
2014-10-27 02:44:42,2456957.61438,17.69
2014-10-27 06:58:12,2456957.79042,17.64
2014-10-27 08:45:06,2456957.86465,17.64
2014-10-27 12:58:41,2456958.04075,17.68
2014-10-27 14:45:15,2456958.11476,17.61
2014-10-27 18:58:59,2456958.29096,17.7
2014-10-27 20:45:33,2456958.36497,17.62
2014-10-28 00:59:17,2456958.54117,17.66
2014-10-28 02:45:44,2456958.61509,17.59
2014-10-28 06:59:03,2456958.79101,17.63
2014-10-28 08:46:07,2456958.86536,17.56
2014-10-28 12:59:40,2456959.04144,17.6
2014-10-28 14:46:10,2456959.11539,17.58
2014-10-28 18:59:42,2456959.29146,17.47
2014-10-28 20:46:12,2456959.36542,17.56
2014-10-29 00:59:44,2456959.54148,17.56
2014-10-29 02:46:50,2456959.61586,17.58
2014-10-29 06:59:58,2456959.79164,17.58
2014-10-29 08:46:38,2456959.86572,17.53
2014-10-29 14:47:07,2456960.11605,17.56
2014-10-29 19:00:35,2456960.29207,17.55
2014-10-29 20:47:00,2456960.36597,17.52
2014-10-30 01:00:42,2456960.54215,17.54
2014-10-30 07:01:03,2456960.7924,17.57
2014-12-16 00:38:53,2457007.527,17.8
2015-05-13 15:05:37,2457156.1289,18.15
2015-05-13 16:52:11,2457156.20291,18.31
2015-05-29 03:10:39,2457171.6324,18.26
2015-05-29 04:57:05,2457171.70631,18.27
