#Date,JD(TCB),averagemag
2014-09-07 22:19:20,2456908.43009,18.86
2014-09-08 02:33:03,2456908.60628,19.0
2014-10-08 01:25:10,2456938.55914,18.36
2014-10-08 05:38:21,2456938.73497,18.43
2014-10-08 07:24:56,2456938.80898,18.4
2014-10-08 11:38:41,2456938.9852,18.45
2015-01-05 18:54:44,2457028.28801,18.93
2015-01-05 20:40:59,2457028.36179,18.85
2015-01-06 00:54:40,2457028.53796,18.84
2015-01-06 02:41:14,2457028.61197,18.78
2015-01-06 06:54:54,2457028.78813,18.72
2015-01-06 08:41:28,2457028.86213,18.77
2015-01-11 20:46:26,2457034.36558,18.44
2015-01-12 00:59:50,2457034.54155,18.45
2015-01-12 02:46:45,2457034.6158,18.46
2015-01-12 07:00:24,2457034.79194,18.52
2015-02-19 12:24:21,2457073.01691,18.35
2015-02-19 14:11:11,2457073.0911,18.4
2015-03-30 01:30:47,2457111.56304,18.94
2015-03-30 05:44:11,2457111.73902,18.83
2015-03-30 11:44:41,2457111.98936,18.98
