#Date,JD(TCB),averagemag
2014-08-14 00:05:20,2456883.5037,18.92
2014-08-14 01:52:02,2456883.5778,18.95
2014-08-14 06:05:35,2456883.75388,18.93
2014-08-14 07:52:34,2456883.82817,18.97
2014-08-14 12:06:07,2456884.00425,18.95
2014-08-14 13:52:31,2456884.07814,18.94
2014-08-14 18:06:04,2456884.25421,18.95
2014-08-14 19:53:03,2456884.32851,18.92
2014-08-28 20:07:19,2456898.33841,19.04
2014-08-29 00:21:26,2456898.51488,19.09
2014-08-29 02:07:41,2456898.58867,19.1
2014-08-29 06:21:36,2456898.765,19.08
2014-08-29 08:08:19,2456898.83911,19.09
2014-08-29 12:21:47,2456899.01513,19.04
2014-08-29 14:08:30,2456899.08924,19.08
2014-08-29 18:21:45,2456899.2651,19.09
2014-08-29 20:08:28,2456899.33921,19.11
2014-08-30 02:08:55,2456899.58953,19.12
2014-08-30 06:22:23,2456899.76554,19.04
2014-08-30 08:09:00,2456899.83958,19.09
2014-08-30 12:22:35,2456900.01568,19.08
2014-08-30 14:09:24,2456900.08986,19.07
2014-08-30 18:22:58,2456900.26595,19.07
2014-08-30 20:09:29,2456900.33992,19.15
2014-08-31 00:23:25,2456900.51626,19.08
2014-08-31 02:09:40,2456900.59005,19.16
2014-08-31 06:23:15,2456900.76615,19.08
2014-08-31 08:09:53,2456900.8402,19.01
2014-08-31 12:23:32,2456901.01634,19.01
2014-08-31 14:10:07,2456901.09036,18.99
2014-08-31 18:23:49,2456901.26654,19.07
2014-08-31 20:10:34,2456901.34067,19.02
2014-09-01 00:24:19,2456901.51689,19.03
2014-09-01 02:10:33,2456901.59066,19.06
2014-09-01 06:24:28,2456901.76699,19.04
2014-09-01 08:10:46,2456901.84081,19.01
2014-09-01 12:24:21,2456902.01691,18.98
2014-09-01 14:10:57,2456902.09094,19.03
2014-09-01 18:24:41,2456902.26714,19.02
2014-09-01 20:11:17,2456902.34117,19.02
2014-09-02 00:24:48,2456902.51722,18.97
2014-09-02 02:11:38,2456902.59141,19.01
2014-09-02 06:25:12,2456902.7675,19.0
2014-09-02 08:12:02,2456902.84169,18.99
2014-09-02 12:25:12,2456903.0175,18.99
2014-09-02 14:12:02,2456903.09169,18.98
2014-09-02 18:25:47,2456903.26791,19.01
2014-09-02 20:12:02,2456903.34169,19.03
2014-09-03 00:25:47,2456903.51791,19.14
2014-09-03 02:12:18,2456903.59188,19.0
2014-09-03 06:26:00,2456903.76806,19.02
2014-09-03 08:12:39,2456903.84212,18.94
2014-10-25 23:50:01,2456956.49307,18.33
2014-10-26 04:03:37,2456956.66918,18.31
2014-10-26 05:50:07,2456956.74314,18.34
2014-10-26 10:03:39,2456956.9192,18.33
2014-10-26 11:50:09,2456956.99316,18.32
2014-10-26 16:04:16,2456957.16963,18.35
2014-10-26 17:50:45,2456957.24358,18.37
2014-10-26 22:04:31,2456957.4198,18.35
2014-10-26 23:50:39,2456957.49351,18.39
2014-10-27 04:04:11,2456957.66957,18.33
2014-11-02 10:09:48,2456963.92347,18.56
2014-11-02 11:56:35,2456963.99763,18.61
2014-11-02 16:10:00,2456964.17361,18.53
2014-11-02 17:56:46,2456964.24775,18.54
2014-11-02 22:10:11,2456964.42374,18.54
2014-11-02 23:56:57,2456964.49788,18.56
2014-11-03 04:10:53,2456964.67422,18.56
2014-11-03 05:57:12,2456964.74806,18.61
2015-01-17 21:10:08,2457040.38204,19.29
2015-01-17 22:56:22,2457040.45581,19.32
2015-05-29 00:04:47,2457171.50332,19.87
