#Date,JD(TCB),averagemag
2014-09-12 03:27:17,2456912.64395,18.22
2014-09-12 05:13:58,2456912.71803,18.09
2014-09-12 09:27:32,2456912.89412,18.23
2014-10-20 18:45:45,2456951.28177,18.0
2014-10-21 00:46:09,2456951.53205,17.97
2014-10-21 02:32:34,2456951.60595,17.87
2014-10-21 06:46:19,2456951.78216,17.9
2014-10-21 08:32:56,2456951.8562,17.93
2014-10-21 12:46:35,2456952.03235,17.81
2014-10-21 14:33:12,2456952.10639,17.99
2014-10-21 18:46:40,2456952.28241,17.8
2014-10-21 20:33:36,2456952.35667,17.84
2014-10-22 00:46:59,2456952.53263,17.74
2014-10-22 06:47:16,2456952.78282,17.76
2014-10-22 08:33:48,2456952.85681,17.76
2014-10-22 12:47:45,2456953.03316,17.74
2014-10-22 14:34:20,2456953.10718,17.76
2014-10-22 18:47:32,2456953.28301,17.74
2014-10-22 20:34:16,2456953.35713,17.75
2014-10-23 00:48:14,2456953.5335,17.74
2014-10-23 02:34:45,2456953.60747,17.76
2014-10-23 06:48:27,2456953.78365,17.73
2014-10-23 08:34:31,2456953.8573,17.71
2014-10-23 12:48:14,2456954.0335,17.74
2014-10-23 14:34:53,2456954.10756,17.72
2014-10-23 20:35:24,2456954.35792,17.72
2014-10-24 02:35:47,2456954.60818,17.69
2014-10-24 08:35:53,2456954.85825,17.73
2014-10-24 12:49:26,2456955.03433,17.72
2014-10-24 14:35:53,2456955.10825,17.7
2014-10-24 18:49:55,2456955.28466,17.71
2014-10-24 20:36:09,2456955.35844,17.69
2014-10-25 00:50:00,2456955.53472,17.7
2014-10-25 02:36:08,2456955.60843,17.7
2014-10-25 06:50:18,2456955.78493,17.69
2014-10-25 08:36:29,2456955.85867,17.7
2014-10-25 12:50:04,2456956.03477,17.7
2014-10-25 14:36:50,2456956.10891,17.68
2014-10-25 18:50:50,2456956.2853,17.69
2014-10-25 20:37:20,2456956.35926,17.69
2014-10-26 00:50:52,2456956.53532,17.68
2014-10-26 02:37:12,2456956.60917,17.69
2014-10-26 06:51:19,2456956.78564,17.69
2014-10-26 08:37:49,2456956.85959,17.67
2014-10-26 12:51:21,2456957.03566,17.68
2014-10-26 14:37:50,2456957.10961,17.67
2014-10-26 18:51:45,2456957.28594,17.68
2014-10-26 20:38:01,2456957.35973,17.65
2014-10-27 00:51:39,2456957.53587,17.67
2014-10-27 06:51:47,2456957.78596,17.68
2015-01-15 01:57:53,2457037.58186,18.25
2015-02-07 12:03:45,2457061.0026,18.08
2015-02-07 13:50:07,2457061.07647,18.17
2015-03-22 18:32:27,2457104.27253,18.35
2015-03-22 22:46:12,2457104.44875,18.11
2015-03-23 00:32:27,2457104.52253,18.32
2015-03-23 04:46:12,2457104.69875,18.37
2015-03-27 22:50:34,2457109.45178,18.49
2015-03-28 00:37:06,2457109.52576,18.42
2015-03-28 04:50:17,2457109.70159,18.36
2015-03-28 06:37:06,2457109.77576,18.42
2015-05-15 04:57:29,2457157.70659,18.44
2015-05-15 09:11:11,2457157.88277,18.51
