#Date,JD(TCB),averagemag
2014-08-18 00:14:23,2456887.50999,19.62
2014-08-18 06:14:31,2456887.76008,19.79
2014-08-18 08:01:08,2456887.83412,19.67
2014-08-18 12:14:58,2456888.01039,19.64
2014-08-18 14:01:08,2456888.08412,19.61
2014-08-18 18:14:52,2456888.26032,19.76
2014-08-18 20:01:41,2456888.3345,19.69
2014-08-19 02:01:54,2456888.58465,19.69
2014-08-24 14:07:08,2456894.08829,19.73
2014-08-24 18:20:38,2456894.26433,19.68
2014-08-24 20:07:19,2456894.33841,19.75
2014-08-25 00:21:12,2456894.51472,19.6
2014-09-09 18:31:52,2456910.27213,19.76
2014-09-09 20:18:09,2456910.34594,19.7
2014-09-10 00:31:54,2456910.52215,18.73
2014-09-10 02:18:38,2456910.59627,18.87
2014-10-21 17:40:38,2456952.23655,19.58
2014-10-21 21:54:24,2456952.41278,19.62
2014-10-21 23:41:15,2456952.48698,19.61
2014-10-22 03:54:49,2456952.66307,19.61
2014-10-22 05:41:24,2456952.73708,17.87
2014-10-22 09:54:47,2456952.91304,19.59
2014-10-22 11:41:22,2456952.98706,19.69
2014-10-22 15:55:19,2456953.16341,19.6
2014-11-01 22:03:59,2456963.41943,19.65
2014-11-01 23:50:24,2456963.49333,19.61
2014-11-02 04:04:06,2456963.66951,19.59
2014-11-02 05:50:17,2456963.74325,19.59
2014-11-02 11:50:29,2456963.99339,19.61
2015-05-13 00:05:39,2457155.50392,19.79
