#Date,JD(TCB),averagemag
2014-08-04 11:30:20,2456873.9794,18.71
2014-08-04 13:16:56,2456874.05343,18.67
2014-08-04 17:30:53,2456874.22978,18.71
2014-08-04 19:17:28,2456874.3038,18.79
2014-08-04 23:30:56,2456874.47981,18.69
2014-08-05 01:17:24,2456874.55375,18.73
2014-11-03 10:38:13,2456964.94321,17.75
2014-11-03 12:24:52,2456965.01727,17.75
2014-11-03 16:38:11,2456965.19318,17.74
2014-11-03 18:24:50,2456965.26725,17.74
2014-11-11 04:44:56,2456972.69787,17.73
2014-11-11 06:31:11,2456972.77166,17.74
2014-11-11 10:44:56,2456972.94787,17.94
2014-11-11 12:31:11,2456973.02166,17.46
2014-11-11 18:31:46,2456973.27206,17.78
2015-01-26 03:28:35,2457048.64485,18.06
2015-01-26 05:15:02,2457048.71877,18.1
2015-02-02 05:20:25,2457055.72251,18.33
2015-02-02 09:33:59,2457055.8986,18.34
2015-02-02 11:20:39,2457055.97267,18.36
2015-02-02 15:34:31,2457056.14897,18.4
2015-05-24 11:37:55,2457166.98466,18.39
