#Date,JD(TCB),averagemag
2014-08-03 09:17:41,2456872.88728,17.4
2014-08-03 13:31:00,2456873.06319,17.41
2014-08-03 15:17:47,2456873.13735,17.42
2014-08-03 19:31:17,2456873.31339,17.39
2014-08-03 21:18:07,2456873.38758,17.41
2014-08-04 01:31:55,2456873.56383,17.45
2014-08-04 03:18:05,2456873.63756,17.41
2014-08-04 07:32:04,2456873.81394,17.43
2014-08-04 09:18:28,2456873.88782,17.41
2014-08-04 13:32:02,2456874.06391,17.41
2014-11-06 14:39:24,2456968.11069,17.45
2014-11-06 16:25:35,2456968.18443,17.45
2014-11-25 16:25:32,2456987.1844,16.84
2014-11-25 20:39:29,2456987.36075,16.91
2014-12-29 08:01:18,2457020.83424,17.47
2014-12-29 09:48:01,2457020.90834,17.36
2015-02-04 13:35:00,2457058.06597,17.47
2015-02-04 15:21:09,2457058.13969,17.46
2015-02-04 19:35:07,2457058.31605,17.54
2015-02-23 13:44:44,2457077.07273,21.36
2015-02-23 15:31:29,2457077.14686,17.27
2015-02-23 19:44:39,2457077.32267,17.07
2015-02-23 21:31:29,2457077.39686,17.13
2015-04-20 13:31:51,2457133.06378,16.93
2015-04-20 15:18:06,2457133.13757,17.01
2015-05-14 13:36:38,2457157.06711,17.49
2015-05-14 15:23:29,2457157.14131,17.72
