#Date,JD(TCB),averagemag
2015-03-14 08:36:30,2457095.85868,18.98
2015-03-14 12:50:09,2457096.03483,18.87
2015-03-14 14:36:42,2457096.10882,18.51
2015-03-20 20:41:15,2457102.36198,18.69
2015-03-21 02:41:28,2457102.61213,18.8
2015-03-21 06:55:07,2457102.78828,19.03
2015-06-23 11:35:43,2457196.98314,19.23
2015-06-23 13:22:17,2457197.05714,19.32
2015-12-02 19:01:23,2457359.29263,19.32
2015-12-18 17:20:45,2457375.22274,19.15
2015-12-18 19:07:20,2457375.29676,19.13
2016-03-21 01:46:11,2457468.57374,19.25
2016-03-21 03:32:45,2457468.64774,19.19
2016-04-04 15:37:09,2457483.1508,18.78
2016-06-22 20:21:07,2457562.348,19.18
2016-06-23 00:34:47,2457562.52416,19.17
2016-06-23 02:21:21,2457562.59816,19.17
2016-06-23 08:21:34,2457562.84831,19.22
2016-09-18 13:10:46,2457650.04914,18.84
2016-09-18 14:57:20,2457650.12315,18.86
2016-11-08 18:58:21,2457701.29052,19.07
2016-12-26 02:06:44,2457748.58801,19.15
2017-04-19 10:07:57,2457862.92219,19.0
2017-04-19 11:54:31,2457862.99619,18.91
2017-05-22 05:24:03,2457895.72503,19.32
2017-09-27 21:42:27,2458024.40448,18.84
2017-09-27 23:29:02,2458024.4785,18.95
2017-11-19 09:30:44,2458076.89634,19.06
2018-05-04 06:49:38,2458242.78447,18.77
2018-06-02 12:33:20,2458272.02315,19.27
2018-11-29 18:25:48,2458452.26792,18.99
2019-05-19 11:59:28,2458622.99963,18.97
2019-10-24 07:32:56,2458780.81454,19.36
2019-11-21 22:35:22,2458809.44123,18.81
2019-12-15 03:36:45,2458832.65052,19.07
2020-04-15 21:11:55,2458955.38328,18.92
2020-10-08 22:52:31,2459131.45314,18.95
2020-11-30 04:37:59,2459183.69304,19.1
2021-05-20 11:57:16,2459354.9981,19.02
2021-06-13 23:54:51,2459379.49642,19.17
2021-12-10 01:30:46,2459558.56303,18.96
2022-03-14 14:15:57,2459653.09441,19.14
2022-03-14 16:02:31,2459653.16841,19.05
2022-03-14 22:02:44,2459653.41856,18.8
2022-03-22 08:21:21,2459660.84816,18.91
2022-03-22 10:07:55,2459660.92216,18.83
2022-03-22 14:21:34,2459661.09831,19.04
2022-05-01 13:25:27,2459701.05934,19.38
2022-05-01 15:12:01,2459701.13334,19.2
2022-06-05 14:42:42,2459736.11299,19.0
2022-06-05 18:56:20,2459736.28912,19.1
2022-06-24 01:03:04,2459754.5438,19.17
