#Date,JD(TCB),averagemag
2015-05-17 00:34:48,2457159.52417,18.75
2015-05-17 04:48:27,2457159.70031,18.58
2016-01-06 19:56:39,2457394.33101,18.87
2016-08-13 12:07:43,2457614.00536,18.9
2016-08-13 16:21:23,2457614.18152,19.15
2016-08-13 18:07:57,2457614.25552,18.99
2016-08-13 22:21:36,2457614.43167,18.99
2016-08-14 00:08:10,2457614.50567,18.83
2016-08-14 04:21:50,2457614.68183,19.12
2016-08-14 06:08:24,2457614.75583,19.1
2016-08-14 10:22:03,2457614.93198,18.94
2016-08-14 12:08:37,2457615.00598,18.96
2016-08-14 16:22:16,2457615.18213,19.14
2016-08-14 18:08:50,2457615.25613,19.11
2016-08-15 00:09:04,2457615.5063,19.05
2016-08-15 06:09:17,2457615.75645,19.21
2016-08-15 10:22:56,2457615.93259,19.1
2016-08-15 12:09:30,2457616.0066,19.12
2016-08-15 16:23:09,2457616.18274,19.23
2016-08-15 18:09:43,2457616.25675,19.18
2016-08-15 22:23:23,2457616.43291,19.17
2016-08-16 00:09:57,2457616.50691,19.21
2016-08-16 04:23:36,2457616.68306,19.45
2016-08-16 06:10:10,2457616.75706,19.31
2016-08-16 10:23:50,2457616.93322,19.35
2016-08-16 12:10:24,2457617.00722,19.25
2016-10-12 16:27:26,2457674.18572,20.75
2016-10-12 22:27:41,2457674.43589,19.21
2016-12-21 19:25:21,2457744.30927,19.61
2016-12-21 21:11:56,2457744.38329,19.67
2019-07-15 03:58:14,2458679.66544,19.54
2019-07-15 05:44:48,2458679.73944,19.13
