#Date,JD(TCB),averagemag
2015-01-05 00:24:25,2457027.51696,18.71
2015-01-25 10:37:29,2457047.9427,18.77
2015-04-14 17:40:03,2457127.23615,18.17
2015-04-14 21:53:44,2457127.41231,18.25
2015-04-14 23:40:19,2457127.48633,18.2
2015-04-15 03:53:59,2457127.66249,18.24
2015-04-15 05:40:34,2457127.7365,18.21
2015-04-15 11:40:49,2457127.98668,18.2
2015-04-15 15:54:29,2457128.16284,18.23
2015-04-15 21:54:44,2457128.41301,18.21
2015-04-15 23:41:18,2457128.48701,18.21
2015-04-16 05:41:33,2457128.73719,18.22
2015-04-16 15:55:28,2457129.16352,18.32
2015-04-16 17:42:03,2457129.23753,18.23
2015-04-16 21:55:43,2457129.41369,18.35
2015-04-16 23:42:17,2457129.4877,18.24
2015-04-17 03:55:58,2457129.66387,18.4
2015-04-17 05:42:32,2457129.73787,18.29
2015-04-17 09:56:12,2457129.91403,18.39
2015-04-17 11:42:47,2457129.98804,18.33
2015-04-17 15:56:27,2457130.1642,18.46
2015-04-17 23:43:16,2457130.48838,18.33
2015-04-18 03:56:57,2457130.66455,18.46
2015-04-18 05:43:31,2457130.73855,18.34
2015-04-18 09:57:11,2457130.91471,18.49
2015-04-18 11:43:46,2457130.98873,18.46
2015-04-18 15:57:26,2457131.16488,18.51
2015-04-18 17:44:01,2457131.2389,18.46
2015-04-18 21:57:41,2457131.41506,18.58
2015-04-18 23:44:16,2457131.48907,18.52
2015-04-19 03:57:56,2457131.66523,18.56
2015-04-19 05:44:31,2457131.73925,18.52
2015-04-19 09:58:11,2457131.91541,18.61
2015-04-19 11:44:46,2457131.98942,18.52
2015-04-19 15:58:26,2457132.16558,18.59
2015-04-19 21:58:41,2457132.41575,18.63
2015-06-25 15:57:42,2457199.16507,18.78
2015-06-25 17:44:16,2457199.23907,18.75
2015-07-21 03:57:27,2457224.6649,18.49
2015-08-21 21:35:13,2457256.39946,18.81
2015-08-21 23:21:47,2457256.47346,18.78
2015-10-01 08:33:29,2457296.85659,18.64
2016-01-15 05:42:47,2457402.73804,18.5
2016-01-15 07:29:21,2457402.81205,18.59
2016-02-08 07:22:35,2457426.80735,18.79
2016-03-08 13:08:59,2457456.04791,18.5
