#Date,JD(TCB),averagemag
2014-08-30 07:04:34,2456899.79484,18.03
2014-08-30 08:51:09,2456899.86885,18.07
2014-11-12 17:29:41,2456974.22895,18.08
2015-01-13 02:28:06,2457035.60285,18.45
2015-01-29 08:30:31,2457051.85453,18.5
2015-01-29 10:17:05,2457051.92853,18.51
2015-04-01 01:10:59,2457113.54929,17.94
2015-05-06 02:18:46,2457148.59637,17.94
2015-06-10 01:56:09,2457183.58066,18.23
2015-07-09 00:07:20,2457212.50509,18.5
2015-07-09 01:53:54,2457212.5791,18.51
2015-08-21 05:45:19,2457255.7398,18.4
2015-09-19 11:41:24,2457284.98708,18.42
2015-09-19 13:27:59,2457285.0611,18.43
2015-12-16 10:40:13,2457372.94459,17.73
2016-01-24 15:25:38,2457412.1428,17.77
2016-01-24 17:12:13,2457412.21682,17.76
2016-02-10 05:14:14,2457428.71822,17.06
2016-02-10 09:27:54,2457428.89438,17.11
2016-03-20 02:19:18,2457467.59674,18.03
2016-03-20 04:05:52,2457467.67074,18.01
2016-04-13 15:56:01,2457492.1639,17.69
2016-05-17 13:39:22,2457526.069,18.22
2016-05-17 15:25:56,2457526.14301,18.21
2016-06-24 03:01:57,2457563.62635,17.73
2016-06-24 07:15:36,2457563.8025,17.77
2016-07-22 07:16:49,2457591.80334,18.06
2016-07-22 09:03:23,2457591.87735,17.94
2016-09-02 08:41:22,2457633.86206,18.25
2016-10-02 20:31:54,2457664.35549,17.97
2016-11-01 12:30:21,2457694.02108,17.7
2016-12-26 13:27:29,2457749.06075,18.17
2017-02-04 04:23:50,2457788.68322,17.83
2017-02-21 11:47:20,2457805.9912,17.69
2017-02-21 13:33:54,2457806.06521,17.68
2017-03-31 16:45:08,2457844.19801,18.01
2017-04-27 12:17:56,2457871.01245,18.01
2017-05-30 04:09:33,2457903.6733,18.38
2017-05-30 05:56:07,2457903.7473,18.37
2017-07-09 05:32:02,2457943.73058,18.69
2017-07-09 09:45:42,2457943.90674,18.72
2017-08-05 21:48:30,2457971.40868,18.27
2017-08-05 23:35:04,2457971.48269,18.31
2017-09-15 05:13:19,2458011.71758,18.74
2017-09-15 09:27:00,2458011.89375,18.72
2017-10-16 21:10:27,2458043.38226,18.89
2017-10-16 22:57:01,2458043.45626,18.91
2017-11-12 22:45:07,2458070.448,18.8
2017-12-20 02:01:30,2458107.58438,18.89
2017-12-20 03:48:05,2458107.65839,18.85
2018-01-06 20:03:08,2458125.33551,19.15
2018-03-06 02:30:58,2458183.60484,18.12
2018-04-12 07:35:55,2458220.81661,18.41
2018-05-11 19:18:40,2458250.30463,17.53
2018-06-12 05:17:58,2458281.72081,17.89
2018-06-12 07:04:32,2458281.79481,17.87
2018-07-24 04:54:31,2458323.70453,18.34
2018-07-24 06:41:05,2458323.77853,18.35
2018-08-20 22:57:06,2458351.45632,18.87
2018-08-21 00:43:40,2458351.53032,18.79
2018-09-27 18:22:23,2458389.26554,18.68
2018-10-30 16:11:47,2458422.17485,18.36
2018-11-24 10:03:27,2458446.91906,18.52
2019-01-01 08:59:14,2458484.87447,18.69
2019-01-01 10:45:48,2458484.94847,18.73
2019-01-18 03:01:35,2458501.6261,18.65
2019-02-26 15:31:24,2458541.14681,18.88
2019-03-19 01:41:52,2458561.57074,18.63
2019-03-19 03:28:26,2458561.64475,18.62
2019-04-24 06:54:48,2458597.78806,18.53
2019-05-26 08:20:49,2458629.84779,18.48
2019-05-26 12:34:29,2458630.02395,18.44
2019-06-25 12:26:48,2458660.01861,18.33
2019-06-25 14:13:22,2458660.09262,18.36
2019-07-21 13:54:16,2458686.07935,18.07
2019-07-21 15:40:51,2458686.15337,18.08
2019-09-01 06:14:20,2458727.75995,17.79
2019-10-28 07:05:26,2458784.79544,17.66
2019-10-28 08:52:00,2458784.86944,17.63
2019-11-28 08:26:03,2458815.85142,17.68
2019-11-28 10:12:38,2458815.92544,17.68
2020-02-04 23:10:11,2458884.46541,17.78
2020-02-05 00:56:46,2458884.53942,17.76
2020-03-03 06:03:01,2458911.75209,18.19
2020-03-03 07:49:35,2458911.8261,18.2
2020-04-06 13:28:34,2458946.0615,18.74
2020-04-06 15:15:08,2458946.13551,18.74
2020-05-11 10:53:28,2458980.9538,18.45
2020-07-15 08:08:11,2459045.83902,18.59
2020-07-15 12:21:51,2459046.01517,18.56
2020-08-21 16:55:41,2459083.20534,17.73
2020-08-21 18:42:15,2459083.27934,17.71
2020-09-28 10:34:42,2459120.94076,18.22
2020-09-28 12:21:17,2459121.01478,18.2
2020-10-31 10:09:49,2459153.92348,18.42
2020-11-24 22:01:45,2459178.41788,18.45
2021-01-01 22:43:26,2459216.44683,18.51
2021-01-18 14:59:19,2459233.12453,18.65
2021-01-18 16:45:53,2459233.19853,18.66
2021-03-19 19:39:39,2459293.3192,18.65
2021-04-24 18:53:14,2459329.28697,18.25
2021-04-24 20:39:48,2459329.36097,18.26
2021-05-27 06:32:39,2459361.77267,18.47
2021-05-27 08:19:13,2459361.84668,18.47
2021-06-26 06:25:37,2459391.76779,18.43
2021-06-26 08:12:11,2459391.84179,18.41
2021-08-08 06:02:51,2459434.75198,18.19
2021-08-08 07:49:26,2459434.826,18.16
2021-08-08 12:03:06,2459435.00215,18.13
2021-09-05 18:02:53,2459463.252,18.19
2021-09-05 19:49:27,2459463.32601,18.19
2021-10-10 13:29:31,2459498.06216,18.43
2021-10-10 17:43:11,2459498.23832,18.41
2021-11-13 17:09:50,2459532.21516,18.1
2021-11-13 18:56:24,2459532.28917,18.09
2021-12-06 00:51:28,2459554.53574,18.13
2022-01-13 21:54:31,2459593.41286,18.49
2022-01-13 23:41:05,2459593.48686,18.47
2022-01-30 05:43:29,2459609.73853,18.7
2022-04-02 02:37:32,2459671.6094,18.77
2022-05-07 01:59:39,2459706.58309,18.24
2022-05-07 03:46:13,2459706.65709,18.26
2022-06-11 03:23:13,2459741.64112,18.41
2022-06-11 07:36:52,2459741.81727,18.42
2022-07-10 01:34:52,2459770.56588,18.39
2022-07-10 03:21:26,2459770.63988,18.33
2022-08-22 01:12:41,2459813.55047,18.47
2022-08-22 02:59:16,2459813.62449,18.47
2022-09-20 13:08:28,2459843.04755,18.74
2022-09-20 14:55:02,2459843.12155,18.75
2022-10-22 12:50:42,2459875.03521,18.5
2022-10-22 14:37:16,2459875.10921,18.5
