#Date,JD(TCB),averagemag
2015-01-09 21:25:26,2457032.39266,20.04
2015-01-09 23:12:00,2457032.46667,20.04
2015-02-14 03:02:18,2457067.6266,20.0
2015-03-22 20:18:56,2457104.34648,20.0
2015-07-12 23:11:20,2457216.4662,20.07
2015-07-13 00:57:53,2457216.5402,20.03
2015-09-05 04:37:31,2457270.69272,20.07
2016-01-03 06:11:41,2457390.75811,19.9
2016-01-25 16:29:22,2457413.18706,19.99
2016-01-25 18:15:56,2457413.26106,20.04
2016-04-05 15:16:39,2457484.13656,20.03
2016-04-05 17:03:13,2457484.21057,18.83
2016-04-05 21:16:54,2457484.38674,20.04
2016-04-05 23:03:28,2457484.46074,18.84
2016-04-12 17:09:21,2457491.21483,19.97
2016-04-12 21:23:02,2457491.391,19.99
2016-04-12 23:09:36,2457491.465,20.06
2016-07-22 12:14:53,2457592.01034,20.03
2016-07-22 14:01:27,2457592.08434,20.0
2016-08-16 13:51:43,2457617.07758,20.0
2016-09-15 11:46:31,2457646.99064,19.96
2016-09-15 13:33:04,2457647.06463,19.99
2017-01-12 17:35:58,2457766.23331,20.05
2017-01-12 19:22:33,2457766.30733,20.04
2017-02-08 07:16:34,2457792.80317,19.96
2017-03-06 14:29:16,2457819.10366,20.01
2017-08-31 14:24:33,2457997.10038,19.91
2017-08-31 16:11:07,2457997.17439,20.03
2017-09-26 22:05:03,2458023.42017,19.99
2018-01-23 14:09:36,2458142.09,19.99
2018-01-23 15:56:11,2458142.16402,20.09
2018-03-16 21:35:49,2458194.39987,20.06
2018-06-23 16:41:13,2458293.19529,20.09
2018-07-04 00:33:58,2458303.52359,19.97
2018-08-13 17:36:16,2458344.23352,20.04
2018-09-16 05:10:02,2458377.7153,20.08
2018-10-07 11:14:05,2458398.96811,20.05
2018-10-07 15:27:44,2458399.14426,20.03
2018-10-07 17:14:18,2458399.21826,20.01
2019-07-02 23:38:47,2458667.48527,20.0
2019-07-03 01:25:21,2458667.55927,20.04
2019-08-07 21:52:53,2458703.41172,20.03
2019-09-30 04:12:59,2458756.67568,19.96
2019-09-30 05:59:33,2458756.74969,20.07
2020-01-02 10:30:33,2458850.93788,20.09
2020-01-02 12:17:07,2458851.01189,20.02
2020-02-21 14:35:28,2458901.10796,20.03
2020-03-31 16:21:08,2458940.18134,20.06
2020-03-31 20:34:49,2458940.35751,19.97
2020-03-31 22:21:24,2458940.43153,20.01
2020-04-12 22:36:10,2458952.44178,20.07
2020-04-13 02:49:51,2458952.61795,20.03
2020-04-13 04:36:25,2458952.69196,19.99
2020-04-13 08:50:06,2458952.86813,19.96
2020-04-13 10:36:40,2458952.94213,19.94
2020-04-13 14:50:21,2458953.1183,19.91
2020-06-24 04:55:08,2459024.70495,20.02
2020-06-24 06:41:41,2459024.77895,20.04
2020-07-12 11:18:31,2459042.97119,20.06
2020-07-12 13:05:05,2459043.0452,19.98
2020-09-17 05:08:06,2459109.71396,20.0
2020-09-17 09:21:45,2459109.8901,19.83
2020-10-07 21:26:23,2459130.39332,20.1
2020-10-07 23:12:57,2459130.46733,20.0
2020-12-18 11:23:30,2459201.97465,20.06
2020-12-18 17:23:45,2459202.22483,20.02
2020-12-18 21:37:26,2459202.401,20.01
2020-12-18 23:24:01,2459202.47501,20.03
2020-12-19 03:37:42,2459202.65118,19.96
2020-12-19 09:37:57,2459202.90135,19.91
2020-12-19 11:24:32,2459202.97537,20.02
2020-12-19 15:38:12,2459203.15153,20.04
2020-12-19 21:38:27,2459203.4017,20.0
2020-12-19 23:25:02,2459203.47572,20.0
2020-12-20 03:38:43,2459203.65189,20.06
2020-12-20 05:25:17,2459203.72589,19.98
2020-12-20 09:38:58,2459203.90206,20.02
2020-12-20 11:25:32,2459203.97606,20.08
2020-12-20 15:39:13,2459204.15223,20.09
2020-12-20 17:25:47,2459204.22624,20.0
2020-12-20 21:39:28,2459204.40241,20.05
2020-12-20 23:26:03,2459204.47642,19.98
2020-12-21 03:39:43,2459204.65258,19.99
2020-12-21 05:26:18,2459204.7266,19.99
2020-12-21 09:39:59,2459204.90277,19.96
2020-12-21 11:26:33,2459204.97677,20.05
2020-12-21 21:40:29,2459205.40311,20.03
2020-12-21 23:27:04,2459205.47713,20.07
2020-12-22 03:40:45,2459205.6533,20.03
2020-12-22 05:27:19,2459205.7273,20.01
2020-12-22 11:27:35,2459205.97749,20.07
2021-02-03 23:05:59,2459249.46249,20.0
2021-03-27 08:51:55,2459300.86939,19.98
2021-03-27 10:38:29,2459300.94339,20.05
2021-07-03 11:36:50,2459398.98391,20.06
2021-07-03 13:23:24,2459399.05792,19.94
2021-07-19 23:40:23,2459415.48638,20.06
2021-07-20 01:26:57,2459415.56038,19.99
2021-10-04 18:25:14,2459492.26752,20.03
2021-10-04 22:25:48,2459492.43458,20.03
2021-10-05 00:25:28,2459492.51769,20.04
2021-10-05 04:39:07,2459492.69383,19.95
2021-10-16 22:34:01,2459504.44029,20.0
2021-10-17 00:20:35,2459504.51429,20.03
2021-10-17 04:34:14,2459504.69044,20.03
2021-10-17 06:20:48,2459504.76444,20.03
2021-12-24 22:42:40,2459573.4463,20.01
2021-12-25 00:29:14,2459573.5203,19.97
2021-12-25 04:42:55,2459573.69647,20.05
2022-01-11 04:52:40,2459590.70324,20.02
2022-02-14 22:29:58,2459625.43748,19.94
2022-03-23 21:45:21,2459662.40649,20.02
2022-03-23 23:31:55,2459662.4805,19.98
2022-04-05 21:52:50,2459675.41169,20.07
2022-04-05 23:39:24,2459675.48569,20.11
2022-07-13 14:24:40,2459774.10046,20.02
2022-08-03 20:22:13,2459795.34876,20.0
2022-09-06 00:04:59,2459828.50346,20.0
2022-09-06 01:51:33,2459828.57747,20.05
