#Date,JD(TCB),averagemag
2014-11-19 10:10:22,2456980.92387,19.48
2015-03-10 02:33:12,2457091.60639,19.64
2015-03-24 06:51:17,2457105.78561,19.69
2015-06-20 11:40:56,2457193.98676,19.68
2015-06-20 13:27:29,2457194.06075,19.65
2015-06-20 19:27:43,2457194.31091,19.55
2015-09-05 19:49:25,2457271.32598,19.73
2015-09-06 00:03:06,2457271.50215,19.62
2015-09-06 01:49:40,2457271.57616,19.68
2015-09-06 06:03:21,2457271.75233,19.7
2015-12-03 17:07:54,2457360.21382,19.49
2015-12-03 18:54:29,2457360.28784,19.49
2015-12-15 17:15:23,2457372.21902,19.64
2015-12-15 19:01:58,2457372.29303,19.66
2016-03-18 13:47:13,2457466.07446,19.53
2016-03-18 15:33:46,2457466.14845,19.48
2016-04-06 19:45:59,2457485.3236,18.79
2016-04-06 21:32:32,2457485.39759,18.72
2016-05-10 01:12:55,2457518.55064,19.12
2016-05-10 02:59:29,2457518.62464,19.09
2016-09-14 08:58:50,2457645.87419,19.58
2016-09-14 13:12:31,2457646.05036,19.64
2016-09-14 14:59:06,2457646.12438,19.61
2016-10-06 19:18:33,2457668.30455,19.48
2016-10-06 21:05:07,2457668.37855,19.54
2016-11-06 19:01:10,2457699.29248,19.66
2016-12-18 13:53:27,2457741.07878,19.62
2016-12-18 18:07:08,2457741.25495,19.5
2016-12-18 19:53:43,2457741.32897,19.48
2016-12-19 00:07:24,2457741.50514,19.51
2016-12-19 01:53:58,2457741.57914,19.46
2016-12-19 06:07:39,2457741.75531,19.44
2016-12-19 07:54:13,2457741.82932,19.38
2016-12-19 12:07:54,2457742.00549,19.46
2016-12-19 13:54:29,2457742.0795,19.47
2016-12-19 19:54:44,2457742.32968,19.45
2016-12-20 07:55:14,2457742.83002,19.47
2016-12-20 18:09:09,2457743.25635,19.48
2016-12-20 19:55:44,2457743.33037,19.56
2016-12-21 00:09:24,2457743.50653,19.43
2016-12-21 01:55:59,2457743.58054,19.39
2016-12-21 06:09:40,2457743.75671,19.54
2016-12-21 12:09:55,2457744.00689,19.63
2016-12-21 13:56:30,2457744.0809,19.48
2016-12-21 18:10:11,2457744.25707,19.55
2017-05-21 09:44:37,2457894.90598,19.47
2017-05-21 11:31:11,2457894.97999,19.5
2017-10-21 21:41:57,2458048.40413,19.38
2017-11-17 05:18:45,2458074.72135,19.63
2018-04-08 01:04:49,2458216.54501,19.59
2018-05-06 10:59:53,2458244.95825,19.67
2018-05-06 12:46:27,2458245.03226,19.69
2018-06-01 10:53:53,2458270.95409,19.62
2018-06-01 12:40:27,2458271.02809,19.61
2018-10-06 04:57:38,2458397.70669,19.66
2018-11-05 10:41:05,2458427.9452,19.5
2019-03-02 07:19:26,2458544.80516,19.66
2019-03-02 09:05:59,2458544.87916,19.68
2019-03-02 13:19:39,2458545.05531,19.66
2019-03-02 15:06:12,2458545.12931,19.55
2019-03-09 03:10:54,2458551.63257,19.59
2019-03-09 07:24:33,2458551.80872,19.63
2019-03-09 09:11:07,2458551.88272,19.64
2019-04-19 00:25:14,2458592.51752,19.5
2019-05-22 05:58:21,2458625.74885,19.67
2019-05-22 07:44:55,2458625.82286,19.7
2019-06-12 01:49:23,2458646.57596,19.55
2019-06-12 06:03:02,2458646.75211,19.46
2019-06-12 07:49:35,2458646.8261,19.59
2019-09-04 17:00:17,2458731.20853,19.6
2019-09-04 18:46:51,2458731.28253,19.57
2019-09-04 23:00:32,2458731.4587,19.7
2019-09-12 11:09:32,2458738.96495,19.68
2019-09-12 12:56:07,2458739.03897,19.55
2019-09-12 18:56:22,2458739.28914,19.6
2019-10-23 01:24:54,2458779.55896,19.45
2019-10-23 03:11:29,2458779.63297,19.49
2019-11-24 14:54:57,2458812.12149,19.7
2019-11-24 16:41:31,2458812.1955,19.54
2019-12-13 21:27:22,2458831.394,19.42
2019-12-13 23:13:56,2458831.46801,19.5
2020-04-13 19:17:26,2458953.30377,19.6
2020-04-13 21:04:00,2458953.37778,19.57
2020-05-18 10:39:28,2458987.94407,19.52
2020-06-05 09:21:23,2459005.88985,19.71
2020-06-05 11:07:57,2459005.96385,19.63
2020-10-06 16:56:39,2459129.20601,19.64
2020-11-06 04:38:50,2459159.69363,19.52
2020-11-06 06:25:25,2459159.76765,19.53
2020-11-27 18:24:04,2459181.26671,19.6
2021-03-02 13:16:52,2459276.05338,19.55
2021-03-02 15:03:25,2459276.12737,19.56
2021-03-10 03:08:34,2459283.63095,19.51
2021-03-10 07:22:13,2459283.80709,19.67
2021-03-10 09:08:47,2459283.8811,19.64
2021-04-19 12:23:54,2459324.0166,19.53
2021-05-23 05:56:21,2459357.74747,19.62
2021-05-23 07:42:55,2459357.82147,19.72
2021-06-12 12:01:38,2459378.00113,19.6
2021-06-12 13:48:12,2459378.07514,19.63
2021-10-17 18:07:58,2459505.25553,19.49
2021-11-20 13:23:24,2459539.05792,19.49
2021-12-07 11:41:41,2459555.98728,19.66
2022-03-10 20:13:24,2459649.34264,19.65
2022-03-25 08:17:27,2459663.84545,19.72
2022-03-25 10:04:00,2459663.91944,19.59
2022-04-30 13:31:46,2459700.06373,19.57
2022-04-30 15:18:20,2459700.13773,19.48
2022-06-10 13:00:20,2459741.0419,19.59
2022-06-10 14:46:54,2459741.1159,19.67
2022-06-11 01:00:46,2459741.5422,19.71
2022-06-20 13:07:45,2459751.04705,19.65
2022-06-20 14:54:19,2459751.12105,19.6
2022-06-21 01:08:11,2459751.54735,19.49
2022-06-21 02:54:45,2459751.62135,19.65
2022-09-06 09:16:51,2459828.8867,19.64
2022-09-06 13:30:32,2459829.06287,19.62
2022-09-06 15:17:07,2459829.13689,19.62
2022-09-22 13:41:20,2459845.07037,19.66
2022-09-22 15:27:55,2459845.14439,19.69
