#Date,JD(TCB),averagemag
2015-04-16 19:48:14,2457129.32516,20.41
2015-11-12 11:39:07,2457338.9855,20.48
2015-12-14 23:13:21,2457371.4676,20.63
2015-12-15 03:27:00,2457371.64375,20.47
2016-01-07 23:14:45,2457395.46858,20.75
2016-02-28 15:09:54,2457447.13188,20.45
2016-03-20 15:20:02,2457468.13891,20.53
2016-06-22 16:13:48,2457562.17625,20.55
2016-08-07 08:50:26,2457607.86836,20.45
2016-11-22 16:59:29,2457715.20797,18.34
2016-11-22 18:46:03,2457715.28198,18.38
2017-01-19 00:24:53,2457772.51728,20.75
2017-01-19 04:38:33,2457772.69344,20.51
2017-03-12 01:30:24,2457824.56278,20.59
2017-06-16 04:46:43,2457920.69911,20.43
2017-07-03 18:38:13,2457938.27654,20.49
2017-08-19 05:07:53,2457984.71381,20.51
2017-08-28 05:14:04,2457993.7181,20.45
2017-10-10 15:53:23,2458037.16207,20.3
2017-12-04 03:16:15,2458091.63628,20.3
2018-01-14 19:01:29,2458133.2927,20.51
2018-01-14 20:48:03,2458133.3667,20.61
2018-01-15 01:01:43,2458133.54286,20.39
2018-02-01 07:12:21,2458150.80024,20.51
2018-03-24 06:55:15,2458201.78837,20.63
2018-03-24 08:41:50,2458201.86238,20.39
2018-04-20 18:53:04,2458229.28685,20.4
2018-07-14 13:37:39,2458314.06781,19.76
2018-08-30 00:02:47,2458360.50193,20.31
2018-08-30 04:16:27,2458360.67809,20.42
2018-09-10 06:09:02,2458371.75627,20.41
2018-09-10 10:22:41,2458371.93242,20.55
2018-11-16 10:42:40,2458438.9463,20.36
2019-01-31 20:13:53,2458515.34297,20.69
2019-02-01 02:14:06,2458515.59313,20.74
2019-04-05 08:06:19,2458578.83772,20.56
2019-05-05 15:41:27,2458609.15378,20.53
2019-07-13 20:27:41,2458678.35256,20.6
2019-08-05 03:08:12,2458700.63069,20.5
2019-08-05 09:08:26,2458700.88086,20.51
2019-08-05 16:55:15,2458701.20503,20.71
2019-08-21 05:13:13,2458716.71751,20.84
2019-08-21 11:13:27,2458716.96767,20.56
2019-11-08 12:27:04,2458796.0188,20.46
2019-12-04 01:24:54,2458821.55896,20.86
2020-01-12 17:35:10,2458861.23275,20.75
2020-03-07 13:03:39,2458916.0442,20.45
2020-03-21 13:25:27,2458930.05934,20.55
2020-05-30 00:44:55,2458999.53119,20.66
2020-06-27 07:43:50,2459027.82211,20.46
2020-08-30 10:13:46,2459091.92623,20.75
2020-09-11 00:06:33,2459103.50455,20.57
2020-09-11 04:20:12,2459103.68069,20.49
2020-12-16 04:23:23,2459199.68291,20.8
2021-02-01 09:59:09,2459246.91608,20.5
2021-02-01 14:12:49,2459247.09223,20.56
2021-02-01 15:59:23,2459247.16624,20.47
2021-02-01 20:13:03,2459247.3424,20.38
2021-02-16 20:23:59,2459262.34999,20.63
2021-02-16 22:10:33,2459262.42399,20.55
2021-02-17 04:10:48,2459262.67417,20.39
2021-02-17 10:11:03,2459262.92434,20.49
2021-04-05 21:51:45,2459310.41094,20.53
2021-05-06 09:39:23,2459340.90235,20.64
2021-07-14 14:25:19,2459410.10091,20.43
2021-07-25 20:32:31,2459421.35591,20.65
2021-07-26 00:46:11,2459421.53207,20.6
2021-09-10 06:56:58,2459467.78956,20.52
2021-12-01 11:39:13,2459549.98557,20.64
2021-12-27 21:46:01,2459576.40696,20.68
2022-02-16 11:12:09,2459626.96677,20.36
2022-02-16 15:25:49,2459627.14293,20.51
2022-02-16 17:12:23,2459627.21693,20.45
2022-02-16 21:26:03,2459627.39309,20.52
2022-03-06 03:37:22,2459644.65095,20.48
2022-05-20 20:53:08,2459720.37023,20.64
2022-05-20 22:39:43,2459720.44425,20.55
2022-07-27 21:21:26,2459788.38988,20.54
2022-09-20 18:08:42,2459843.25604,20.48
2022-09-20 19:55:16,2459843.33005,20.76
