#Date,JD(TCB),averagemag
2014-11-01 14:33:46,2456963.10678,20.07
2015-10-02 00:31:42,2457297.52201,19.79
2015-11-12 03:39:07,2457338.65216,20.03
2015-11-12 05:25:40,2457338.72616,19.97
2015-12-11 05:03:18,2457367.71063,19.89
2015-12-11 09:16:57,2457367.88677,19.97
2016-01-04 10:59:44,2457391.95815,19.71
2016-05-01 15:01:02,2457510.12572,20.01
2016-06-03 08:40:05,2457542.86117,20.03
2016-06-03 10:26:39,2457542.93517,19.96
2016-10-02 11:35:09,2457663.98274,19.99
2016-10-02 13:21:43,2457664.05675,20.03
2016-10-15 17:40:22,2457677.23637,19.82
2016-11-21 22:45:43,2457714.44841,19.69
2016-11-22 00:32:17,2457714.52242,19.67
2016-12-25 10:16:39,2457747.92823,19.95
2016-12-25 12:03:12,2457748.00222,19.8
2017-01-13 22:22:17,2457767.43214,19.83
2017-03-20 07:32:22,2457832.81414,17.38
2017-03-20 11:46:03,2457832.99031,17.05
2017-03-20 13:32:37,2457833.06432,17.83
2017-03-20 17:46:18,2457833.24049,17.59
2017-03-20 19:32:52,2457833.31449,17.47
2017-03-20 23:46:32,2457833.49065,18.17
2017-04-02 01:43:01,2457845.57154,19.76
2017-04-02 05:56:42,2457845.74771,19.94
2017-04-02 07:43:17,2457845.82172,19.96
2017-05-13 01:21:04,2457886.5563,19.95
2017-06-18 00:47:39,2457922.53309,20.09
2017-10-12 07:56:49,2458038.83112,19.74
2017-10-12 09:43:22,2458038.90512,19.85
2017-10-29 21:44:06,2458056.40563,19.87
2017-12-02 21:02:16,2458090.37657,19.7
2018-01-11 18:44:22,2458130.28081,19.77
2018-01-11 20:30:56,2458130.35481,19.64
2018-01-12 00:44:35,2458130.53096,19.57
2018-01-12 02:31:09,2458130.60497,19.64
2018-01-22 18:52:24,2458141.28639,19.81
2018-01-22 20:38:58,2458141.36039,19.81
2018-01-23 00:52:37,2458141.53654,19.75
2018-01-23 02:39:11,2458141.61054,19.85
2018-01-23 06:52:51,2458141.7867,19.92
2018-01-23 08:39:25,2458141.86071,19.41
2018-03-30 02:42:03,2458207.61253,17.21
2018-03-30 06:55:44,2458207.7887,17.1
2018-04-19 19:04:43,2458228.29494,19.71
2018-04-19 20:51:18,2458228.36896,19.62
2018-05-24 12:45:03,2458263.03128,19.7
2018-07-02 17:59:06,2458302.24938,20.01
2018-07-02 19:45:40,2458302.32338,19.84
2018-07-16 00:06:59,2458315.50485,19.65
2018-07-16 01:53:33,2458315.57885,19.69
2018-12-13 20:24:00,2458466.35,19.85
2018-12-13 22:10:33,2458466.42399,19.99
2019-04-10 02:06:41,2458583.58797,18.69
2019-05-05 14:08:03,2458609.08892,20.03
2019-05-05 15:54:38,2458609.16294,19.99
2019-06-04 21:41:04,2458639.40352,19.63
2019-10-14 07:12:44,2458770.80051,19.92
2019-10-14 11:26:23,2458770.97666,19.95
2019-11-08 14:00:25,2458796.08362,19.78
2019-12-07 03:09:01,2458824.63126,19.61
2020-01-16 17:27:00,2458865.22708,19.9
2020-01-16 21:40:39,2458865.40323,19.72
2020-01-16 23:27:13,2458865.47723,19.95
2020-01-17 03:40:52,2458865.65338,19.86
2020-01-22 21:46:39,2458871.4074,19.79
2020-01-22 23:33:13,2458871.4814,19.89
2020-04-29 15:54:02,2458969.16252,19.75
2020-04-29 17:40:36,2458969.23653,19.61
2020-06-24 12:06:42,2459025.00465,19.81
2020-10-22 20:56:45,2459145.37274,19.65
2020-10-22 22:43:19,2459145.44675,19.82
2020-11-13 16:36:31,2459167.19203,19.75
2020-11-13 20:50:10,2459167.36817,19.59
2020-12-14 08:22:43,2459197.84911,19.74
2021-04-10 14:05:38,2459315.08725,19.76
2021-04-10 15:52:13,2459315.16126,19.62
2021-05-06 14:06:15,2459341.08767,19.65
2021-05-06 15:52:50,2459341.16169,19.63
2021-06-05 09:39:47,2459370.90263,19.58
2021-07-19 00:54:59,2459414.53818,19.53
2021-07-19 02:41:34,2459414.6122,19.66
2021-07-19 06:55:14,2459414.78836,19.82
2021-07-19 08:41:49,2459414.86237,19.78
2021-07-25 02:46:59,2459420.61596,19.69
2021-07-25 07:00:39,2459420.79212,19.68
2021-07-25 08:47:14,2459420.86613,19.84
2021-07-25 13:00:54,2459421.04229,19.69
2021-11-02 05:47:12,2459520.74111,19.57
2021-12-25 09:31:35,2459573.89693,19.68
2021-12-25 11:18:09,2459573.97094,19.45
2022-04-21 23:03:41,2459691.46089,19.93
2022-05-21 15:07:02,2459721.12988,19.57
2022-05-21 16:53:36,2459721.20389,19.54
2022-06-16 10:47:41,2459746.94978,19.58
2022-09-25 06:05:52,2459847.75407,19.87
2022-09-25 07:52:26,2459847.82808,19.69
2022-10-03 01:57:46,2459855.58178,19.8
2022-10-03 06:11:26,2459855.75794,19.68
2022-10-03 07:57:59,2459855.83193,19.87
