#Date,JD(TCB),averagemag
2015-02-11 07:55:12,2457064.83,20.35
2015-03-05 14:04:09,2457087.08622,20.17
2015-03-05 15:50:43,2457087.16022,20.02
2015-04-15 13:41:55,2457128.07078,20.81
2015-05-18 01:21:57,2457160.55691,20.3
2015-05-18 03:08:32,2457160.63093,20.23
2015-06-12 15:02:18,2457186.1266,20.63
2015-10-08 12:36:28,2457304.02532,20.67
2016-01-10 09:29:24,2457397.89542,20.65
2016-03-20 03:13:05,2457467.63409,20.75
2016-03-20 04:59:39,2457467.70809,20.62
2016-04-26 14:51:32,2457505.11912,20.63
2016-06-23 04:06:45,2457562.67135,20.11
2016-08-05 08:52:03,2457605.86948,20.45
2016-11-24 12:50:06,2457717.03479,20.38
2016-12-28 10:37:15,2457750.94253,19.99
2016-12-28 12:23:49,2457751.01654,19.92
2017-01-21 22:38:55,2457775.44369,19.94
2017-01-22 00:25:29,2457775.5177,19.96
2017-03-09 07:25:38,2457821.80947,20.23
2017-03-09 13:25:53,2457822.05964,19.86
2017-04-04 07:28:37,2457847.81154,19.24
2017-04-04 11:42:18,2457847.98771,19.24
2017-10-11 14:13:23,2458038.09263,20.6
2018-02-04 07:11:40,2458153.79977,19.94
2018-02-04 08:58:14,2458153.87377,19.93
2018-03-22 02:36:24,2458199.60861,20.22
2018-04-19 06:46:37,2458227.78237,20.36
2018-04-19 08:33:12,2458227.85639,20.35
2018-05-20 12:31:20,2458259.02176,20.43
2018-10-22 17:02:52,2458414.21032,20.57
2018-11-17 03:03:34,2458439.62748,19.9
2018-12-17 16:27:17,2458470.18561,19.65
2019-01-27 14:13:31,2458511.09272,19.52
2019-04-03 14:00:24,2458577.08361,19.52
2019-04-03 15:46:58,2458577.15762,19.29
2019-05-04 01:49:28,2458607.57602,19.9
2019-06-01 07:38:33,2458635.81844,19.67
2019-07-11 18:40:16,2458676.27796,19.86
2019-07-31 21:00:40,2458696.37546,19.69
2019-07-31 22:47:14,2458696.44947,19.75
2019-08-01 04:47:29,2458696.69964,19.93
2019-08-23 23:20:59,2458719.47291,19.53
2019-08-24 05:21:13,2458719.72307,19.75
2019-10-07 23:20:32,2458764.47259,19.55
2019-10-08 01:07:06,2458764.5466,19.54
2019-11-07 00:29:35,2458794.52054,19.77
2019-12-03 19:32:12,2458821.31403,20.64
2020-03-07 08:43:34,2458915.86359,20.67
2020-04-30 23:24:40,2458970.47546,20.54
2020-08-29 18:05:31,2459091.25383,20.35
2020-09-13 04:24:01,2459105.68334,20.54
2020-09-13 06:10:35,2459105.75735,20.47
2020-11-17 21:01:22,2459171.37595,20.46
2021-01-28 14:12:27,2459243.09198,20.69
2021-01-28 15:59:01,2459243.16598,20.65
2021-04-04 03:45:44,2459308.65676,19.95
2021-04-04 07:59:25,2459308.83293,19.85
2021-06-01 19:37:02,2459367.31738,20.23
2021-06-01 21:23:36,2459367.39139,20.36
2021-07-28 00:43:41,2459423.53034,20.23
2021-12-30 05:34:27,2459578.73226,20.73
2022-02-12 05:09:04,2459622.71463,20.06
2022-02-12 09:22:44,2459622.89079,20.14
2022-02-12 11:09:19,2459622.9648,20.09
2022-03-06 17:18:05,2459645.22089,20.27
2022-04-16 09:09:20,2459685.88148,20.51
2022-05-19 04:35:09,2459718.69108,20.11
2022-06-13 10:29:20,2459743.93704,19.71
2022-06-13 14:43:01,2459744.11321,19.61
2022-07-25 13:35:04,2459786.06602,19.57
2022-07-25 15:21:38,2459786.14002,19.6
2022-08-08 13:41:21,2459800.07038,19.55
2022-08-08 15:27:56,2459800.1444,19.45
2022-10-09 12:16:12,2459862.01125,19.62
