#Date,JD(TCB),averagemag
2014-10-30 23:46:25,2456961.49057,20.08
2015-02-17 05:15:58,2457070.71942,19.99
2015-02-17 07:02:32,2457070.79343,19.7
2015-03-07 17:25:40,2457089.22616,19.8
2015-03-07 19:12:14,2457089.30016,19.81
2015-04-16 10:57:19,2457128.95647,19.93
2015-08-02 20:57:21,2457237.37316,20.0
2015-09-18 09:16:21,2457283.88635,18.3
2015-09-18 13:30:02,2457284.06252,18.32
2015-11-11 06:55:28,2457337.78852,19.85
2015-12-17 00:33:03,2457373.52295,19.9
2016-01-06 14:28:41,2457394.10325,19.97
2016-01-06 18:42:21,2457394.27941,19.71
2016-02-29 14:13:14,2457448.09252,20.13
2016-03-23 00:31:23,2457470.52179,19.86
2016-03-23 02:17:56,2457470.59579,19.99
2016-06-03 05:17:15,2457542.72031,19.87
2016-06-21 01:05:47,2457560.54568,19.94
2016-08-07 03:46:20,2457607.65718,19.95
2016-08-07 05:32:54,2457607.73118,20.05
2016-08-14 03:52:05,2457614.66117,19.99
2016-08-14 05:38:39,2457614.73517,19.86
2016-08-14 09:52:19,2457614.91133,20.36
2016-08-14 11:38:53,2457614.98534,19.81
2017-01-01 15:28:59,2457755.14513,20.04
2017-01-17 19:53:41,2457771.32895,20.29
2017-01-17 21:40:15,2457771.40295,19.98
2017-01-18 03:40:30,2457771.65313,19.91
2017-01-18 07:54:10,2457771.82928,19.99
2017-03-12 08:59:08,2457824.8744,19.91
2017-04-07 10:42:21,2457850.94608,19.83
2017-05-08 16:20:47,2457882.1811,19.85
2017-06-17 03:21:47,2457921.64013,19.96
2017-07-01 19:40:36,2457936.31986,18.14
2017-07-01 21:27:11,2457936.39388,18.16
2017-08-18 01:49:59,2457983.57638,20.11
2017-08-18 06:03:39,2457983.75253,19.78
2017-08-27 13:57:01,2457993.08126,19.93
2017-10-09 00:46:57,2458035.5326,20.0
2017-12-02 22:37:58,2458090.44303,20.01
2017-12-03 00:24:33,2458090.51705,20.14
2018-01-19 04:18:37,2458137.67959,19.75
2018-01-19 06:05:12,2458137.75361,19.64
2018-01-19 10:18:52,2458137.92977,19.6
2018-01-19 12:05:26,2458138.00377,19.83
2018-01-19 18:05:41,2458138.25395,19.76
2018-01-31 12:15:13,2458150.01057,19.62
2018-01-31 16:28:52,2458150.18671,19.48
2018-01-31 22:29:07,2458150.43689,19.13
2018-02-01 00:15:41,2458150.51089,19.3
2018-02-01 04:29:21,2458150.68705,19.3
2018-03-24 04:08:37,2458201.67265,19.94
2018-03-24 05:55:11,2458201.74666,19.85
2018-07-01 02:30:45,2458300.60469,20.09
2018-07-01 04:17:19,2458300.67869,19.8
2018-07-12 08:37:10,2458311.85914,19.89
2018-07-12 10:23:44,2458311.93315,19.99
2018-08-28 14:46:05,2458359.11534,19.02
2018-08-28 18:59:46,2458359.2915,19.1
2018-09-10 01:06:51,2458371.54642,19.98
2018-09-10 02:53:25,2458371.62043,20.18
2018-10-20 01:53:38,2458411.57891,20.06
2018-12-14 11:48:44,2458466.99218,20.09
2018-12-14 13:35:19,2458467.06619,20.12
2019-02-04 07:19:26,2458518.80516,20.2
2019-02-04 11:33:06,2458518.98132,20.33
2019-02-04 13:19:40,2458519.05532,20.11
2019-02-04 19:19:53,2458519.30547,20.6
2019-04-04 23:17:38,2458578.47058,20.2
2019-04-05 01:04:12,2458578.54458,20.04
2019-05-06 22:53:13,2458610.45362,20.08
2019-07-14 21:26:08,2458679.39315,19.78
2019-08-08 19:42:09,2458704.32094,20.48
2019-08-09 01:42:23,2458704.5711,20.07
2019-08-09 05:56:03,2458704.74726,20.19
2019-08-09 11:56:18,2458704.99743,20.24
2019-08-23 18:12:46,2458719.25887,20.0
2019-08-24 00:13:01,2458719.50904,20.11
2019-08-24 06:13:16,2458719.75921,19.96
2019-08-24 07:59:50,2458719.83322,20.13
2019-11-09 17:18:03,2458797.22087,19.99
2020-01-13 13:05:23,2458862.04541,19.97
2020-01-13 14:51:57,2458862.11941,19.95
2020-01-13 19:05:38,2458862.29558,20.06
2020-01-13 20:52:12,2458862.36958,20.24
2020-01-21 07:14:26,2458869.80169,20.21
2020-01-21 09:01:00,2458869.87569,20.01
2020-04-28 02:24:45,2458967.60052,20.18
2020-05-31 09:45:36,2459000.90667,20.17
2020-05-31 13:59:15,2459001.08281,20.21
2020-06-25 20:42:02,2459026.36252,19.9
2020-06-25 22:28:36,2459026.43653,19.68
2020-06-26 02:42:16,2459026.61269,19.99
2020-08-29 06:57:32,2459090.78995,19.93
2020-09-10 19:04:32,2459103.29481,20.36
2020-09-10 20:51:06,2459103.36882,20.03
2020-10-20 13:52:16,2459143.07796,20.21
2020-12-14 23:47:39,2459198.49142,19.9
2020-12-15 01:34:14,2459198.56544,20.12
2021-02-05 05:32:12,2459250.73069,20.25
2021-02-05 13:19:00,2459251.05486,20.0
2021-02-19 05:42:28,2459264.73782,20.07
2021-02-19 17:42:55,2459265.23814,20.29
2021-04-05 13:02:54,2459310.04368,20.2
2021-05-07 16:50:52,2459342.20199,20.02
2021-05-31 22:42:45,2459366.44635,19.96
2021-07-15 09:23:26,2459410.89127,19.82
2021-07-15 15:23:40,2459411.14144,20.1
2021-07-23 15:29:36,2459419.14556,19.82
2021-07-23 17:16:10,2459419.21956,20.19
2021-09-08 13:55:51,2459466.08045,18.67
2021-09-08 15:42:26,2459466.15447,18.7
2021-10-31 19:13:54,2459519.30132,19.99
2021-12-02 20:41:17,2459551.362,20.47
2021-12-26 14:45:09,2459575.11469,20.15
2021-12-26 18:58:50,2459575.29086,19.94
2022-02-18 00:43:35,2459628.53027,20.12
2022-02-18 02:30:09,2459628.60427,19.9
2022-02-18 06:43:48,2459628.78042,19.94
2022-02-18 08:30:22,2459628.85442,19.91
2022-03-09 02:39:38,2459647.61086,20.1
2022-04-17 08:11:17,2459686.84117,20.3
2022-05-21 23:47:28,2459721.4913,19.85
2022-05-22 01:34:02,2459721.5653,19.9
2022-06-11 23:45:19,2459742.4898,20.05
2022-07-28 06:04:42,2459788.75326,20.5
2022-07-28 10:18:22,2459788.92942,20.13
2022-08-03 22:23:43,2459795.43314,20.43
2022-08-04 00:10:17,2459795.50714,20.51
