#Date,JD(TCB),averagemag
2014-08-27 14:20:07,2456897.0973,18.53
2014-08-27 16:06:41,2456897.17131,18.52
2015-01-25 01:13:19,2457047.55091,16.42
2015-02-19 07:02:12,2457072.79319,17.75
2015-02-19 08:48:46,2457072.8672,17.71
2015-06-27 19:16:01,2457201.30279,18.06
2015-07-27 14:51:29,2457231.11909,18.12
2015-08-20 19:03:13,2457255.2939,18.03
2016-01-09 14:35:48,2457397.10819,17.93
2016-01-09 16:22:21,2457397.18219,17.81
2016-02-08 15:55:45,2457427.16372,16.68
2016-02-08 20:09:24,2457427.33986,16.67
2016-02-29 08:10:21,2457447.84052,16.72
2016-02-29 09:56:55,2457447.91453,16.66
2016-07-07 22:14:18,2457577.4266,18.6
2016-08-10 20:03:56,2457611.33606,18.34
2016-08-10 21:50:31,2457611.41008,18.34
2016-08-29 15:55:31,2457630.16355,18.75
2016-08-29 20:09:13,2457630.33973,18.79
2016-12-03 12:16:33,2457726.01149,18.23
2016-12-12 12:21:59,2457735.01527,18.04
2016-12-12 16:35:38,2457735.19141,17.99
2016-12-12 18:22:12,2457735.26542,18.03
2017-02-24 00:17:51,2457808.5124,17.31
2017-02-24 04:31:30,2457808.68854,17.33
2017-03-08 10:38:32,2457820.94343,16.6
2017-03-08 12:25:05,2457821.01742,16.58
2017-03-08 16:38:44,2457821.19356,16.54
2017-03-08 18:25:18,2457821.26757,16.55
2017-05-30 17:17:34,2457904.22053,17.5
2017-05-30 19:04:09,2457904.29455,17.49
2017-05-30 23:17:50,2457904.47072,17.41
2017-05-31 01:04:24,2457904.54472,17.39
2017-05-31 05:18:05,2457904.72089,17.44
2017-05-31 07:04:40,2457904.79491,17.41
2017-05-31 11:18:20,2457904.97106,17.45
2017-06-07 23:25:30,2457912.47604,16.96
2017-06-08 01:12:05,2457912.55006,16.97
2017-07-19 05:02:04,2457953.70977,15.78
2017-07-19 06:48:39,2457953.78378,15.72
2017-09-07 16:33:37,2458004.19001,17.51
2017-09-07 18:20:12,2458004.26403,17.53
2017-12-27 14:39:35,2458115.11082,18.25
2018-06-07 00:23:07,2458276.51605,18.37
2018-06-07 02:09:41,2458276.59006,18.37
2018-06-26 12:32:17,2458296.02242,18.22
2018-06-26 14:18:51,2458296.09642,18.24
2018-07-30 12:13:21,2458330.00927,18.25
2018-12-20 19:53:17,2458473.32867,17.15
2019-01-10 21:33:47,2458494.39846,17.32
2019-02-09 07:22:27,2458523.80726,17.24
2019-06-17 01:33:07,2458651.56466,17.98
2019-06-17 03:19:42,2458651.63868,17.98
2019-07-12 15:20:30,2458677.13924,18.08
2019-08-13 22:15:56,2458709.42773,18.09
2019-08-14 00:02:31,2458709.50175,18.08
2019-12-18 14:06:05,2458836.08756,17.76
2019-12-18 15:52:39,2458836.16156,17.73
2020-01-11 16:39:58,2458860.19442,18.11
2020-06-30 14:39:14,2459031.11058,18.32
2020-06-30 18:52:56,2459031.28676,18.33
2020-07-28 08:00:35,2459058.83374,18.18
2020-07-28 09:47:10,2459058.90775,18.16
2020-07-31 00:12:15,2459061.50851,18.18
2020-12-21 01:51:27,2459204.5774,17.39
2020-12-21 03:38:01,2459204.6514,17.39
2021-01-11 19:44:45,2459226.32274,17.82
2021-06-17 13:32:05,2459383.06395,17.68
2021-07-13 13:31:57,2459409.06385,16.54
2021-08-10 21:08:39,2459437.38101,16.68
2021-12-31 02:56:32,2459579.62259,17.69
2022-01-26 02:39:24,2459605.61069,18.04
2022-02-20 02:29:37,2459630.6039,17.57
2022-02-20 04:16:11,2459630.67791,17.55
2022-06-28 14:43:41,2459759.11367,17.86
2022-07-28 20:31:34,2459789.35525,17.2
2022-07-28 22:18:08,2459789.42926,17.23
2022-08-21 10:16:53,2459812.92839,16.55
