#Date,JD(TCB),averagemag
2018-05-09 10:40:49,2458247.94501,17.09
2018-05-09 12:27:22,2458248.019,17.08
2018-05-09 16:41:01,2458248.19515,17.08
2018-05-23 04:48:15,2458261.70017,17.48
2018-05-23 06:34:49,2458261.77418,17.49
2018-05-23 10:48:28,2458261.95032,17.5
2018-05-23 12:35:02,2458262.02433,17.51
2018-08-20 13:27:03,2458351.06045,20.13
2018-08-20 19:27:19,2458351.31064,20.2
2018-08-20 23:41:00,2458351.48681,20.26
2018-08-21 01:27:35,2458351.56082,20.26
2018-08-21 05:41:16,2458351.73699,20.27
2018-08-21 07:27:51,2458351.81101,20.19
2018-08-21 11:41:32,2458351.98718,20.29
2018-08-21 17:41:48,2458352.23736,20.23
2018-08-21 23:42:03,2458352.48753,20.28
2018-08-22 05:42:19,2458352.73772,20.28
2018-08-22 11:42:35,2458352.98791,20.34
2018-08-22 13:29:09,2458353.06191,20.3
2018-08-22 17:42:50,2458353.23808,20.31
2018-08-22 19:29:25,2458353.31209,20.24
2018-08-22 23:43:06,2458353.48826,20.25
2018-08-23 01:29:41,2458353.56228,20.3
2018-08-23 07:29:57,2458353.81247,20.46
2018-08-23 11:43:38,2458353.98863,20.29
2018-08-23 13:30:13,2458354.06265,20.3
2018-08-23 19:30:29,2458354.31284,20.34
