#Date,JD(TCB),averagemag
2015-01-12 06:21:46,2457034.76512,16.78
2015-01-12 10:35:27,2457034.94128,16.71
2015-01-19 16:41:39,2457042.19559,18.25
2015-01-19 18:28:14,2457042.26961,18.29
2015-02-28 05:35:34,2457081.73303,19.58
2015-08-27 03:33:35,2457261.64832,16.92
2015-08-27 05:20:09,2457261.72233,16.93
2015-09-30 04:43:53,2457295.69714,19.38
2015-09-30 08:57:32,2457295.87329,19.66
2015-10-18 16:43:58,2457314.1972,19.8
2016-01-20 11:32:30,2457407.9809,19.43
2016-01-20 13:19:05,2457408.05492,19.46
2016-03-10 00:45:35,2457457.53166,19.64
2016-03-10 04:59:16,2457457.70782,19.46
2016-04-17 10:36:03,2457495.9417,19.77
2016-04-17 12:22:38,2457496.01572,19.9
2016-04-30 16:46:35,2457509.19902,19.53
2016-04-30 22:46:50,2457509.44919,19.68
2016-07-14 17:03:36,2457584.21083,19.65
2016-07-14 18:50:10,2457584.28484,19.42
2016-07-14 23:03:49,2457584.46098,18.78
2016-07-15 00:50:23,2457584.53499,18.6
2016-07-30 11:12:32,2457599.96704,19.66
2016-07-30 12:59:06,2457600.04104,19.87
2016-09-06 10:42:00,2457637.94583,19.65
2016-09-06 12:28:33,2457638.01983,19.7
2016-10-13 17:38:38,2457675.23516,20.08
2016-10-13 21:52:17,2457675.41131,19.94
2016-10-27 03:57:16,2457688.66477,19.69
2016-10-27 05:43:50,2457688.73877,19.72
2017-01-28 18:34:16,2457782.2738,19.92
2017-02-16 13:59:26,2457801.08294,20.08
2017-03-21 01:32:30,2457833.56424,19.68
2017-03-21 03:19:05,2457833.63825,19.58
2017-07-24 19:34:34,2457959.31567,19.96
2017-08-16 13:36:54,2457982.06729,19.83
2017-09-17 14:58:37,2458014.12404,19.96
2017-10-29 00:10:11,2458055.50707,19.98
2017-10-29 01:56:45,2458055.58108,20.03
2017-10-29 07:56:58,2458055.83123,19.93
2018-02-07 15:01:39,2458157.12615,19.8
2018-02-07 16:48:14,2458157.20016,19.67
2018-04-01 04:30:24,2458209.68778,20.04
2018-08-04 16:30:17,2458335.1877,16.56
2018-08-04 20:43:56,2458335.36384,16.54
2018-09-01 02:34:54,2458362.60757,20.0
2018-09-28 14:18:38,2458390.09627,20.24
2019-02-17 22:08:52,2458532.42282,19.78
2019-03-17 05:43:34,2458559.73859,19.87
2019-04-12 03:55:18,2458585.6634,19.87
2019-04-12 05:41:53,2458585.73742,19.94
2019-08-23 01:46:14,2458718.57377,20.01
2019-08-23 03:32:48,2458718.64778,19.99
2019-09-20 14:51:45,2458747.11927,19.92
2019-09-20 16:38:19,2458747.19328,19.83
2019-10-16 09:41:32,2458772.90384,20.01
2019-10-16 11:28:06,2458772.97785,20.11
2020-03-13 20:57:34,2458922.37331,20.21
2020-04-05 11:34:02,2458944.98197,19.98
2020-07-14 04:12:48,2459044.67556,20.09
2020-07-14 10:13:01,2459044.92571,20.19
2020-07-14 11:59:35,2459044.99971,20.06
2020-07-22 18:08:19,2459053.25578,20.0
2020-07-22 22:21:58,2459053.43192,19.99
2020-08-05 08:42:45,2459066.86302,19.98
2020-08-05 10:29:18,2459066.93701,20.03
2020-09-01 22:19:01,2459094.42987,19.68
2021-02-18 10:07:39,2459263.92198,19.88
2021-03-18 03:55:10,2459291.66331,19.95
2021-03-18 05:41:44,2459291.73731,20.05
2021-04-12 15:54:20,2459317.16273,18.97
2021-08-16 15:52:05,2459443.16117,20.0
2021-08-16 17:38:39,2459443.23517,19.98
2021-09-16 17:14:57,2459474.21872,18.96
2021-09-16 21:28:36,2459474.39486,18.87
2021-10-09 11:08:18,2459496.9641,19.14
2022-01-12 18:01:27,2459592.25101,19.38
2022-01-12 19:48:01,2459592.32501,19.37
2022-01-13 00:01:42,2459592.50118,19.5
2022-01-20 18:08:01,2459600.25557,18.31
2022-01-20 19:54:36,2459600.32958,18.34
2022-01-21 00:08:17,2459600.50575,18.32
2022-01-21 01:54:51,2459600.57976,18.31
2022-02-28 23:16:36,2459639.46986,19.66
2022-03-01 01:03:11,2459639.54388,19.49
2022-04-02 10:56:58,2459671.95623,19.88
2022-04-02 12:43:33,2459672.03024,19.9
2022-04-23 05:05:13,2459692.71196,19.61
2022-04-23 06:51:47,2459692.78596,19.51
2022-04-23 11:05:29,2459692.96214,19.57
2022-08-27 23:01:02,2459819.45905,19.78
2022-08-28 00:47:35,2459819.53304,19.6
2022-10-01 10:23:40,2459853.9331,19.55
2022-10-19 10:24:18,2459871.93354,19.65
2022-10-19 12:10:52,2459872.00755,19.36
