#Date,JD(TCB),averagemag
2015-09-03 21:38:29,2457269.40172,19.16
2015-09-03 23:25:03,2457269.47573,19.19
2015-09-29 23:14:20,2457295.46829,19.34
2016-03-11 04:29:47,2457458.68735,19.29
2016-04-07 22:18:23,2457486.42943,19.65
2016-04-08 00:04:58,2457486.50345,19.59
2016-05-02 00:05:15,2457510.50365,19.33
2016-05-02 04:18:57,2457510.67983,19.28
2017-10-28 18:39:33,2458055.27747,19.45
2017-10-28 20:26:07,2458055.35147,19.72
2017-11-12 18:43:40,2458070.28032,19.39
2017-11-12 20:30:14,2458070.35433,19.07
2018-02-13 02:42:25,2458162.61279,19.2
2018-02-13 08:42:41,2458162.86297,18.89
2018-05-12 01:47:19,2458250.57453,19.04
2018-05-12 07:47:35,2458250.82471,19.39
2018-05-12 09:34:10,2458250.89873,19.1
2018-05-12 13:47:51,2458251.0749,19.47
2018-05-12 15:34:25,2458251.1489,19.35
2018-05-12 21:34:41,2458251.39909,19.53
2018-05-13 03:34:57,2458251.64927,19.29
2018-05-16 21:38:42,2458255.40188,18.9
2018-05-17 01:52:22,2458255.57803,19.01
2018-05-17 03:38:57,2458255.65205,19.22
2018-05-17 07:52:38,2458255.82822,19.44
2018-05-17 09:39:13,2458255.90223,19.09
2018-05-17 15:39:28,2458256.15241,19.45
2018-05-17 19:53:09,2458256.32858,19.38
2018-08-16 20:54:45,2458347.37135,19.29
2018-08-16 22:41:19,2458347.44536,18.94
2018-08-17 02:54:57,2458347.62149,18.98
2018-08-17 04:41:31,2458347.6955,19.3
2018-08-28 22:48:22,2458359.45025,17.67
2018-08-29 03:02:01,2458359.6264,17.27
2018-08-29 04:48:35,2458359.70041,17.21
2018-11-14 09:23:05,2458436.89103,19.19
2018-11-14 13:36:44,2458437.06718,18.92
2018-11-14 19:36:57,2458437.31733,19.29
2018-11-14 21:23:31,2458437.39133,18.96
2018-11-18 13:39:55,2458441.06939,19.36
2018-11-18 19:40:07,2458441.31953,19.38
2018-11-18 21:26:41,2458441.39353,19.34
2018-11-19 01:40:20,2458441.56968,19.14
2018-11-19 03:26:54,2458441.64368,19.25
2018-11-19 07:40:33,2458441.81983,19.08
2018-11-19 09:27:07,2458441.89383,19.12
2019-02-20 23:30:15,2458535.47934,19.02
2019-02-21 03:43:57,2458535.65552,19.02
2019-03-10 09:49:34,2458552.90942,19.12
2019-03-10 11:36:09,2458552.98344,19.22
2019-04-12 03:25:07,2458585.64244,18.86
2019-04-12 05:11:41,2458585.71645,19.16
2019-08-26 08:17:31,2458721.8455,19.01
2019-09-13 16:32:52,2458740.18949,18.83
2019-09-13 20:46:30,2458740.36563,18.95
2019-10-16 10:11:40,2458772.92477,19.24
2020-02-21 09:33:28,2458900.89824,19.65
2020-02-21 13:47:09,2458901.07441,19.57
2020-04-12 09:49:00,2458951.90903,18.84
2020-04-12 11:35:34,2458951.98303,18.97
2020-08-16 20:52:48,2459078.37,19.1
2020-08-16 22:39:22,2459078.444,19.0
2020-08-17 02:53:01,2459078.62015,19.11
2020-08-17 04:39:34,2459078.69414,19.12
2020-08-30 04:46:31,2459091.69897,18.6
2020-08-30 10:46:43,2459091.94911,19.43
2020-11-16 03:21:34,2459169.63998,19.07
2020-11-16 07:35:14,2459169.81613,18.92
2020-11-16 09:21:47,2459169.89013,18.97
2020-11-16 13:35:27,2459170.06628,18.87
2020-11-16 15:22:00,2459170.14028,18.99
2020-11-16 19:35:39,2459170.31642,19.01
2020-11-16 21:22:13,2459170.39043,18.82
2020-11-17 01:35:52,2459170.56657,18.89
2020-11-17 09:22:39,2459170.89073,18.86
2020-11-17 15:22:51,2459171.14087,19.18
2020-11-17 21:23:04,2459171.39102,19.42
2020-11-18 01:36:43,2459171.56716,19.34
2020-11-18 03:23:17,2459171.64117,19.29
2020-11-18 07:36:56,2459171.81731,19.02
2020-11-18 09:23:30,2459171.89132,19.37
2020-11-18 13:37:09,2459172.06747,18.93
2020-11-18 15:23:43,2459172.14147,19.09
2021-02-21 09:42:16,2459266.90435,19.04
2021-02-21 11:28:50,2459266.97836,18.89
2021-03-11 09:47:33,2459284.90802,18.95
2021-03-11 11:34:07,2459284.98203,19.0
2021-04-12 15:24:10,2459317.14178,19.03
2021-04-12 17:10:44,2459317.21579,19.4
2021-08-25 09:57:59,2459451.91527,19.34
2021-08-25 11:44:33,2459451.98927,19.26
2021-09-15 21:58:27,2459473.41559,18.98
2021-10-16 09:33:30,2459503.89826,19.7
2021-10-16 11:20:04,2459503.97227,19.16
2022-03-26 04:46:00,2459664.69861,18.98
2022-03-26 06:32:35,2459664.77263,18.96
2022-04-23 10:35:43,2459692.94147,19.42
2022-09-04 17:05:55,2459827.21244,19.44
2022-10-01 04:54:03,2459853.7042,18.97
2022-10-26 16:40:24,2459879.19472,19.15
