#Date,JD(TCB),averagemag
2015-02-24 18:15:54,2457078.26104,17.24
2015-02-24 20:02:28,2457078.33505,17.23
2015-03-24 01:44:27,2457105.57253,18.08
2015-04-16 17:49:50,2457129.24294,17.69
2015-04-16 19:36:24,2457129.31694,17.68
2015-09-04 18:53:52,2457270.28741,18.35
2015-09-04 20:40:27,2457270.36142,18.33
2015-10-05 00:38:16,2457300.52657,18.22
2015-10-05 02:24:51,2457300.60059,18.19
2015-10-25 20:28:25,2457321.35307,17.39
2015-10-26 00:42:06,2457321.52924,17.46
2016-03-06 01:23:56,2457453.55829,18.18
2016-03-06 03:10:30,2457453.63229,18.16
2016-04-07 02:39:10,2457485.61053,18.05
2016-04-07 06:52:49,2457485.78668,18.06
2016-04-25 06:55:07,2457503.78828,18.36
2016-04-25 08:41:41,2457503.86228,18.39
2018-02-06 11:32:47,2458155.9811,18.04
2018-02-06 13:19:21,2458156.0551,18.05
2018-08-15 13:50:12,2458346.07653,16.95
2018-08-15 18:03:53,2458346.2527,16.98
2018-09-05 00:09:04,2458366.5063,15.78
2018-09-05 01:55:39,2458366.58031,15.8
2018-10-06 01:37:28,2458397.56769,15.71
2019-02-15 06:37:39,2458529.77615,17.88
2019-02-15 08:24:12,2458529.85014,17.84
2019-03-09 12:32:17,2458552.02242,18.45
2019-08-20 05:12:22,2458715.71692,18.44
2019-08-20 06:58:57,2458715.79094,18.43
2019-09-12 18:02:25,2458739.25168,18.12
2020-02-21 22:35:02,2458901.441,17.53
2020-02-22 00:21:35,2458901.51499,17.45
2020-03-18 01:15:00,2458926.55208,17.85
2020-03-18 05:28:39,2458926.72823,17.97
2020-04-13 00:23:13,2458952.51612,17.48
2020-04-13 02:09:47,2458952.59013,17.45
2020-08-16 00:02:23,2459077.50166,17.89
2020-08-16 01:48:58,2459077.57567,17.89
2020-09-05 19:53:22,2459098.32873,18.07
2020-10-06 13:36:29,2459129.067,17.31
2021-02-15 14:22:38,2459261.09905,16.74
2021-03-10 08:16:11,2459283.84457,16.84
2021-04-07 06:10:06,2459311.75701,16.93
2021-04-07 07:56:39,2459311.83101,16.94
2021-08-26 01:11:08,2459452.5494,17.76
2021-09-21 01:05:50,2459478.54572,17.64
2021-09-21 02:52:24,2459478.61972,17.69
2021-10-16 20:47:00,2459504.36597,18.21
2021-10-17 01:00:42,2459504.54215,18.23
2022-02-25 13:43:20,2459636.07176,17.39
2022-03-25 03:10:30,2459663.63229,17.41
2022-03-25 07:24:09,2459663.80844,17.49
2022-04-17 13:17:11,2459687.0536,18.0
2022-04-17 15:03:45,2459687.1276,17.94
2022-09-05 14:21:37,2459828.09834,18.47
2022-10-26 14:09:23,2459879.08985,18.44
2022-10-26 15:55:57,2459879.16385,18.43
