#Date,JD(TCB),averagemag
2014-11-01 11:47:15,2456962.99115,12.69
2014-11-30 19:17:59,2456992.30416,12.66
2015-02-14 05:08:44,2457067.7144,12.7
2015-02-14 06:55:18,2457067.7884,12.68
2015-02-14 11:08:58,2457067.96456,12.7
2015-02-14 12:55:32,2457068.03856,12.67
2015-04-16 04:51:31,2457128.70244,12.75
2015-04-16 06:38:05,2457128.77645,12.73
2015-05-19 10:22:19,2457161.93216,12.73
2015-05-19 12:08:53,2457162.00617,12.72
2015-06-12 04:15:24,2457185.67736,12.7
2015-06-12 06:01:57,2457185.75135,12.65
2015-07-25 22:43:06,2457229.4466,12.65
2015-09-19 15:21:46,2457285.14012,12.65
2015-09-19 19:35:26,2457285.31627,12.7
2015-11-12 18:55:19,2457339.28841,12.7
2015-12-15 12:35:09,2457372.02441,12.7
2015-12-15 14:21:43,2457372.09841,12.66
2016-01-08 14:25:30,2457396.10104,12.66
2016-01-08 18:39:11,2457396.27721,12.68
2016-02-27 12:19:50,2457446.01377,12.68
2016-02-27 14:06:24,2457446.08778,12.65
2016-02-27 18:20:04,2457446.26394,12.72
2016-02-27 20:06:38,2457446.33794,12.65
2016-03-21 02:12:47,2457468.59221,12.65
2016-04-27 01:45:56,2457505.57356,12.72
2017-11-02 22:58:29,2458060.45728,12.71
2017-12-04 12:22:45,2458092.0158,12.7
2018-01-14 16:13:21,2458133.17594,12.71
2018-01-14 17:59:55,2458133.24994,12.7
2018-01-15 00:00:10,2458133.50012,12.71
2018-02-02 12:10:51,2458152.00753,12.7
2018-02-02 18:11:05,2458152.2577,12.7
2018-02-02 22:24:45,2458152.43385,12.7
2018-03-23 10:02:28,2458200.91838,12.7
2018-03-23 11:49:02,2458200.99238,12.69
2018-04-20 15:53:57,2458229.16247,12.71
2018-06-29 14:34:12,2458299.10708,12.72
2018-07-14 14:39:10,2458314.11053,12.72
2018-07-14 16:25:44,2458314.18454,12.71
2018-08-29 07:06:20,2458359.79606,12.62
2018-08-29 08:52:55,2458359.87008,12.61
2018-09-11 01:13:05,2458372.55075,12.49
2018-09-11 02:59:40,2458372.62477,12.5
2018-10-21 13:55:34,2458413.08025,12.58
2018-11-16 23:58:44,2458439.49912,12.54
2019-01-30 17:25:20,2458514.22593,12.6
2019-01-30 19:11:54,2458514.29993,12.59
2019-01-30 23:25:34,2458514.47609,12.6
2019-01-31 01:12:09,2458514.5501,12.59
2019-02-17 17:36:34,2458532.23373,12.57
2019-02-17 19:23:08,2458532.30773,12.55
2019-02-17 23:36:48,2458532.48389,12.55
2019-02-18 01:23:22,2458532.55789,12.55
2019-04-04 11:11:37,2458577.9664,12.53
2019-04-04 12:58:11,2458578.04041,12.5
2019-05-05 06:39:40,2458608.77755,12.55
2019-05-05 10:53:19,2458608.95369,12.55
2019-06-01 00:26:51,2458635.51865,12.46
2019-07-13 03:29:53,2458677.64575,12.5
2019-07-13 05:16:27,2458677.71976,12.49
2019-08-04 05:54:40,2458699.7463,12.5
2019-08-04 07:41:14,2458699.8203,12.51
2019-08-04 11:54:54,2458699.99646,12.51
2019-08-04 13:41:28,2458700.07046,12.5
2019-08-23 06:18:38,2458718.76294,12.59
2019-08-23 08:05:12,2458718.83694,12.58
2019-08-23 12:18:52,2458719.0131,12.59
2019-08-23 14:05:27,2458719.08712,12.59
2019-10-08 21:57:43,2458765.41508,12.64
2019-12-03 12:16:29,2458821.01145,12.66
2020-01-12 00:58:31,2458860.54064,12.67
2020-01-23 19:15:07,2458872.30216,12.68
2020-03-06 23:57:28,2458915.49824,12.68
2020-03-22 04:34:22,2458930.69053,12.7
2020-03-22 06:20:56,2458930.76454,12.68
2020-04-29 14:26:51,2458969.10198,12.68
2020-05-30 13:53:47,2459000.07902,12.69
2020-05-30 15:40:21,2459000.15302,12.67
2020-06-27 20:48:30,2459028.36701,12.7
2020-08-29 19:04:03,2459091.29448,12.7
2020-08-29 20:50:37,2459091.36848,12.7
