#Date,JD(TCB),averagemag
2015-04-19 03:14:02,2457131.63475,19.3
2015-04-19 05:00:37,2457131.70876,19.27
2015-09-01 15:46:17,2457267.15714,19.33
2015-09-01 17:32:51,2457267.23115,19.33
2016-03-08 04:35:39,2457455.69142,19.32
2016-03-08 06:22:14,2457455.76544,19.36
2016-04-10 17:59:32,2457489.24968,19.31
2016-09-11 12:41:32,2457643.02884,19.35
2016-10-30 18:06:32,2457692.25454,19.3
2017-01-30 18:13:51,2457784.25962,19.34
2017-01-30 20:00:26,2457784.33363,19.29
2017-01-31 00:14:07,2457784.5098,19.25
2017-02-10 07:44:29,2457794.82256,19.28
2017-02-10 09:31:04,2457794.89657,19.31
2017-03-18 20:55:55,2457831.37216,19.29
2017-08-03 07:53:31,2457968.82883,19.22
2017-09-22 09:12:35,2458018.88374,19.24
2018-02-07 20:38:39,2458157.36017,19.28
2018-03-29 14:20:57,2458207.09788,19.31
2018-08-11 22:45:03,2458342.44795,19.06
2018-08-12 02:58:42,2458342.6241,19.06
2018-09-02 14:58:20,2458364.12384,18.95
2018-09-02 16:44:54,2458364.19785,18.94
2018-10-03 02:34:06,2458394.60701,18.36
2018-10-03 04:20:40,2458394.68102,18.34
2019-03-12 09:42:05,2458554.90422,19.26
2019-03-12 11:28:40,2458554.97824,19.26
2019-04-09 03:32:13,2458582.64737,19.29
2019-04-09 05:18:47,2458582.72138,19.3
2019-08-22 02:08:19,2458717.58911,19.3
2019-09-15 16:44:07,2458742.1973,19.28
2019-10-13 09:58:54,2458769.9159,19.33
2019-10-13 11:45:28,2458769.98991,19.32
2020-02-18 15:21:11,2458898.13971,19.32
2020-02-18 19:34:52,2458898.31588,19.32
2020-03-15 22:25:14,2458924.43419,19.34
2020-04-09 23:24:38,2458949.47544,19.35
2020-08-12 08:57:11,2459073.87304,19.29
2020-08-12 10:43:45,2459073.94705,19.31
2020-09-03 14:55:59,2459096.12221,19.34
2020-10-03 14:32:48,2459126.10611,19.35
2021-04-09 15:31:15,2459314.1467,19.34
2021-04-09 17:17:50,2459314.22072,19.38
2021-08-22 16:05:03,2459449.17017,19.26
2021-08-22 17:51:37,2459449.24418,19.29
2021-09-18 21:51:17,2459476.41061,19.3
2021-10-13 21:39:42,2459501.40257,19.31
2021-10-13 23:26:16,2459501.47657,19.4
2022-03-28 04:38:57,2459666.69372,19.33
2022-03-28 06:25:32,2459666.76773,19.29
2022-04-19 18:28:00,2459689.26944,19.29
2022-04-19 22:41:41,2459689.44561,19.29
2022-10-03 22:45:57,2459856.44858,19.38
2022-10-23 16:44:53,2459876.19784,19.33
