#Date,JD(TCB),averagemag
2014-08-15 05:35:52,2456884.73324,18.58
2014-08-15 07:22:25,2456884.80723,18.55
2014-08-15 11:36:04,2456884.98338,18.53
2014-08-15 17:36:17,2456885.23353,18.56
2015-02-06 23:28:23,2457060.47804,18.55
2015-02-07 03:42:04,2457060.65421,18.54
2015-05-12 17:41:25,2457155.23709,18.48
2015-05-12 19:27:59,2457155.3111,18.51
2015-05-12 23:41:38,2457155.48725,18.49
2015-05-13 01:28:12,2457155.56125,18.55
2015-05-21 19:34:03,2457164.31531,18.5
2015-06-30 12:48:15,2457204.03351,18.41
2015-11-14 07:20:06,2457340.80563,18.43
2015-11-14 11:33:47,2457340.98179,18.45
2015-11-14 13:20:22,2457341.05581,18.43
2015-11-14 17:34:03,2457341.23198,18.45
2015-11-24 23:42:35,2457351.48791,18.5
2015-11-25 01:29:10,2457351.56192,18.46
2015-12-31 05:15:00,2457387.71875,18.53
2015-12-31 07:01:35,2457387.79277,18.53
2016-02-08 04:35:12,2457426.69111,18.54
2016-02-08 06:21:47,2457426.76513,18.54
2016-02-08 10:35:28,2457426.9413,18.55
2016-02-08 12:22:03,2457427.01531,18.54
2016-02-08 16:35:44,2457427.19148,18.56
2016-02-08 18:22:19,2457427.2655,18.55
2016-02-13 00:26:28,2457431.51838,18.55
2016-02-13 04:40:09,2457431.69455,18.58
2016-02-13 06:26:44,2457431.76856,18.54
2016-02-13 10:40:25,2457431.94473,18.54
2016-02-13 12:26:59,2457432.01874,18.55
2016-02-13 16:40:41,2457432.19492,18.52
2016-05-19 18:41:05,2457528.27853,18.64
2016-05-19 20:27:39,2457528.35253,18.61
2017-11-30 10:57:08,2458087.95634,18.57
2017-11-30 15:10:50,2458088.13252,18.56
2017-12-25 04:53:23,2458112.70374,18.57
2018-01-19 16:44:20,2458138.19745,18.58
2018-01-19 20:58:01,2458138.37362,18.53
2018-06-08 16:13:59,2458278.17638,18.61
2018-06-08 18:00:32,2458278.25037,18.59
2018-07-07 03:56:51,2458306.66448,18.55
2018-07-07 05:43:25,2458306.73848,18.57
2018-08-01 03:50:27,2458331.66003,18.5
2018-08-01 05:37:01,2458331.73404,18.5
2018-12-10 16:21:23,2458463.18152,18.27
2018-12-10 18:07:58,2458463.25553,18.26
2019-01-08 11:51:29,2458491.99409,18.22
2019-01-29 11:52:21,2458512.99469,18.27
2019-08-02 13:11:20,2458698.04954,18.41
2019-12-20 22:22:24,2458838.43222,18.41
2019-12-21 00:08:58,2458838.50623,18.35
2020-01-21 17:53:45,2458870.24566,18.41
2020-02-07 20:09:05,2458887.33964,18.45
2020-02-08 00:22:46,2458887.51581,18.45
2020-02-08 02:09:21,2458887.58983,18.44
2020-06-20 09:59:19,2459020.91619,18.43
2020-06-20 11:45:53,2459020.9902,18.44
2020-07-26 05:34:54,2459056.73257,18.18
2020-07-26 07:21:28,2459056.80657,18.41
2020-08-01 15:49:14,2459063.15919,18.38
2020-08-01 17:35:48,2459063.23319,18.43
2020-12-11 04:20:28,2459194.68088,18.31
2021-01-09 10:02:56,2459223.9187,18.32
2021-01-29 17:50:51,2459244.24365,18.39
2021-01-29 22:04:32,2459244.41981,18.42
2021-07-24 00:37:35,2459419.5261,18.41
2021-07-24 04:51:14,2459419.70225,18.38
2021-08-11 04:55:58,2459437.70553,18.41
2021-08-11 06:42:32,2459437.77954,18.41
2021-12-21 13:18:09,2459570.05427,18.39
2022-01-24 00:47:43,2459603.53314,18.42
2022-02-07 12:55:24,2459618.03847,18.44
2022-02-07 17:09:05,2459618.21464,18.45
2022-05-13 07:08:00,2459712.79722,18.47
2022-05-13 08:54:34,2459712.87123,18.45
2022-05-23 03:00:35,2459722.62541,18.42
2022-07-01 06:29:16,2459761.77032,18.43
2022-08-12 05:53:08,2459803.74523,18.43
2022-08-12 07:39:42,2459803.81924,18.41
2022-08-12 11:53:21,2459803.99538,18.41
2022-08-12 13:39:55,2459804.06939,18.4
2022-08-12 17:53:34,2459804.24553,18.4
2022-08-12 19:40:07,2459804.31953,18.4
2022-08-12 23:53:46,2459804.49567,18.38
2022-08-13 05:53:59,2459804.74582,18.39
2022-08-16 07:42:58,2459807.8215,18.36
2022-08-16 11:56:37,2459807.99765,18.39
2022-08-16 13:43:11,2459808.07166,18.4
2022-08-16 17:56:50,2459808.2478,18.39
2022-08-16 19:43:23,2459808.32179,18.42
2022-08-17 01:43:36,2459808.57194,18.4
2022-08-17 07:43:49,2459808.82209,18.42
