#Date,JD(TCB),averagemag
2014-08-06 22:14:36,2456876.42681,18.82
2014-08-07 02:28:18,2456876.60299,18.82
2014-08-07 04:14:52,2456876.67699,18.79
2014-08-07 10:15:08,2456876.92718,18.79
2014-08-07 14:28:49,2456877.10334,18.82
2014-11-06 19:57:44,2456968.33176,18.79
2014-11-07 01:57:57,2456968.58191,18.8
2014-11-07 03:44:30,2456968.6559,18.78
2014-11-07 07:58:09,2456968.83205,18.8
2014-11-07 15:44:55,2456969.15619,18.77
2014-11-12 09:48:32,2456973.9087,18.76
2014-11-12 14:02:11,2456974.08485,18.78
2014-11-12 15:48:45,2456974.15885,18.77
2014-11-12 20:02:24,2456974.335,18.8
2014-11-12 21:48:57,2456974.40899,18.75
2014-11-13 02:02:36,2456974.58514,18.77
2015-01-28 08:22:17,2457050.84881,18.76
2015-01-28 12:35:56,2457051.02495,18.79
2015-01-28 14:22:30,2457051.09896,18.76
2015-01-28 18:36:09,2457051.2751,18.77
2015-02-03 12:40:22,2457057.02803,18.77
2015-02-03 18:40:35,2457057.27818,18.83
2015-02-03 20:27:08,2457057.35218,18.78
2015-02-04 02:27:21,2457057.60233,18.81
2015-06-26 21:43:04,2457200.40491,18.75
2015-06-27 01:56:46,2457200.58109,18.71
2015-11-13 02:57:27,2457339.62323,18.76
2015-11-13 04:44:01,2457339.69723,18.75
2015-11-13 08:57:40,2457339.87338,18.77
2015-11-29 22:47:21,2457356.44955,18.76
2015-12-31 20:27:52,2457388.35269,18.81
2015-12-31 22:14:25,2457388.42668,18.77
2016-05-15 11:06:03,2457523.96253,18.81
2016-05-15 15:19:45,2457524.13872,18.8
2016-06-05 15:24:34,2457545.14206,18.89
2016-07-06 22:54:51,2457576.45476,18.79
2016-11-21 04:02:30,2457713.6684,18.71
2016-12-13 21:55:45,2457736.41372,18.67
2017-06-20 23:46:12,2457925.49042,18.85
2017-06-21 01:32:46,2457925.56442,18.79
2017-12-01 02:18:34,2458088.59623,18.84
2017-12-28 07:58:45,2458115.83247,18.88
2018-01-19 18:04:55,2458138.25341,18.87
2018-01-19 19:51:28,2458138.32741,18.86
2018-07-06 12:45:33,2458306.03163,18.74
2018-07-06 14:32:08,2458306.10565,18.75
2018-07-27 20:37:27,2458327.35934,18.68
2018-12-11 07:39:58,2458463.81942,18.55
2018-12-11 09:26:31,2458463.89341,18.51
2019-01-12 01:06:48,2458495.54639,18.6
2019-01-12 02:53:22,2458495.62039,18.56
2019-01-28 20:56:17,2458512.37242,18.54
2019-06-16 03:59:47,2458650.66652,18.58
2019-08-01 16:06:24,2458697.17111,18.63
2019-08-01 17:52:59,2458697.24513,18.64
2020-01-21 15:00:12,2458870.12514,18.64
2020-01-21 16:46:46,2458870.19914,18.63
2020-02-02 09:13:46,2458881.88456,18.64
2020-02-02 11:00:19,2458881.95855,18.64
2020-05-04 16:39:59,2458974.19443,18.68
2020-05-04 18:26:34,2458974.26845,18.68
2020-05-04 22:40:15,2458974.44462,18.65
2020-05-05 04:40:31,2458974.6948,18.64
2020-05-11 22:48:23,2458981.45027,18.66
2020-05-12 00:34:58,2458981.52428,18.7
2020-05-12 04:48:39,2458981.70045,18.65
2020-05-12 06:35:14,2458981.77447,18.68
2020-06-21 06:45:09,2459021.78135,18.63
2020-12-11 21:25:14,2459195.39252,18.66
2021-01-13 01:04:23,2459227.54471,18.61
2021-01-29 01:07:54,2459243.54715,18.66
2021-01-29 02:54:28,2459243.62116,18.65
2021-06-16 15:58:47,2459382.16582,18.56
2021-07-24 03:31:18,2459419.64674,18.52
2021-08-05 07:54:09,2459431.82927,18.54
2021-08-05 09:40:43,2459431.90328,18.52
2021-08-05 13:54:24,2459432.07944,18.53
2021-11-06 21:23:47,2459525.39152,18.5
2021-11-06 23:10:21,2459525.46552,18.52
2021-11-07 03:24:00,2459525.64167,18.53
2021-11-07 05:10:34,2459525.71567,18.52
2021-11-07 11:10:46,2459525.96581,18.54
2021-11-14 05:15:32,2459532.71912,18.52
2021-11-14 09:29:10,2459532.89525,18.51
2021-11-14 11:15:44,2459532.96926,18.48
2021-12-22 04:33:26,2459570.68988,18.46
2022-01-30 03:49:15,2459609.6592,18.44
2022-01-30 08:02:54,2459609.83535,18.41
2022-01-30 09:49:27,2459609.90934,18.42
2022-01-30 14:03:06,2459610.08549,18.42
2022-02-03 02:05:53,2459613.58742,18.45
2022-02-03 08:06:05,2459613.83756,18.45
2022-02-03 09:52:39,2459613.91156,18.45
2022-02-03 14:06:18,2459614.08771,18.45
2022-02-03 15:52:52,2459614.16171,18.42
2022-02-03 20:06:31,2459614.33786,18.45
2022-02-03 21:53:04,2459614.41185,18.46
2022-05-08 09:41:13,2459707.90362,18.48
2022-05-08 11:27:47,2459707.97763,18.44
2022-05-08 15:41:29,2459708.15381,18.47
2022-05-22 15:50:34,2459722.16012,18.48
2022-05-22 17:37:09,2459722.23413,18.47
2022-06-27 17:10:43,2459758.21578,18.55
