#Date,JD(TCB),averagemag
2014-07-29 07:10:19,2456867.79883,20.28
2014-07-29 11:23:58,2456867.97498,20.34
2014-10-29 22:26:23,2456960.43499,19.95
2015-06-28 06:58:24,2457201.79056,20.36
2015-11-07 07:20:14,2457333.80572,20.34
2015-11-07 11:33:55,2457333.98189,20.39
2015-11-28 23:37:13,2457355.48418,20.4
2015-11-29 01:23:48,2457355.55819,20.52
2016-05-15 18:45:56,2457524.2819,20.36
2016-05-15 20:32:30,2457524.3559,20.25
2016-06-09 20:22:20,2457549.34884,20.33
2016-07-08 08:07:26,2457577.8385,20.52
2016-11-16 08:30:30,2457708.85451,20.23
2017-01-05 20:16:44,2457759.34495,20.53
2017-01-06 00:30:25,2457759.52112,20.59
2017-05-26 11:01:42,2457899.95951,20.33
2017-06-25 08:54:05,2457929.87089,20.12
2017-07-18 20:51:52,2457953.36935,20.16
2017-07-18 22:38:26,2457953.44336,20.14
2017-11-26 17:04:04,2458084.21116,19.77
2017-12-27 02:57:02,2458114.62294,19.89
2018-01-15 10:46:06,2458133.94868,19.79
2018-06-06 06:09:30,2458275.7566,19.72
2018-07-11 21:52:05,2458311.41117,20.03
2018-07-28 05:45:03,2458327.73962,19.92
2018-07-28 09:58:42,2458327.91576,19.88
2018-12-07 06:15:22,2458459.76067,19.85
2019-01-10 15:55:09,2458494.1633,19.03
2019-01-10 17:41:43,2458494.2373,18.96
2019-01-23 23:49:23,2458507.49263,19.52
2019-01-24 04:03:04,2458507.6688,19.48
2019-01-24 05:49:38,2458507.7428,19.49
2019-04-28 01:54:59,2458601.57985,18.99
2019-04-28 06:08:38,2458601.756,19.02
2019-04-28 07:55:12,2458601.83,18.97
2019-05-11 06:14:16,2458614.75991,19.43
2019-05-11 08:00:49,2458614.8339,19.44
2019-06-17 11:31:44,2458651.98037,19.7
2019-06-17 13:18:17,2458652.05436,19.66
2019-07-27 13:03:43,2458692.04425,19.16
2019-07-27 14:50:17,2458692.11825,19.17
2019-07-27 19:03:56,2458692.2944,19.2
2019-10-31 19:58:59,2458788.33263,19.46
2019-10-31 21:45:33,2458788.40663,19.51
2019-11-14 02:19:02,2458801.59655,19.33
2019-11-14 04:05:36,2458801.67056,19.34
2019-12-18 22:08:31,2458836.42258,19.61
2019-12-18 23:55:06,2458836.4966,19.71
2020-04-26 13:55:55,2458966.0805,19.67
2020-04-26 15:42:29,2458966.1545,19.56
2020-05-12 08:15:50,2458981.84433,19.76
2020-05-12 14:16:03,2458982.09448,19.71
2020-06-16 23:32:08,2459017.48065,20.34
2020-12-07 18:14:27,2459191.26003,20.02
2021-01-11 15:53:10,2459226.16192,19.22
2021-01-11 17:39:44,2459226.23593,19.13
2021-01-24 05:47:29,2459238.74131,19.21
2021-01-24 10:01:10,2459238.91748,19.24
2021-04-28 07:52:56,2459332.82843,19.8
2021-04-28 12:06:35,2459333.00457,19.77
2021-04-28 13:53:09,2459333.07858,19.81
2021-05-12 06:11:56,2459346.75829,19.85
2021-05-12 07:58:29,2459346.83228,19.83
2021-06-18 01:17:06,2459383.55354,19.48
2021-10-30 01:39:47,2459517.56929,19.59
2021-10-30 05:53:28,2459517.74546,19.62
2021-10-30 07:40:02,2459517.81947,19.57
2021-11-14 18:02:57,2459533.25205,19.56
2021-11-14 19:49:32,2459533.32606,19.62
2021-12-18 07:25:27,2459566.80934,18.97
2022-05-07 08:54:45,2459706.87135,19.8
2022-05-27 19:07:12,2459727.29667,20.14
2022-05-27 20:53:45,2459727.37066,20.05
2022-06-29 02:26:00,2459759.60139,20.26
