#Date,JD(TCB),averagemag
2015-03-20 01:44:25,2457101.57251,19.55
2015-03-20 05:58:04,2457101.74866,19.48
2015-10-04 12:51:56,2457300.03606,19.31
2015-10-30 20:31:57,2457326.35552,19.02
2016-03-06 13:09:54,2457454.04854,20.08
2016-04-03 00:52:52,2457481.53671,19.86
2016-04-03 02:39:25,2457481.61071,19.94
2016-04-27 06:43:32,2457505.78023,19.84
2016-04-27 08:30:05,2457505.85422,19.78
2016-09-18 14:06:54,2457650.08813,19.6
2016-11-08 19:55:26,2457701.33016,19.53
2017-04-18 03:10:04,2457861.63199,19.65
2017-05-07 03:10:46,2457880.63248,20.21
2017-09-29 06:26:45,2458025.76858,19.33
2017-11-17 06:11:21,2458074.75788,19.92
2018-03-27 16:49:28,2458205.20102,20.15
2018-03-27 18:36:01,2458205.27501,20.09
2018-05-03 17:52:05,2458242.2445,20.13
2018-05-03 22:05:43,2458242.42064,20.01
2018-05-15 16:11:51,2458254.1749,20.25
2018-05-15 17:58:25,2458254.2489,20.54
2018-08-21 06:13:57,2458351.75969,19.76
2018-08-21 08:00:32,2458351.8337,19.72
2018-08-21 12:14:13,2458352.00987,19.82
2018-09-04 06:22:41,2458365.76575,19.42
2018-10-10 01:38:13,2458401.56821,19.27
2019-03-04 20:16:36,2458547.34486,18.36
2019-03-05 00:30:15,2458547.52101,18.37
2019-04-07 11:57:52,2458580.99852,19.4
2019-04-07 13:44:25,2458581.07251,19.43
2019-08-21 19:14:44,2458717.3019,19.03
2019-08-21 23:28:25,2458717.47807,19.03
2019-09-08 01:42:02,2458734.57086,18.22
2019-10-11 19:30:39,2458768.31295,19.54
2020-02-26 10:38:02,2458905.94308,19.3
2020-02-26 12:24:36,2458906.01708,19.36
2020-03-17 17:13:54,2458926.21799,20.01
2020-03-17 19:00:28,2458926.29199,19.94
2020-04-17 08:16:19,2458956.84466,19.65
2020-08-21 12:12:05,2459083.00839,18.47
2020-08-21 13:58:40,2459083.08241,18.56
2020-08-21 18:12:21,2459083.25858,18.64
2020-09-05 06:20:41,2459097.76436,18.99
2020-09-05 08:07:16,2459097.83838,18.98
2020-10-10 13:37:15,2459133.06753,19.44
2021-02-17 06:23:18,2459262.76618,20.1
2021-02-17 08:09:52,2459262.84019,20.17
2021-03-05 20:14:22,2459279.34331,20.05
2021-03-06 00:28:01,2459279.51946,20.06
2021-04-08 01:43:08,2459312.57162,19.89
2021-08-30 15:03:09,2459457.12719,19.52
2021-08-30 19:16:51,2459457.30337,19.58
2021-09-20 19:19:53,2459478.30547,19.92
2021-10-21 07:02:15,2459508.79323,20.06
2022-02-26 07:29:30,2459636.81215,19.63
2022-03-21 07:24:13,2459659.80848,18.65
2022-03-21 09:10:47,2459659.88249,18.73
2022-04-18 14:50:43,2459688.11855,19.8
2022-09-09 20:24:43,2459832.3505,18.4
2022-10-05 16:04:58,2459858.17012,19.71
