#Date,JD(TCB),averagemag
2015-01-12 06:21:35,2457034.76499,18.64
2015-01-12 08:08:08,2457034.83898,18.79
2015-03-21 12:41:50,2457103.02905,18.72
2015-07-10 22:01:25,2457214.41765,18.77
2015-09-05 19:57:18,2457271.33146,18.82
2015-12-29 19:34:45,2457386.3158,18.77
2016-01-26 15:06:15,2457414.12934,18.76
2016-02-21 13:04:18,2457440.04465,18.75
2016-02-21 14:50:52,2457440.11866,18.77
2016-04-03 11:50:17,2457481.99325,18.79
2016-04-03 13:36:51,2457482.06726,18.77
2016-04-03 17:50:30,2457482.2434,18.78
2016-04-10 17:55:40,2457489.24699,18.76
2016-04-10 19:42:14,2457489.321,18.77
2016-04-10 23:55:54,2457489.49715,18.77
2016-04-11 01:42:28,2457489.57116,18.78
2016-05-29 17:59:46,2457538.24984,18.73
2016-05-29 22:13:26,2457538.426,18.76
2016-06-09 10:20:47,2457548.9311,18.8
2016-06-09 12:07:21,2457549.0051,18.75
2016-07-21 05:08:56,2457590.71454,18.73
2016-07-21 09:22:37,2457590.89071,18.76
2016-08-20 03:09:44,2457620.63176,18.76
2016-08-20 04:56:18,2457620.70576,18.71
2016-09-16 10:55:07,2457647.95494,18.76
2016-09-16 15:08:48,2457648.13111,18.71
2016-11-16 03:02:47,2457708.62693,18.74
2016-11-16 09:03:02,2457708.87711,18.73
2016-11-16 10:49:36,2457708.95111,18.75
2016-11-16 15:03:16,2457709.12727,18.73
2016-11-16 16:49:50,2457709.20127,18.72
2016-11-16 22:50:04,2457709.45144,18.77
2016-11-17 03:03:44,2457709.62759,18.73
2016-11-17 04:50:18,2457709.7016,18.74
2016-11-17 09:03:58,2457709.87775,18.75
2016-11-17 15:04:11,2457710.12791,18.73
2016-11-17 21:04:25,2457710.37807,18.77
2016-11-17 22:50:59,2457710.45207,18.76
2016-11-18 03:04:39,2457710.62823,18.74
2016-11-18 04:51:13,2457710.70223,18.72
2016-11-18 09:04:52,2457710.87838,18.76
2016-11-18 10:51:27,2457710.9524,18.74
2016-11-18 15:05:06,2457711.12854,18.75
2016-11-18 16:51:40,2457711.20255,18.69
2016-11-18 21:05:20,2457711.3787,18.75
2016-11-19 03:05:33,2457711.62885,18.75
2016-11-19 04:52:07,2457711.70286,18.73
2016-11-19 09:05:47,2457711.87902,18.76
2016-11-19 10:52:21,2457711.95302,18.72
2016-11-19 15:06:01,2457712.12918,18.75
2016-11-19 16:52:35,2457712.20318,18.72
2016-11-19 21:06:14,2457712.37933,18.73
2016-11-19 22:52:48,2457712.45333,18.73
2016-11-20 03:06:28,2457712.62949,18.77
2016-11-20 04:53:02,2457712.7035,18.73
2016-11-20 09:06:42,2457712.87965,18.78
2016-11-20 10:53:16,2457712.95366,18.76
2016-11-20 15:06:55,2457713.1298,18.72
2016-11-20 16:53:30,2457713.20382,18.72
2016-11-20 21:07:09,2457713.37997,18.73
2016-11-20 22:53:43,2457713.45397,18.74
2016-11-21 03:07:23,2457713.63013,18.76
2016-11-21 04:53:57,2457713.70413,18.73
2016-11-21 09:07:37,2457713.88029,18.73
2016-11-21 15:07:51,2457714.13045,18.77
2017-01-08 20:43:20,2457762.36343,18.75
2017-01-08 22:29:53,2457762.43742,18.74
2017-02-08 16:02:50,2457793.16863,18.7
2017-03-03 03:30:39,2457815.64628,18.81
2017-03-03 05:17:12,2457815.72028,18.78
2017-04-17 21:54:48,2457861.41306,18.74
2017-04-18 03:55:03,2457861.66323,18.76
2017-04-18 08:08:43,2457861.83939,18.74
2017-04-18 09:55:17,2457861.91339,18.76
2017-04-18 14:08:57,2457862.08955,18.74
2017-04-18 15:55:31,2457862.16355,18.73
2017-04-18 20:09:11,2457862.33971,18.73
2017-04-18 21:55:45,2457862.41372,18.78
2017-04-19 02:09:25,2457862.58987,18.74
2017-04-19 03:55:59,2457862.66388,18.73
2017-04-19 08:09:39,2457862.84003,18.78
2017-04-19 09:56:13,2457862.91404,18.72
2017-04-19 14:09:53,2457863.0902,18.71
2017-04-19 15:56:27,2457863.1642,18.75
2017-04-19 21:56:41,2457863.41436,18.74
2017-06-08 20:20:04,2457913.34727,18.77
2017-06-09 00:33:44,2457913.52343,18.79
2017-06-23 18:40:36,2457928.27819,18.77
2017-06-23 20:27:11,2457928.35221,18.75
2017-08-01 17:53:54,2457967.24576,18.75
2017-08-01 19:40:29,2457967.31978,18.74
2017-09-04 17:35:41,2458001.23311,18.76
2017-09-04 19:22:15,2458001.30712,18.76
2017-09-28 05:42:44,2458024.73801,18.74
2017-09-28 07:29:19,2458024.81203,18.71
2017-11-26 05:34:29,2458083.73228,18.77
2017-11-26 07:21:03,2458083.80628,18.74
2017-11-26 13:21:17,2458084.05645,18.75
2018-01-20 01:00:27,2458138.54198,17.5
2018-03-13 12:19:10,2458191.01331,17.48
2018-06-19 07:34:22,2458288.81553,18.78
2018-06-19 09:20:57,2458288.88955,18.78
2018-08-13 08:50:21,2458343.8683,18.61
2018-08-13 13:04:02,2458344.04447,18.63
2018-09-21 06:42:26,2458382.77947,18.82
2018-09-21 12:42:41,2458383.02964,18.8
2018-09-21 14:29:15,2458383.10365,18.83
2018-10-09 12:53:52,2458401.03741,18.79
2018-10-09 14:40:27,2458401.11142,18.79
2018-10-09 18:54:07,2458401.28758,18.75
2018-10-09 20:40:42,2458401.3616,18.77
2018-12-07 12:44:31,2458460.03091,18.8
2018-12-07 14:31:05,2458460.10492,18.81
2018-12-28 12:49:32,2458481.0344,18.78
2018-12-28 14:36:05,2458481.10839,18.78
2019-01-31 02:07:47,2458514.58874,18.3
2019-03-08 05:29:23,2458550.72874,16.76
2019-03-23 19:19:08,2458566.30495,16.29
2019-06-30 02:37:51,2458664.60962,17.33
2019-06-30 04:24:26,2458664.68363,17.57
2019-08-04 10:59:30,2458699.95799,17.43
2019-09-11 07:02:34,2458737.79345,17.36
2019-09-11 08:49:09,2458737.86747,17.44
2019-09-26 19:28:15,2458753.31128,17.38
2019-09-26 21:14:50,2458753.3853,17.59
2019-12-30 19:25:48,2458848.30958,17.21
