#Date,JD(TCB),averagemag
2014-11-03 08:51:17,2456964.86895,19.52
2014-11-03 10:37:51,2456964.94295,19.53
2015-02-10 03:37:57,2457063.65135,19.26
2015-02-10 07:51:37,2457063.82751,19.38
2015-02-10 09:38:11,2457063.90152,19.34
2015-05-17 15:09:56,2457160.1319,20.55
2015-06-13 09:01:27,2457186.87601,20.33
2015-11-14 15:56:07,2457341.16397,19.6
2016-01-10 09:26:22,2457397.89331,20.63
2016-01-10 11:12:56,2457397.96731,20.57
2016-02-24 15:02:09,2457443.12649,19.95
2016-02-24 16:48:43,2457443.2005,19.95
2016-02-24 21:02:23,2457443.37666,20.02
2016-03-18 15:10:30,2457466.13229,20.17
2016-03-18 16:57:04,2457466.2063,20.1
2016-05-30 20:24:00,2457539.35,19.41
2016-05-30 22:10:34,2457539.424,19.31
2016-06-24 02:20:16,2457563.59741,19.38
2016-08-19 03:01:41,2457619.62617,20.32
2016-10-01 05:50:25,2457662.74334,19.68
2016-10-01 07:36:59,2457662.81735,19.59
2016-11-24 23:01:52,2457717.45963,19.04
2016-12-27 06:23:20,2457749.7662,19.21
2016-12-27 10:36:59,2457749.94235,19.38
2017-01-21 22:35:49,2457775.44154,19.54
2017-01-22 00:22:23,2457775.51554,19.63
2017-03-09 05:35:35,2457821.73304,18.75
2017-03-09 07:22:09,2457821.80705,18.7
2017-03-09 11:35:49,2457821.98321,18.65
2017-04-03 05:40:56,2457846.73676,19.53
2017-04-03 07:27:30,2457846.81076,19.45
2017-05-09 05:20:40,2457882.72269,19.5
2017-06-13 22:46:09,2457918.44872,20.77
2017-06-14 00:32:43,2457918.52272,20.56
2017-08-17 21:27:46,2457983.39428,20.11
2017-08-17 23:14:21,2457983.4683,20.2
2017-08-31 03:34:03,2457996.64865,20.31
2017-08-31 05:20:37,2457996.72265,20.33
2017-12-06 09:17:29,2458093.88714,20.36
2018-01-11 02:50:05,2458129.61811,20.32
2018-02-03 19:08:10,2458153.29734,19.82
2018-02-03 20:54:44,2458153.37134,19.86
2018-03-22 06:46:29,2458199.78228,19.73
2018-03-22 08:33:03,2458199.85628,19.66
2018-05-21 02:15:45,2458259.59427,19.74
2018-06-27 23:45:05,2458297.48964,19.6
2018-06-28 01:31:39,2458297.56365,19.7
2018-08-29 22:24:29,2458360.43367,19.74
2018-08-30 00:11:03,2458360.50767,19.65
2018-09-12 16:30:07,2458374.18758,19.16
2018-10-23 09:16:11,2458414.88624,19.61
2018-10-23 11:02:45,2458414.96024,19.56
2018-11-16 10:52:21,2458438.95302,19.81
2019-01-26 08:10:40,2458509.84074,18.77
2019-01-26 09:57:14,2458509.91475,18.71
2019-02-17 14:18:39,2458532.09628,18.84
2019-04-03 19:57:04,2458577.3313,18.65
2019-04-03 21:43:38,2458577.4053,18.66
2019-05-03 07:50:05,2458606.82645,18.36
2019-05-03 09:36:40,2458606.90046,18.42
2019-06-02 01:37:07,2458636.56744,18.34
2019-07-11 12:43:02,2458676.02988,18.26
2019-07-11 14:29:37,2458676.1039,18.26
2019-07-30 15:01:14,2458695.12586,18.08
2019-07-30 16:47:48,2458695.19986,18.06
2019-08-22 23:22:44,2458718.47412,18.23
2019-08-23 05:22:58,2458718.72428,18.14
2019-10-08 05:24:21,2458764.72524,18.2
2019-10-08 07:10:55,2458764.79925,18.2
2019-11-06 06:27:30,2458793.7691,18.84
2019-11-06 08:14:04,2458793.8431,18.8
2019-12-04 09:21:21,2458821.88983,18.66
2020-01-10 17:29:05,2458859.22853,18.54
2020-01-26 05:54:17,2458874.74603,18.97
2020-03-08 02:42:28,2458916.61282,18.91
2020-03-08 06:56:08,2458916.78898,18.86
2020-03-23 01:20:13,2458931.55571,18.89
2020-03-23 03:06:47,2458931.62971,18.96
2020-05-01 15:40:11,2458971.15291,19.27
2020-05-29 16:48:21,2458999.20024,19.21
2020-06-29 19:49:21,2459030.32594,18.8
2020-06-30 00:03:01,2459030.50209,18.72
2020-08-30 10:22:04,2459091.93199,18.62
2020-08-30 12:08:38,2459092.006,18.68
2020-09-13 06:14:06,2459105.75979,18.61
2020-09-13 10:27:46,2459105.93595,18.67
2020-10-23 23:00:58,2459146.459,18.61
2020-11-17 04:50:05,2459170.70145,18.66
2020-11-17 09:03:44,2459170.87759,18.57
2020-12-18 14:37:05,2459202.10909,19.05
2020-12-18 16:23:39,2459202.18309,19.01
2021-01-27 03:55:49,2459241.66376,19.1
2021-01-27 08:09:29,2459241.83992,18.98
2021-01-27 09:56:03,2459241.91392,19.01
2021-02-18 08:17:31,2459263.8455,19.46
2021-02-18 10:04:06,2459263.91951,19.39
2021-02-18 14:17:46,2459264.09567,19.24
2021-02-18 16:04:20,2459264.16968,19.25
2021-04-04 09:42:24,2459308.90444,18.77
2021-04-04 13:56:05,2459309.08061,18.56
2021-05-04 01:48:10,2459338.57512,19.27
2021-05-04 03:34:45,2459338.64913,19.34
2021-06-02 13:35:39,2459368.06642,19.48
2021-06-02 15:22:13,2459368.14043,19.51
2021-07-12 08:27:21,2459407.85233,20.27
2021-07-28 18:46:02,2459424.28197,19.62
2021-07-28 20:32:36,2459424.35597,19.57
2021-09-10 19:05:41,2459468.29561,19.97
2021-09-26 01:09:57,2459483.54858,20.04
2021-09-26 05:28:04,2459483.72782,20.07
2021-11-04 04:18:18,2459522.67938,20.27
2021-11-04 06:04:51,2459522.75337,20.28
2021-11-30 23:48:30,2459549.49201,20.22
2021-12-30 11:31:46,2459578.98039,20.26
2022-02-11 05:05:25,2459621.71209,20.24
2022-02-11 09:19:05,2459621.88825,20.24
2022-02-11 11:05:39,2459621.96226,20.17
2022-03-05 09:28:19,2459643.89466,20.07
2022-03-05 11:14:53,2459643.96867,20.04
2022-04-16 21:06:21,2459686.37941,20.33
2022-05-18 14:50:00,2459718.11806,19.52
2022-05-18 16:36:35,2459718.19207,19.5
2022-06-14 08:42:13,2459744.86265,20.18
2022-07-25 15:24:44,2459786.14218,19.99
2022-08-09 07:44:25,2459800.82251,19.96
2022-09-22 00:17:28,2459844.51213,20.19
2022-09-22 02:04:02,2459844.58613,20.28
2022-10-09 06:19:34,2459861.76359,19.78
2022-10-09 08:06:08,2459861.83759,19.71
