#Date,JD(TCB),averagemag
2014-08-31 03:36:30,2456900.65035,19.04
2015-01-07 07:48:15,2457029.82517,19.05
2015-04-07 02:21:20,2457119.59815,19.03
2015-06-26 12:40:12,2457200.02792,20.51
2015-06-26 18:40:27,2457200.27809,20.49
2015-07-18 06:50:26,2457221.78502,19.98
2015-07-18 08:37:01,2457221.85904,19.93
2015-09-29 17:47:35,2457295.24138,20.14
2015-09-29 19:34:09,2457295.31538,20.15
2015-10-14 23:53:33,2457310.49552,19.93
2016-01-17 08:49:22,2457404.86762,19.85
2016-01-17 10:35:56,2457404.94162,19.8
2016-02-07 04:30:23,2457425.68777,20.22
2016-04-26 07:46:42,2457504.8241,20.42
2016-04-26 13:46:55,2457505.07425,20.49
2016-04-26 19:47:09,2457505.32441,20.45
2016-04-27 01:47:23,2457505.57457,20.37
2016-04-27 09:34:10,2457505.89873,20.21
2016-04-27 13:47:49,2457506.07487,20.29
2016-04-27 19:48:02,2457506.32502,20.27
2016-05-01 13:51:18,2457510.07729,20.27
2016-05-01 19:51:31,2457510.32744,20.33
2016-05-02 01:51:45,2457510.5776,20.26
2016-05-02 03:38:19,2457510.65161,20.13
2016-05-02 09:38:32,2457510.90176,20.17
2016-05-02 13:52:12,2457511.07792,20.16
2016-05-02 15:38:46,2457511.15192,20.15
2016-05-02 19:52:25,2457511.32807,20.08
2016-05-02 21:38:59,2457511.40207,19.92
2016-05-03 01:52:39,2457511.57823,20.0
2016-05-03 03:39:13,2457511.65223,20.0
2016-05-03 07:52:53,2457511.82839,20.0
2016-05-03 09:39:27,2457511.9024,20.06
2016-05-03 15:39:41,2457512.15256,20.12
2016-07-07 07:51:58,2457576.82775,20.29
2016-07-07 09:38:33,2457576.90177,20.12
2016-08-02 09:41:33,2457602.90385,20.38
2016-09-02 15:26:32,2457634.14343,19.97
2016-10-12 18:44:42,2457674.28104,19.44
2016-10-12 20:31:16,2457674.35505,19.38
2016-12-11 17:08:24,2457734.21417,20.8
2016-12-12 00:55:11,2457734.53832,20.79
2016-12-14 05:10:37,2457736.71571,20.64
2016-12-14 06:57:11,2457736.78971,20.59
2016-12-14 11:10:50,2457736.96586,20.73
2017-01-26 17:39:03,2457780.23545,20.48
2017-02-20 05:02:24,2457804.71,19.89
2017-02-20 06:48:58,2457804.784,19.82
2017-03-21 12:30:13,2457834.02098,20.47
2017-07-19 04:26:15,2457953.6849,19.99
2017-07-19 06:12:49,2457953.7589,20.04
2017-09-13 22:10:42,2458010.4241,19.11
2017-10-26 22:50:26,2458053.45169,20.27
2017-10-27 03:04:06,2458053.62785,20.41
2017-12-19 19:22:52,2458107.30755,20.08
2017-12-19 21:09:26,2458107.38155,20.08
2017-12-28 13:28:24,2458116.06139,19.85
2018-02-06 06:19:48,2458155.76375,19.31
2018-02-06 08:06:22,2458155.83775,19.32
2018-03-06 13:46:18,2458184.07382,19.75
2018-07-31 01:24:19,2458330.55855,19.48
2018-07-31 05:38:00,2458330.73472,19.5
2018-09-24 17:16:54,2458386.22007,19.33
2019-01-11 04:09:24,2458494.67319,19.14
2019-01-11 08:23:03,2458494.84934,19.15
2019-03-21 14:46:01,2458564.11529,20.07
2019-03-21 18:59:40,2458564.29144,20.16
2019-06-15 08:44:04,2458649.86394,18.92
2019-06-15 12:57:45,2458650.0401,18.89
2019-06-15 14:44:19,2458650.11411,18.87
2019-06-15 18:58:00,2458650.29028,18.9
2019-06-15 20:44:34,2458650.36428,18.91
2019-06-16 00:58:14,2458650.54044,18.96
2019-06-30 07:09:28,2458664.79824,20.44
2019-06-30 08:56:02,2458664.87225,20.34
2019-06-30 14:56:17,2458665.12242,20.47
2019-09-25 05:58:04,2458751.74866,18.93
2019-09-25 07:44:38,2458751.82266,18.97
2019-10-17 14:23:10,2458774.09942,20.37
2019-10-17 18:36:50,2458774.27558,20.37
2019-10-17 20:23:25,2458774.34959,20.26
2019-12-17 02:38:39,2458834.61017,20.13
2019-12-17 04:25:13,2458834.68418,20.11
2019-12-17 08:38:52,2458834.86032,20.01
2019-12-17 10:25:27,2458834.93434,20.12
2019-12-31 10:41:27,2458848.94545,20.83
2019-12-31 16:41:41,2458849.19561,20.81
2020-02-09 00:19:34,2458888.51359,18.94
2020-03-13 18:09:52,2458922.25685,19.08
2020-03-13 19:56:26,2458922.33086,19.03
2020-04-01 14:29:30,2458941.10382,19.49
2020-07-09 06:50:00,2459039.78472,19.39
2020-07-27 19:23:58,2459058.30831,19.21
2020-07-27 21:10:32,2459058.38231,19.2
2020-07-31 17:36:55,2459062.23397,19.83
2020-07-31 19:23:29,2459062.30797,19.74
2020-09-02 05:17:27,2459094.72045,19.41
2020-09-02 07:04:01,2459094.79446,19.46
2020-09-25 05:15:20,2459117.71898,19.39
2020-12-29 08:16:08,2459212.84454,19.27
2020-12-29 10:02:42,2459212.91854,19.26
2021-01-12 02:20:29,2459226.59756,19.6
2021-02-17 15:10:59,2459263.13263,19.63
2021-03-22 14:44:08,2459296.11398,19.25
2021-04-14 01:01:42,2459318.54285,19.38
2021-04-14 02:48:16,2459318.61685,19.29
2021-06-15 20:43:00,2459381.36319,19.67
2021-06-16 00:56:40,2459381.53935,19.75
2021-06-16 02:43:15,2459381.61337,19.73
2021-06-16 06:56:55,2459381.78953,19.66
2021-06-16 08:43:29,2459381.86353,19.63
2021-07-01 13:08:32,2459397.04759,19.65
2021-07-01 14:55:06,2459397.1216,19.62
2021-07-01 19:08:47,2459397.29777,19.56
2021-09-16 14:02:38,2459474.08516,19.31
2021-10-05 14:09:32,2459493.08995,18.9
2021-10-05 18:19:13,2459493.26334,18.92
2022-01-08 03:15:00,2459587.63542,19.88
2022-02-28 16:18:12,2459639.17931,18.97
2022-04-08 08:01:57,2459677.83469,19.34
2022-04-08 09:48:31,2459677.90869,19.4
2022-04-08 14:02:10,2459678.08484,19.39
2022-04-25 03:58:01,2459694.66529,18.99
2022-04-25 09:58:15,2459694.91545,18.99
2022-06-27 08:07:51,2459757.83878,19.57
2022-06-27 09:54:26,2459757.9128,19.64
2022-06-27 14:08:06,2459758.08896,19.67
2022-07-19 14:17:38,2459780.09558,19.29
2022-07-19 16:04:13,2459780.16959,19.39
2022-08-24 01:58:13,2459815.58209,19.28
2022-08-24 03:44:48,2459815.65611,19.33
