#Date,JD(TCB),averagemag
2014-11-15 00:39:17,2456976.52728,19.08
2015-01-13 23:11:29,2457036.46631,19.16
2015-01-14 00:58:03,2457036.54031,19.16
2015-01-26 17:17:03,2457049.22017,19.18
2015-01-26 19:03:37,2457049.29418,19.15
2015-03-07 22:03:38,2457089.41919,19.22
2015-03-07 23:50:13,2457089.49321,19.23
2015-03-31 05:45:16,2457112.73977,19.24
2015-06-12 21:13:00,2457186.38403,19.22
2015-06-12 22:59:34,2457186.45803,19.25
2015-07-06 21:22:25,2457210.39057,19.24
2015-07-06 23:09:00,2457210.46458,19.21
2015-08-23 21:00:46,2457258.37553,19.23
2015-08-23 22:47:20,2457258.44954,19.24
2015-11-28 01:35:18,2457354.56618,19.1
2015-12-14 09:23:37,2457370.8914,19.14
2016-01-25 00:08:05,2457412.50561,19.15
2016-02-08 00:13:20,2457426.50926,19.2
2016-02-08 01:59:55,2457426.58328,19.16
2016-03-18 00:54:54,2457465.53813,19.18
2016-04-13 04:59:08,2457491.70773,19.23
2016-04-13 06:45:42,2457491.78174,19.21
2016-05-14 18:30:30,2457523.27118,19.23
2016-05-14 22:44:11,2457523.44735,19.19
2016-07-21 06:20:25,2457590.76418,19.16
2016-07-21 10:34:05,2457590.94034,19.13
2016-09-04 10:09:54,2457635.92354,19.14
2016-09-04 11:56:28,2457635.99755,19.14
2016-10-05 05:39:28,2457666.73574,19.09
2016-11-01 03:37:44,2457693.6512,19.05
2016-11-01 05:24:18,2457693.72521,19.08
2016-12-09 16:17:22,2457732.17873,19.1
2016-12-24 02:34:46,2457746.60748,19.1
2016-12-24 04:21:20,2457746.68148,19.08
2017-02-03 19:05:56,2457788.29579,19.08
2017-02-03 20:52:30,2457788.36979,19.08
2017-02-19 14:32:33,2457804.10594,19.16
2017-02-19 16:19:07,2457804.17994,19.17
2017-03-29 09:23:40,2457841.89144,19.15
2017-04-27 19:23:41,2457871.30811,19.22
2017-05-27 09:03:36,2457900.8775,19.22
2017-05-27 13:17:17,2457901.05367,19.22
2017-07-13 12:57:23,2457948.03985,19.14
2017-07-13 14:43:57,2457948.11385,19.21
2017-07-13 18:57:37,2457948.29001,19.16
2017-07-13 20:44:11,2457948.36402,19.15
2017-08-06 07:06:40,2457971.7963,19.14
2017-08-06 08:53:14,2457971.8703,19.1
2017-08-06 13:06:53,2457972.04645,19.11
2017-09-16 18:40:58,2458013.27845,19.12
2017-09-16 20:27:31,2458013.35244,19.1
2017-10-19 06:13:58,2458045.7597,19.13
2017-10-19 08:00:32,2458045.8337,19.13
2017-11-12 06:03:49,2458069.75265,19.16
2017-11-12 07:50:22,2458069.82664,19.17
2017-12-21 22:48:48,2458109.45056,19.21
2018-01-04 00:40:21,2458122.52802,19.23
2018-02-14 11:14:22,2458163.96831,19.22
2018-03-04 15:30:02,2458182.14586,19.27
2018-04-09 22:31:09,2458218.4383,19.19
2018-05-12 14:27:15,2458251.10226,19.17
2018-05-12 16:13:49,2458251.17626,19.19
2018-06-09 10:14:41,2458278.92686,19.15
2018-06-09 14:28:22,2458279.10303,19.11
2018-07-28 08:08:50,2458327.83947,19.01
2018-08-22 10:00:59,2458352.91735,19.01
2018-08-22 14:14:38,2458353.0935,19.07
2018-09-28 19:48:43,2458390.3255,19.02
2018-09-28 21:35:17,2458390.3995,19.04
2018-11-01 20:57:47,2458424.37346,19.04
2018-11-02 01:11:26,2458424.54961,19.01
2018-11-23 07:06:06,2458445.7959,18.99
2019-01-02 19:30:47,2458486.31304,18.93
2019-01-15 07:36:21,2458498.81691,18.88
2019-02-25 06:15:41,2458539.76089,18.93
2019-03-17 22:28:15,2458560.43628,18.9
2019-04-21 17:39:42,2458595.2359,18.88
