#Date,JD(TCB),averagemag
2014-08-11 06:34:39,2456880.77406,18.17
2014-08-11 12:34:53,2456881.02422,18.19
2014-08-11 14:21:27,2456881.09823,18.2
2014-08-11 18:35:07,2456881.27439,18.18
2014-08-11 20:21:41,2456881.34839,18.18
2014-08-12 00:35:20,2456881.52454,18.2
2014-08-12 02:21:54,2456881.59854,18.16
2014-08-12 08:22:08,2456881.8487,18.17
2014-08-12 12:35:48,2456882.02486,18.19
2014-08-12 14:22:22,2456882.09887,18.17
2014-08-12 18:36:01,2456882.27501,18.16
2014-08-12 20:22:36,2456882.34903,18.17
2014-08-13 00:36:15,2456882.52517,18.18
2014-08-13 02:22:49,2456882.59918,18.14
2014-08-13 06:36:29,2456882.77534,18.18
2014-08-13 08:23:03,2456882.84934,18.16
2014-08-13 14:23:17,2456883.0995,18.18
2014-08-23 20:33:03,2456893.35628,18.19
2014-08-24 00:46:43,2456893.53244,18.24
2014-11-06 21:39:28,2456968.40241,18.17
2014-11-06 23:26:02,2456968.47641,18.16
2015-02-04 02:38:02,2457057.60975,18.09
2015-02-04 04:24:36,2457057.68375,18.11
2015-07-11 17:50:44,2457215.24356,18.06
2015-09-13 23:19:29,2457279.47186,18.06
2015-09-14 01:06:03,2457279.54587,18.03
2015-10-21 00:43:21,2457316.5301,18.06
2015-10-21 04:57:01,2457316.70626,18.04
2015-11-20 12:30:23,2457347.0211,18.06
2015-12-20 18:12:34,2457377.25873,18.09
2016-01-24 03:46:28,2457411.65727,18.11
2016-02-15 15:40:26,2457434.15308,18.12
2016-02-15 17:27:00,2457434.22708,18.09
2016-03-24 20:37:44,2457472.35954,18.08
2016-03-24 22:24:18,2457472.43354,18.08
2016-05-23 01:37:55,2457531.568,18.03
2016-05-23 03:24:29,2457531.642,18.05
2016-06-18 13:27:28,2457558.06074,18.02
2016-08-27 06:35:41,2457627.77478,17.95
2016-08-27 08:22:15,2457627.84878,17.92
2016-09-26 20:13:29,2457658.3427,17.94
2016-11-02 00:04:28,2457694.5031,17.88
2016-11-02 01:51:02,2457694.57711,17.84
2016-12-02 23:47:17,2457725.49117,17.85
2016-12-03 01:33:52,2457725.56519,17.75
2016-12-31 13:18:16,2457754.05435,17.77
2017-02-04 16:46:07,2457789.19869,17.74
2017-02-04 18:32:42,2457789.27271,17.71
2017-02-26 07:51:03,2457810.82712,17.71
2017-04-05 23:00:11,2457849.45846,17.65
2017-04-06 00:46:45,2457849.53247,17.64
2017-04-27 04:57:30,2457870.7066,17.63
2017-06-04 10:04:06,2457908.91951,17.6
2017-06-04 11:50:40,2457908.99352,17.63
2017-08-05 09:26:16,2457970.89324,17.54
2017-08-05 11:12:50,2457970.96725,17.53
2017-09-10 10:50:36,2458006.95181,17.59
2017-10-10 10:42:46,2458036.94637,17.58
2017-12-16 08:12:18,2458103.84188,17.71
2017-12-16 09:58:52,2458103.91588,17.66
2018-01-12 03:45:40,2458130.65671,17.72
2018-01-12 07:59:20,2458130.83287,17.68
2018-02-17 07:08:11,2458166.79735,17.67
2018-02-17 08:54:46,2458166.87137,17.71
2018-04-18 00:00:40,2458226.50046,17.62
2018-04-18 01:47:14,2458226.57447,17.6
2018-06-16 17:08:25,2458286.21418,17.57
2018-06-16 18:54:59,2458286.28818,17.56
2018-07-16 16:52:49,2458316.20334,17.57
2018-08-18 12:19:54,2458349.01382,17.58
2018-09-24 10:10:49,2458385.92418,17.6
