#Date,JD(TCB),averagemag
2014-10-27 02:10:57,2456957.59094,18.4
2015-01-06 00:12:46,2457028.50887,18.33
2015-01-06 01:59:20,2457028.58287,18.32
2015-02-12 05:44:26,2457065.73919,18.28
2015-03-17 17:07:00,2457099.21319,18.22
2015-05-31 21:45:25,2457174.40654,18.21
2015-07-15 20:22:23,2457219.34888,18.2
2015-07-15 22:08:57,2457219.42288,18.2
2015-09-10 03:35:15,2457275.64948,18.33
2015-10-16 13:27:54,2457312.06104,18.38
2015-10-16 15:14:29,2457312.13506,18.37
2015-11-08 13:35:38,2457335.06641,18.42
2015-11-08 15:22:12,2457335.14042,18.42
2015-11-08 19:35:53,2457335.31659,18.41
2015-12-28 07:15:37,2457384.80251,18.37
2015-12-28 09:02:11,2457384.87652,18.38
2016-01-21 07:17:28,2457408.8038,18.39
2016-01-21 09:04:02,2457408.8778,18.43
2016-02-23 12:51:22,2457442.03567,18.37
2016-02-23 14:37:56,2457442.10968,18.35
2016-03-30 06:03:04,2457477.75213,18.38
2016-03-30 07:49:38,2457477.82613,18.38
2016-06-01 06:20:34,2457540.76428,18.31
2016-06-01 10:34:14,2457540.94044,18.3
2016-06-12 04:41:03,2457551.69517,18.28
2016-06-12 06:27:37,2457551.76918,18.29
2016-08-18 09:23:14,2457618.89113,18.27
2016-08-18 11:09:49,2457618.96515,18.25
2016-09-21 02:58:39,2457652.62406,18.17
2016-10-31 14:36:31,2457693.10869,18.24
2016-10-31 16:23:06,2457693.18271,18.24
2016-11-20 16:33:37,2457713.19001,18.23
2016-11-20 20:47:17,2457713.36617,18.24
2016-11-20 22:33:51,2457713.44017,18.23
2016-11-21 02:47:32,2457713.61634,18.23
2017-01-08 10:11:49,2457761.92487,18.24
2017-01-08 14:25:28,2457762.10102,18.27
2017-02-04 02:19:12,2457788.59667,18.17
2017-03-05 21:20:04,2457818.38894,18.21
2017-04-12 16:07:44,2457856.17204,18.18
2017-04-12 20:21:23,2457856.34818,18.16
2017-04-28 10:11:32,2457871.92468,18.12
2017-06-12 18:52:47,2457917.28666,18.11
2017-06-12 20:39:21,2457917.36066,18.1
2017-08-06 11:53:38,2457971.99558,18.07
2017-08-06 13:40:13,2457972.06959,18.07
2017-09-01 19:32:34,2457998.31428,18.1
2017-10-02 23:31:23,2458029.48013,18.1
2017-11-16 17:10:12,2458074.21542,18.14
2017-11-16 23:10:27,2458074.46559,18.09
2017-11-17 00:57:01,2458074.53959,18.13
2017-12-05 05:21:36,2458092.72333,18.15
2017-12-05 07:08:10,2458092.79734,18.14
2017-12-05 11:21:50,2458092.9735,18.12
2017-12-05 13:08:25,2458093.04751,18.14
2018-01-20 04:56:50,2458138.70613,18.1
2018-01-20 06:43:24,2458138.78014,18.06
2018-03-16 22:25:04,2458194.43407,18.02
2018-03-17 00:11:38,2458194.50808,18.02
2018-04-26 03:16:52,2458234.63671,17.94
2018-05-09 09:22:29,2458247.89061,17.95
2018-05-09 11:09:04,2458247.96463,17.97
2018-06-23 21:36:44,2458293.40051,17.91
2018-06-24 01:50:25,2458293.57668,17.9
2018-07-08 19:56:51,2458308.33115,17.9
2018-08-18 01:00:27,2458348.54198,17.85
2018-10-15 00:42:05,2458406.52922,17.85
2018-10-15 02:28:39,2458406.60323,17.82
2018-12-02 06:22:38,2458454.76572,17.86
2018-12-02 08:09:12,2458454.83972,17.88
2018-12-21 02:19:25,2458473.59682,17.88
2018-12-21 06:33:04,2458473.77296,17.89
2018-12-21 08:19:38,2458473.84697,17.85
2018-12-21 12:33:18,2458474.02313,17.87
2019-02-01 00:05:23,2458515.50374,17.86
2019-03-04 05:38:54,2458546.73535,17.86
2019-03-28 01:15:28,2458570.55241,17.82
2019-05-09 04:12:12,2458612.67514,17.75
2019-05-09 05:58:47,2458612.74916,17.79
2019-05-20 12:05:04,2458624.00352,17.72
2019-07-04 22:36:05,2458669.44172,17.76
2019-07-05 02:49:45,2458669.61788,17.71
2019-08-05 05:16:52,2458700.72005,17.77
2019-08-05 07:03:27,2458700.79406,17.76
2019-10-01 07:39:59,2458757.81943,17.74
2019-11-11 16:16:27,2458799.17809,17.71
2019-11-11 18:03:01,2458799.25209,17.74
2019-11-22 12:17:27,2458810.01212,17.76
2019-11-22 16:31:07,2458810.18828,17.76
