#Date,JD(TCB),averagemag
2018-08-16 02:38:48,2458346.61028,19.78
2018-10-11 14:25:25,2458403.10098,18.27
2018-10-11 18:39:06,2458403.27715,18.3
2018-12-12 06:34:40,2458464.77407,17.68
2018-12-12 12:34:54,2458465.02424,17.67
2018-12-12 14:21:28,2458465.09824,17.69
2018-12-12 18:35:08,2458465.2744,17.69
2018-12-12 20:21:42,2458465.3484,17.73
2018-12-13 00:35:22,2458465.52456,17.71
2018-12-13 02:21:56,2458465.59856,17.7
2018-12-13 06:35:36,2458465.77472,17.66
2018-12-13 08:22:10,2458465.84873,17.72
2018-12-13 12:35:50,2458466.02488,17.72
2018-12-13 18:36:03,2458466.27503,17.73
2018-12-13 20:22:37,2458466.34904,17.7
2018-12-14 00:36:17,2458466.5252,17.72
2018-12-14 02:22:51,2458466.5992,17.73
2018-12-14 06:36:30,2458466.77535,17.74
2018-12-14 08:23:04,2458466.84935,17.72
2018-12-14 12:36:44,2458467.02551,17.75
2018-12-14 14:23:18,2458467.09951,17.75
2018-12-14 18:36:58,2458467.27567,17.75
2018-12-15 00:37:11,2458467.52582,17.75
2018-12-15 02:23:45,2458467.59983,17.74
2018-12-15 06:37:25,2458467.77598,17.75
2018-12-15 08:23:59,2458467.84999,17.75
2018-12-17 06:39:13,2458469.77723,17.78
2018-12-17 08:25:48,2458469.85125,17.78
2018-12-17 12:39:27,2458470.0274,17.75
2018-12-17 18:39:41,2458470.27756,17.79
2019-02-02 18:13:49,2458517.25959,18.2
2019-02-02 20:00:22,2458517.33359,18.21
2019-03-06 07:30:46,2458548.81303,18.26
2019-03-28 05:38:06,2458570.73479,18.56
2019-07-04 20:39:05,2458669.36047,19.37
2019-07-04 22:25:39,2458669.43448,19.37
2019-08-07 05:11:59,2458702.71666,19.76
2019-08-07 06:58:34,2458702.79067,19.69
2019-09-09 06:43:55,2458735.7805,19.87
2019-09-09 08:30:29,2458735.8545,19.92
2019-10-01 09:17:35,2458757.88721,20.09
