#Date,JD(TCB),averagemag
2014-07-28 03:54:55,2456866.66314,18.74
2014-07-28 08:08:36,2456866.83931,18.73
2014-07-28 09:55:10,2456866.91331,18.74
2014-07-28 14:08:51,2456867.08948,18.76
2014-07-28 15:55:26,2456867.1635,18.76
2014-07-28 20:09:07,2456867.33966,18.74
2014-11-03 02:05:24,2456964.58708,18.79
2014-11-03 03:51:57,2456964.66108,18.76
2014-11-18 20:09:03,2456980.33962,18.8
2015-05-21 20:11:49,2457164.34154,18.61
2015-05-21 21:58:24,2457164.41556,18.63
2015-06-23 09:39:35,2457196.90249,18.61
2015-06-23 13:53:17,2457197.07867,18.64
2015-11-12 03:08:59,2457338.63124,18.62
2015-12-31 22:27:08,2457388.43551,18.75
2016-05-11 03:13:16,2457519.63421,18.77
2016-06-05 09:11:41,2457544.88311,18.74
2016-06-05 10:58:16,2457544.95713,18.71
2016-07-03 04:50:13,2457572.70154,18.68
2016-07-03 09:03:55,2457572.87772,18.64
2016-11-20 22:14:57,2457713.42705,18.76
2016-12-17 03:57:46,2457739.66512,18.81
2017-01-09 21:48:22,2457763.40859,18.91
2017-01-09 23:34:55,2457763.48258,18.84
2017-05-21 17:46:41,2457895.24075,18.67
2017-07-13 13:21:42,2457948.05674,18.64
2017-07-13 17:35:24,2457948.23292,18.63
2017-12-01 00:44:40,2458088.53102,18.67
2017-12-01 02:31:14,2458088.60502,18.71
2017-12-31 20:01:43,2458119.33453,18.72
2018-01-01 00:15:22,2458119.51067,18.79
2018-01-19 08:03:51,2458137.83601,18.79
2018-06-01 14:44:48,2458271.11444,18.8
2018-07-06 12:32:49,2458306.02279,18.74
2018-07-06 14:19:24,2458306.09681,18.72
2018-07-23 00:41:14,2458322.52863,18.79
2018-07-23 02:27:48,2458322.60264,18.79
2018-10-27 20:36:06,2458419.3584,18.69
2018-10-27 22:22:39,2458419.4324,18.69
2018-10-28 02:36:18,2458419.60854,18.68
2018-10-28 04:22:52,2458419.68255,18.69
2018-10-28 08:36:31,2458419.85869,18.7
2018-10-28 10:23:05,2458419.9327,18.68
2018-11-01 22:26:32,2458424.43509,18.7
2018-11-02 02:40:11,2458424.61124,18.71
2018-11-02 04:26:45,2458424.68524,18.71
2018-11-02 08:40:24,2458424.86139,18.68
2018-11-02 10:26:57,2458424.93538,18.7
2019-01-17 07:13:31,2458500.80105,18.73
2019-01-17 09:00:05,2458500.87506,18.69
2019-01-17 13:13:44,2458501.0512,18.7
2019-01-26 01:19:27,2458509.55517,18.67
2019-01-26 07:19:40,2458509.80532,18.69
2019-01-26 09:06:14,2458509.87933,18.65
2019-04-25 04:15:02,2458598.67711,18.55
2019-04-25 08:28:43,2458598.85328,18.55
2019-04-25 10:15:18,2458598.92729,18.54
2019-04-25 14:28:59,2458599.10346,18.5
2019-05-04 14:36:58,2458608.109,18.48
2019-05-04 16:23:33,2458608.18302,18.51
2019-05-04 22:23:49,2458608.43321,18.53
2019-06-12 15:56:39,2458647.16434,18.53
2019-07-21 09:41:46,2458685.904,18.42
2019-07-21 15:42:02,2458686.15419,18.41
2019-07-21 17:28:37,2458686.22821,18.41
2019-07-29 05:37:24,2458693.73431,18.35
2019-07-29 09:51:05,2458693.91047,18.37
2019-07-29 11:37:40,2458693.98449,18.31
2019-07-29 15:51:21,2458694.16066,18.34
2019-10-28 17:32:43,2458785.23105,18.37
2019-10-28 19:19:17,2458785.30506,18.39
2019-10-29 01:19:29,2458785.5552,18.4
