#Date,JD(TCB),averagemag
2015-02-20 17:59:02,2457074.24933,17.19
2015-03-20 19:27:02,2457102.31044,17.14
2015-04-13 19:17:32,2457126.30384,17.1
2015-09-07 19:13:20,2457273.30093,17.24
2015-09-07 20:59:55,2457273.37494,17.26
2015-10-08 18:57:08,2457304.28968,17.24
2015-10-30 02:48:41,2457325.61714,17.21
2015-10-30 07:02:22,2457325.79331,17.22
2015-10-30 08:48:57,2457325.86733,17.22
2016-03-02 07:07:38,2457449.79697,17.23
2016-03-02 08:54:12,2457449.87097,17.2
2016-04-03 12:35:15,2457482.02448,17.18
2016-04-22 14:21:17,2457501.09811,17.23
2018-02-01 05:11:43,2458150.71647,17.27
2018-02-01 06:58:17,2458150.79047,17.29
2018-03-23 22:46:42,2458201.4491,17.08
2018-05-06 05:37:07,2458244.73411,17.16
2018-05-06 11:37:20,2458244.98426,17.11
2018-05-06 17:37:34,2458245.23442,17.15
2018-05-06 21:51:13,2458245.41057,17.15
2018-05-06 23:37:47,2458245.48457,17.13
2018-05-07 03:51:26,2458245.66072,17.19
2018-05-07 05:38:00,2458245.73472,17.19
2018-05-07 11:38:13,2458245.98487,17.22
2018-05-07 17:38:27,2458246.23503,17.2
2018-08-18 00:25:19,2458348.51758,17.04
2018-09-08 20:13:01,2458370.34237,17.02
2019-03-06 08:00:20,2458548.83356,17.08
2019-04-03 11:53:45,2458576.99566,17.09
2019-04-03 13:40:19,2458577.06966,17.08
2019-08-15 11:21:49,2458710.97348,16.79
2019-08-15 13:08:24,2458711.0475,16.7
2019-09-09 12:14:38,2458736.01016,17.02
2019-10-07 19:27:15,2458764.31059,17.08
2019-10-07 21:13:50,2458764.38461,17.05
2020-02-24 16:19:52,2458904.18046,16.96
2020-02-24 18:06:26,2458904.25447,16.97
2020-04-17 00:11:44,2458956.50815,17.04
2020-04-17 01:58:17,2458956.58214,17.0
2020-08-18 08:10:15,2459079.84045,17.25
2020-08-18 12:23:57,2459080.01663,17.23
2020-09-09 18:24:25,2459102.26696,17.2
2020-09-09 20:11:00,2459102.34097,17.17
2020-10-10 06:08:23,2459132.75582,17.09
2021-02-11 00:17:51,2459256.5124,17.18
2021-03-07 06:11:27,2459280.75795,17.34
2021-04-03 23:52:19,2459308.49466,17.3
2021-04-04 01:38:53,2459308.56867,17.28
2021-08-28 19:31:28,2459455.31352,17.2
2021-08-28 21:18:03,2459455.38753,17.2
2021-09-24 15:09:55,2459482.13189,17.23
2021-10-20 19:19:30,2459508.30521,17.16
2021-10-20 21:06:05,2459508.37922,17.15
2022-02-21 09:12:53,2459631.88395,17.07
2022-03-21 20:53:09,2459660.37024,17.23
2022-03-22 01:06:47,2459660.54638,17.27
2022-04-14 08:44:31,2459683.86425,17.37
2022-09-08 14:40:58,2459831.11178,17.2
2022-09-08 16:27:33,2459831.1858,17.18
2022-10-09 20:23:45,2459862.34983,17.31
2022-10-09 22:10:20,2459862.42384,17.31
