#Date,JD(TCB),averagemag
2015-09-03 09:50:11,2457268.90985,18.29
2015-09-03 11:36:44,2457268.98384,18.28
2015-10-03 05:13:49,2457298.71793,18.34
2016-04-08 16:07:26,2457487.17183,18.32
2016-04-08 17:54:00,2457487.24583,18.36
2016-04-27 04:14:43,2457505.67689,18.24
2016-04-27 10:14:59,2457505.92707,18.3
2016-09-13 04:58:46,2457644.70748,18.24
2016-09-13 06:45:20,2457644.78148,18.29
2016-10-17 16:22:31,2457679.1823,18.32
2016-11-01 10:26:55,2457693.93536,18.25
2016-11-01 12:13:29,2457694.00936,18.23
2016-11-01 18:13:42,2457694.25951,18.29
2017-02-02 01:56:20,2457786.58079,18.3
2017-02-02 06:10:01,2457786.75696,18.25
2017-02-02 07:56:36,2457786.83097,18.32
2017-02-02 12:10:17,2457787.00714,18.1
2017-02-02 13:56:52,2457787.08116,18.26
2017-02-02 18:10:32,2457787.25731,18.25
2017-02-06 06:14:03,2457790.75976,18.33
2017-02-06 08:00:38,2457790.83377,18.35
2017-02-06 12:14:19,2457791.00994,18.22
2017-02-06 14:00:54,2457791.08396,18.31
2017-02-06 18:14:35,2457791.26013,18.25
2017-02-06 20:01:10,2457791.33414,18.3
2017-04-25 20:19:17,2457869.34672,18.3
2017-04-26 00:32:58,2457869.52289,18.2
2017-04-26 02:19:33,2457869.59691,18.29
2017-05-04 02:26:49,2457877.60196,18.27
2017-05-04 06:40:30,2457877.77813,18.32
2017-05-04 08:27:04,2457877.85213,18.26
2017-05-04 12:40:45,2457878.0283,18.33
2017-05-04 14:27:20,2457878.10231,18.32
2017-08-06 14:01:20,2457972.08426,18.17
2017-08-06 15:47:54,2457972.15826,18.26
2017-08-06 21:48:06,2457972.4084,18.25
2017-08-17 02:08:00,2457982.58889,18.26
2017-08-17 03:54:34,2457982.66289,18.28
2017-08-17 08:08:13,2457982.83904,18.25
2017-09-24 01:29:57,2458020.56247,18.3
2017-09-24 03:16:30,2458020.63646,18.28
2018-02-08 02:31:32,2458157.60523,18.26
2018-03-29 02:13:14,2458206.59252,18.31
2018-08-14 09:04:08,2458344.87787,18.31
2018-08-14 10:50:42,2458344.95188,18.26
2018-09-03 03:06:09,2458364.62927,18.29
2018-10-04 20:38:22,2458396.35998,18.29
2019-02-16 23:23:55,2458531.47494,18.24
2019-03-10 21:38:03,2458553.40142,18.25
2019-04-08 15:24:30,2458582.14201,18.28
2019-08-22 02:15:50,2458717.59433,17.55
2019-08-22 04:02:24,2458717.66833,17.57
2019-09-14 02:58:45,2458740.62413,16.93
2019-10-12 22:05:40,2458769.4206,16.48
2019-10-12 23:52:14,2458769.49461,16.5
2020-02-20 13:33:59,2458900.06527,18.19
2020-02-20 15:20:34,2458900.13928,18.21
2020-03-16 08:31:58,2458924.85553,18.28
2020-03-16 10:18:33,2458924.92955,18.27
2020-04-11 17:23:05,2458951.22436,18.31
2020-08-14 15:02:31,2459076.12675,18.4
2020-08-14 16:49:05,2459076.20075,18.32
2020-09-03 22:50:08,2459096.45148,18.28
2020-09-04 03:03:47,2459096.62763,18.31
2021-03-11 15:35:47,2459285.14985,18.25
2021-04-09 03:23:32,2459313.64134,18.25
2021-04-09 05:10:07,2459313.71536,18.28
2021-08-24 16:09:28,2459451.17324,18.28
2021-08-24 17:56:01,2459451.24723,18.25
2022-02-27 06:31:41,2459637.772,18.33
2022-03-26 12:20:56,2459665.01454,18.3
2022-04-19 10:33:55,2459688.94022,18.34
2022-04-19 12:20:29,2459689.01422,18.3
2022-09-04 05:17:37,2459826.72057,18.27
2022-09-04 07:04:11,2459826.79457,18.3
2022-10-25 10:50:40,2459877.95185,18.33
2022-10-25 12:37:14,2459878.02586,18.36
