#Date,JD(TCB),averagemag
2014-11-16 04:07:42,2456977.67201,18.08
2015-03-13 02:46:29,2457094.61561,18.08
2015-03-13 07:00:08,2457094.79176,18.06
2015-03-13 08:46:42,2457094.86576,18.06
2015-03-25 01:05:40,2457106.5456,18.02
2015-03-25 02:52:14,2457106.61961,18.06
2015-06-28 11:46:08,2457201.99037,17.96
2015-06-28 17:46:21,2457202.24052,17.97
2015-06-28 19:32:55,2457202.31453,17.95
2015-09-04 19:35:01,2457270.31598,17.96
2015-09-04 23:48:42,2457270.49215,17.98
2015-09-05 01:35:17,2457270.56617,17.98
2015-09-05 05:48:57,2457270.74233,17.98
2015-09-05 07:35:32,2457270.81634,17.96
2015-09-05 13:35:46,2457271.0665,17.99
2015-09-05 17:49:27,2457271.24267,17.98
2015-09-13 17:56:47,2457279.24777,18.01
2015-09-13 23:57:02,2457279.49794,18.0
2015-09-14 01:43:37,2457279.57196,17.97
2015-09-14 05:57:17,2457279.74811,18.0
2015-09-14 11:57:33,2457279.9983,17.99
2015-09-14 13:44:07,2457280.0723,17.99
2015-10-27 23:36:33,2457323.48372,17.97
2015-11-30 05:06:01,2457356.71251,18.0
2016-03-21 19:58:09,2457469.33205,18.1
2016-04-07 08:00:36,2457485.83375,18.06
2016-05-13 09:01:45,2457521.87622,18.06
2017-11-17 23:05:04,2458075.46185,17.94
2017-12-26 20:22:41,2458114.34909,17.91
2017-12-26 22:09:16,2458114.4231,17.91
2018-01-05 10:16:04,2458123.92782,17.91
2018-01-05 14:29:45,2458124.10399,17.85
2018-04-11 05:24:45,2458219.72552,18.0
2018-04-11 07:11:19,2458219.79953,17.94
2018-05-06 01:00:43,2458244.54216,17.91
2018-05-06 05:14:21,2458244.7183,17.94
2018-06-05 16:55:29,2458275.2052,17.93
2018-06-05 18:42:02,2458275.27919,17.9
2018-10-05 12:29:22,2458397.02039,17.82
2018-10-05 16:43:03,2458397.19656,17.79
2018-11-02 04:36:58,2458424.69234,17.83
2018-11-02 06:23:32,2458424.76634,17.82
2018-11-28 16:26:36,2458451.18514,17.85
2019-01-10 15:20:06,2458494.13896,17.88
