#Date,JD(TCB),averagemag
2014-11-19 18:22:26,2456981.26558,20.07
2014-11-19 20:09:00,2456981.33958,20.29
2014-11-25 20:13:46,2456987.34289,20.28
2014-11-26 00:27:26,2456987.51905,20.29
2014-11-26 02:14:00,2456987.59306,20.31
2015-01-10 12:33:40,2457033.02338,20.3
2015-06-25 21:38:32,2457199.40176,20.08
2015-06-25 23:25:07,2457199.47578,20.04
2015-06-26 03:38:46,2457199.65192,20.05
2015-06-26 09:39:00,2457199.90208,20.1
2015-06-26 11:25:34,2457199.97609,20.06
2015-07-12 05:36:10,2457215.73345,20.07
2015-07-12 09:49:49,2457215.90959,20.07
2015-08-24 11:08:59,2457258.96457,20.27
2015-10-18 08:44:44,2457313.8644,20.28
2015-12-02 13:16:43,2457359.05328,20.28
2015-12-02 15:03:17,2457359.12728,20.29
2015-12-02 19:16:57,2457359.30344,20.32
2015-12-02 21:03:31,2457359.37744,20.25
2015-12-03 01:17:11,2457359.5536,20.2
2015-12-03 07:17:25,2457359.80376,20.22
2015-12-03 13:17:39,2457360.05392,20.27
2015-12-04 19:18:46,2457361.3047,20.3
2015-12-05 01:19:00,2457361.55486,20.21
2015-12-05 09:05:48,2457361.87903,20.25
2015-12-05 13:19:28,2457362.05519,20.2
2015-12-05 19:19:42,2457362.30535,20.27
2015-12-05 21:06:17,2457362.37936,20.26
2016-01-20 11:46:43,2457407.99078,20.29
2016-01-20 13:33:17,2457408.06478,20.34
2016-02-06 11:50:29,2457424.99339,20.4
2016-03-12 12:56:29,2457460.03922,17.67
2016-04-17 16:48:48,2457496.20056,19.32
2016-04-17 18:35:23,2457496.27457,19.42
2016-05-08 22:58:59,2457517.45763,19.91
2016-05-09 00:45:33,2457517.53163,19.81
2016-05-09 04:59:14,2457517.7078,20.0
2017-10-24 01:48:04,2458050.57505,20.39
2017-10-24 06:01:43,2458050.75119,20.28
2017-12-22 16:25:00,2458110.18403,20.35
2017-12-22 18:11:34,2458110.25803,20.3
2017-12-22 22:25:14,2458110.43419,20.34
2017-12-28 18:16:40,2458116.26157,20.29
2018-02-09 03:15:42,2458158.6359,20.25
2018-03-04 21:09:31,2458182.38161,20.25
2018-03-04 22:56:05,2458182.45561,20.36
2018-04-04 14:53:15,2458213.12031,20.35
2018-05-25 14:37:48,2458264.10958,17.93
2018-05-25 20:38:03,2458264.35976,18.02
2018-05-25 22:24:37,2458264.43376,18.06
2018-05-26 02:38:18,2458264.60993,18.06
2018-05-26 08:38:32,2458264.86009,18.15
2018-05-26 10:25:07,2458264.93411,18.13
2018-05-26 14:38:47,2458265.11027,18.23
2018-05-26 16:25:21,2458265.18427,18.15
2018-05-26 20:39:01,2458265.36043,17.79
2018-05-26 22:25:36,2458265.43444,16.89
2018-05-27 04:25:50,2458265.68461,16.19
2018-06-01 16:30:53,2458271.18811,18.53
2018-06-01 22:31:07,2458271.43828,18.5
2018-06-02 02:44:47,2458271.61443,18.59
2018-06-02 04:31:21,2458271.68844,18.56
2018-06-02 08:45:01,2458271.86459,18.59
2018-06-02 10:31:35,2458271.9386,18.54
2018-06-02 14:45:15,2458272.11476,18.56
2018-06-02 16:31:49,2458272.18876,18.43
2018-06-02 20:45:29,2458272.36492,18.17
2018-06-02 22:32:04,2458272.43894,18.38
2018-06-03 02:45:44,2458272.61509,18.15
2018-06-03 08:45:58,2458272.86525,18.23
2018-06-03 14:46:13,2458273.11543,18.21
2018-07-31 20:32:52,2458331.35616,20.17
2018-07-31 22:19:26,2458331.43016,20.03
2018-08-29 16:09:19,2458360.17314,20.13
2018-09-26 21:52:28,2458388.41144,20.33
2018-11-06 14:42:51,2458429.11309,20.32
2018-11-16 13:02:17,2458439.04325,20.3
2019-01-01 05:19:11,2458484.72166,20.46
2019-01-10 23:25:52,2458494.4763,20.38
2019-03-19 04:09:49,2458561.67348,20.41
2019-04-16 05:50:49,2458589.74362,20.34
2019-06-13 09:55:25,2458647.91348,20.28
2019-06-13 11:42:00,2458647.9875,20.38
2019-06-13 15:55:40,2458648.16366,20.44
2019-06-13 17:42:14,2458648.23766,20.47
2019-06-13 23:42:28,2458648.48782,20.42
2019-06-14 03:56:08,2458648.66398,20.43
2019-06-14 05:42:42,2458648.73799,20.44
2019-06-14 11:42:56,2458648.98815,20.38
2019-06-14 17:43:10,2458649.23831,20.34
2019-06-20 11:48:15,2458654.99184,20.43
2019-06-20 16:01:55,2458655.168,20.51
2019-06-20 22:02:09,2458655.41816,20.49
2019-06-20 23:48:43,2458655.49216,20.45
2019-06-21 04:02:23,2458655.66832,20.51
2019-06-21 05:48:57,2458655.74233,20.48
2019-06-21 10:02:36,2458655.91847,20.41
2019-06-21 11:49:11,2458655.99249,20.33
2019-06-21 16:02:50,2458656.16863,20.36
2019-06-21 17:49:25,2458656.24265,20.48
2019-06-21 22:03:05,2458656.41881,20.39
2019-09-22 14:42:40,2458749.11296,16.15
2019-09-22 16:29:13,2458749.18696,16.27
2019-10-20 11:26:50,2458776.97697,19.27
2019-10-20 15:40:29,2458777.15311,19.28
2019-12-15 01:23:46,2458832.55817,20.16
2019-12-15 07:24:00,2458832.80833,20.14
2019-12-15 11:37:40,2458832.98449,20.17
2019-12-15 13:24:15,2458833.05851,20.29
2019-12-15 17:37:55,2458833.23466,20.0
2019-12-15 19:24:29,2458833.30867,20.17
2019-12-15 23:38:09,2458833.48483,20.17
2019-12-16 01:24:44,2458833.55884,20.29
2019-12-16 05:38:24,2458833.735,20.17
2019-12-16 11:38:39,2458833.98517,20.16
2019-12-22 19:31:38,2458840.31363,20.18
2019-12-22 23:45:18,2458840.48979,20.19
2019-12-23 01:31:53,2458840.56381,20.21
2019-12-23 05:45:33,2458840.73997,20.05
2019-12-23 07:32:07,2458840.81397,20.16
2019-12-23 11:45:48,2458840.99014,20.23
2019-12-23 13:32:22,2458841.06414,20.3
2019-12-23 17:46:02,2458841.2403,20.26
2020-02-09 21:28:05,2458889.3945,20.32
2020-02-10 01:41:46,2458889.57067,20.25
2020-03-11 09:03:00,2458919.87708,20.36
2020-03-11 10:49:35,2458919.9511,20.35
2020-04-04 11:45:02,2458943.98961,20.38
2020-05-18 20:28:20,2458988.35301,20.4
2020-05-19 02:28:35,2458988.60318,20.38
2020-05-24 20:34:52,2458994.35755,20.4
2020-05-25 00:48:33,2458994.53372,20.25
2020-05-25 02:35:07,2458994.60772,20.22
2020-07-12 15:57:41,2459043.16506,20.25
2020-07-12 17:44:15,2459043.23906,20.31
2020-07-27 06:04:47,2459057.75332,20.45
2020-08-01 08:31:39,2459062.85531,20.4
2020-09-27 09:50:54,2459119.91035,20.4
2020-11-07 06:53:47,2459160.78735,18.11
2020-11-07 08:40:21,2459160.86135,18.18
2020-11-07 12:54:00,2459161.0375,18.12
2020-11-16 18:59:38,2459170.29141,18.23
2020-11-16 20:46:12,2459170.36542,18.18
2020-11-17 00:59:52,2459170.54157,18.1
2021-01-01 13:03:11,2459216.04388,19.85
2021-01-01 17:16:52,2459216.22005,19.77
2021-01-11 17:23:31,2459226.22466,19.96
2021-01-11 19:10:05,2459226.29867,19.94
2021-02-20 06:07:02,2459265.75488,20.26
2021-04-16 22:03:27,2459321.41906,20.26
2021-06-13 21:54:20,2459379.41273,20.4
2021-06-14 03:54:35,2459379.66291,20.43
2021-06-14 05:41:09,2459379.73691,20.39
2021-06-14 09:54:49,2459379.91307,20.16
2021-06-14 11:41:23,2459379.98707,20.41
2021-06-14 15:55:03,2459380.16323,20.45
2021-06-14 21:55:17,2459380.41339,20.39
2021-06-14 23:41:51,2459380.4874,20.43
2021-06-15 05:42:05,2459380.73756,20.47
2021-06-22 10:01:51,2459387.91795,20.32
2021-06-22 23:48:53,2459388.49228,20.33
2021-06-23 04:02:33,2459388.66844,20.29
2021-06-23 05:49:07,2459388.74244,20.35
