#Date,JD(TCB),averagemag
2014-11-20 04:39:11,2456981.69388,18.08
2014-11-20 06:25:45,2456981.76788,18.08
2015-05-29 01:02:06,2457171.54313,18.13
2015-06-21 06:58:44,2457194.79079,17.96
2015-11-04 11:57:15,2457330.99809,18.0
2015-12-04 19:24:00,2457361.30833,18.36
2016-05-09 08:31:01,2457517.85487,18.39
2016-06-13 01:58:33,2457552.58233,18.44
2016-06-13 06:12:12,2457552.75847,18.41
2016-11-14 01:08:39,2457706.54767,17.79
2016-12-19 00:36:45,2457741.52552,18.56
2016-12-19 02:23:20,2457741.59954,18.44
2016-12-31 00:45:10,2457753.53137,18.18
2016-12-31 02:31:45,2457753.60538,18.27
2017-04-02 03:51:58,2457845.66109,18.35
2017-04-12 09:58:02,2457855.9153,17.76
2017-04-12 11:44:36,2457855.98931,18.03
2017-04-12 15:58:15,2457856.16545,17.96
2017-05-20 09:15:47,2457893.88596,18.05
2017-05-20 11:02:21,2457893.95997,18.13
2017-10-06 23:45:39,2458033.49003,18.43
2017-10-07 03:59:20,2458033.6662,18.43
2017-10-20 22:08:29,2458047.42256,18.42
2017-10-20 23:55:04,2458047.49657,18.55
2017-10-21 04:08:45,2458047.67274,18.35
2017-11-24 11:28:53,2458081.97839,18.52
2018-04-09 22:52:57,2458218.45344,18.16
2018-04-10 00:39:31,2458218.52744,18.21
2018-04-28 16:54:32,2458237.20454,18.57
2018-04-28 18:41:06,2458237.27854,18.58
2018-05-31 10:24:43,2458269.93383,18.34
2018-10-15 12:52:05,2458407.03617,18.26
2018-10-15 17:05:46,2458407.21234,18.39
2018-11-05 17:09:11,2458428.21471,18.15
2018-11-05 18:55:46,2458428.28873,18.35
2018-12-04 18:39:36,2458457.2775,18.07
2019-04-19 11:58:02,2458592.99863,18.12
2019-04-19 13:44:35,2458593.07263,17.95
2019-05-13 23:49:25,2458617.49265,18.25
2019-05-14 01:35:58,2458617.56664,18.1
2019-06-11 05:33:19,2458645.73147,18.3
2019-06-11 07:19:53,2458645.80547,18.27
2019-10-23 13:53:06,2458780.07854,18.37
2019-10-23 15:39:41,2458780.15256,18.37
2019-11-16 14:48:51,2458804.11726,17.03
2019-11-16 16:35:26,2458804.19127,17.05
2019-12-12 23:41:51,2458830.4874,18.38
2019-12-13 03:55:32,2458830.66356,18.34
2020-04-22 01:26:53,2458961.56034,18.3
2020-04-22 03:13:27,2458961.63434,18.36
2020-05-19 10:12:20,2458988.92523,18.29
2020-06-13 21:17:04,2459014.38685,17.78
2020-12-05 06:38:36,2459188.77681,18.14
2021-04-19 23:56:41,2459324.4977,18.36
2021-04-20 01:43:15,2459324.5717,18.6
2021-05-14 23:47:00,2459349.49097,18.2
2021-06-11 17:32:06,2459377.23063,17.54
2021-10-25 20:00:34,2459513.33373,18.33
2021-11-21 06:05:40,2459539.75394,18.37
2021-11-21 07:52:15,2459539.82795,18.39
2021-12-15 06:01:33,2459563.75108,18.46
2022-04-30 08:50:22,2459699.86831,18.17
2022-05-30 06:41:59,2459729.77916,18.46
2022-05-30 08:28:32,2459729.85315,18.42
2022-06-22 00:39:41,2459752.52756,18.61
2022-06-22 02:26:14,2459752.60155,18.57
