#Date,JD(TCB),averagemag
2014-07-26 04:16:29,2456864.67811,19.04
2014-07-26 10:16:43,2456864.92828,19.0
2014-07-26 12:03:17,2456865.00228,18.99
2014-07-26 18:03:30,2456865.25243,19.02
2014-07-26 22:17:09,2456865.42858,18.99
2014-07-27 00:03:43,2456865.50258,19.02
2014-07-27 04:17:22,2456865.67873,18.99
2014-07-27 06:03:56,2456865.75273,18.98
2014-11-05 11:38:42,2456966.98521,19.02
2014-11-26 23:36:18,2456988.48354,19.01
2015-02-06 22:45:46,2457060.44845,19.04
2015-02-07 00:32:20,2457060.52245,19.01
2015-02-25 12:43:30,2457079.03021,18.97
2015-04-18 22:38:46,2457131.44359,19.04
2015-04-19 00:25:20,2457131.51759,19.06
2015-05-15 22:35:57,2457158.44163,19.04
2015-09-25 13:46:55,2457291.07425,19.05
2015-09-25 15:33:30,2457291.14826,19.0
2015-10-05 21:40:15,2457301.40295,19.06
2015-11-16 06:43:21,2457342.7801,19.11
2015-12-10 18:35:36,2457367.27472,19.07
2016-02-23 17:57:53,2457442.24853,18.99
2016-02-23 19:44:28,2457442.32255,19.03
2016-02-23 23:58:08,2457442.4987,19.0
2016-02-24 01:44:43,2457442.57272,18.99
2016-02-24 07:44:57,2457442.82288,18.98
2016-03-10 18:09:32,2457458.25662,19.04
2016-03-10 19:56:06,2457458.33063,19.01
2016-03-11 00:09:46,2457458.50678,18.91
2016-03-11 01:56:20,2457458.58079,19.02
2016-03-11 06:10:01,2457458.75696,19.03
2016-04-30 07:35:07,2457508.81605,19.0
2016-05-29 23:35:57,2457538.4833,18.97
2016-08-07 22:13:08,2457608.42579,19.08
2016-08-07 23:59:42,2457608.49979,19.02
2016-08-20 12:05:49,2457621.00404,19.03
2016-10-05 02:43:14,2457666.61336,19.04
2016-11-26 01:49:29,2457718.57603,19.05
2016-11-26 03:36:04,2457718.65005,19.05
2016-12-23 15:22:32,2457746.14065,19.08
2017-01-20 03:15:51,2457773.63601,19.09
2017-01-20 07:29:32,2457773.81218,19.07
2017-03-10 20:33:57,2457823.35691,19.06
2017-03-10 22:20:31,2457823.43091,19.09
2017-03-11 02:34:11,2457823.60707,19.1
2017-03-11 04:20:45,2457823.68108,19.08
2017-03-27 10:31:42,2457839.93868,19.05
2017-03-27 14:45:22,2457840.11484,19.07
