#Date,JD(TCB),averagemag
2014-11-16 02:45:13,2456977.61473,18.42
2015-03-11 03:51:22,2457092.66067,18.4
2015-03-11 05:37:57,2457092.73469,18.4
2015-03-26 21:56:52,2457108.41449,18.35
2015-03-26 23:43:27,2457108.48851,18.41
2015-06-29 16:50:29,2457203.20172,18.25
2015-06-29 21:04:10,2457203.37789,18.24
2015-06-29 22:50:44,2457203.4519,18.25
2015-08-30 08:58:00,2457264.87361,18.32
2015-08-30 10:44:34,2457264.94762,18.33
2015-08-30 14:58:14,2457265.12377,18.31
2015-08-30 16:44:48,2457265.19778,18.31
2015-09-18 09:07:28,2457283.88019,18.34
2015-09-18 10:54:02,2457283.95419,18.33
2015-11-29 21:40:30,2457356.40313,18.33
2015-12-17 07:54:24,2457373.82944,18.35
2016-03-20 06:39:19,2457467.7773,18.42
2016-03-20 10:52:59,2457467.95346,18.43
2016-04-08 22:54:43,2457487.45466,18.4
2016-04-09 00:41:17,2457487.52867,18.41
2016-05-13 10:24:11,2457521.93346,18.41
2016-05-13 12:10:45,2457522.00747,18.37
2016-06-24 10:03:19,2457563.91897,18.37
2016-06-24 11:49:53,2457563.99297,18.37
2016-06-24 16:03:34,2457564.16914,18.46
2016-06-24 17:50:08,2457564.24315,18.37
2016-07-10 06:01:51,2457579.75128,18.36
2016-07-10 10:15:31,2457579.92744,18.47
2016-07-10 12:02:06,2457580.00146,18.37
2016-07-10 16:15:46,2457580.17762,18.36
2016-09-10 04:08:21,2457641.67247,18.4
2016-09-10 05:54:55,2457641.74647,18.42
2016-10-03 17:57:38,2457665.24836,18.46
2016-10-03 22:11:17,2457665.4245,18.43
2016-11-05 09:45:32,2457697.90662,18.42
2016-11-05 11:32:06,2457697.98063,18.43
2016-12-12 10:35:12,2457734.94111,18.47
2016-12-26 02:53:03,2457748.62017,18.46
2016-12-26 04:39:37,2457748.69418,18.51
2017-02-11 16:20:32,2457796.18093,18.44
2017-02-11 20:34:12,2457796.35708,18.44
2017-02-11 22:20:46,2457796.43109,18.48
2017-02-12 02:34:27,2457796.60726,18.46
2017-02-12 04:21:01,2457796.68126,18.47
2017-02-12 08:34:42,2457796.85743,18.44
2017-02-12 10:21:16,2457796.93144,18.45
2017-02-12 14:34:56,2457797.10759,18.44
2017-02-12 16:21:31,2457797.18161,18.49
2017-02-12 20:35:11,2457797.35777,18.44
2017-02-12 22:21:45,2457797.43177,18.45
2017-02-13 02:35:26,2457797.60794,18.46
2017-02-13 04:22:00,2457797.68194,18.48
