#Date,JD(TCB),averagemag
2015-04-18 15:06:54,2457131.12979,17.23
2015-04-18 16:53:29,2457131.20381,17.18
2015-09-03 05:36:32,2457268.7337,17.08
2015-10-03 05:13:10,2457298.71748,17.04
2015-10-24 17:09:50,2457320.21516,17.04
2016-03-07 18:15:01,2457455.26043,17.22
2016-04-27 06:01:53,2457505.75131,17.28
2016-09-13 00:45:08,2457644.53134,17.16
2016-10-17 12:08:15,2457679.00573,17.1
2016-10-17 16:21:54,2457679.18188,17.15
2016-11-01 10:26:39,2457693.93517,17.14
2016-11-01 12:13:13,2457694.00918,17.14
2017-02-01 13:56:09,2457786.08066,17.28
2017-02-01 18:09:51,2457786.25684,17.25
2017-02-01 19:56:25,2457786.33084,17.23
2017-02-02 01:56:41,2457786.58103,17.27
2017-02-02 06:10:22,2457786.7572,17.31
2017-02-06 18:14:45,2457791.26024,17.28
2017-02-07 00:15:01,2457791.51043,17.3
2017-02-07 02:01:35,2457791.58443,17.25
2017-02-07 06:15:17,2457791.76061,17.31
2017-02-07 08:01:51,2457791.83462,17.25
2017-03-18 08:48:47,2457830.86721,17.11
2017-04-26 02:19:45,2457869.59705,17.1
2017-04-26 06:33:26,2457869.77322,17.12
2017-04-26 08:20:01,2457869.84723,17.03
2017-05-03 20:27:01,2457877.35209,17.05
2017-05-04 00:40:42,2457877.52826,17.08
2017-05-04 02:27:17,2457877.60228,17.07
2017-05-04 06:40:58,2457877.77845,17.16
2017-08-06 02:00:37,2457971.58376,17.03
2017-08-06 03:47:11,2457971.65777,17.02
2017-08-06 08:00:50,2457971.83391,17.09
2017-08-06 09:47:24,2457971.90792,17.07
2017-08-17 03:53:59,2457982.66249,17.02
2017-08-17 08:07:38,2457982.83863,17.04
2017-09-23 21:16:18,2458020.38632,17.16
2018-02-07 22:18:23,2458157.42943,16.76
2018-02-08 02:32:04,2458157.6056,16.75
2018-03-29 02:13:53,2458206.59297,16.78
2018-08-14 03:03:48,2458344.62764,16.8
2018-08-14 04:50:22,2458344.70164,16.82
2018-09-03 03:05:31,2458364.62883,16.73
2018-10-04 14:38:08,2458396.10981,16.86
2018-10-04 16:24:42,2458396.18382,16.86
2019-02-16 21:37:57,2458531.40135,17.14
2019-02-16 23:24:31,2458531.47536,17.05
2019-03-10 23:24:38,2458553.47544,17.08
2019-04-08 15:25:08,2458582.14245,17.01
2019-04-08 17:11:43,2458582.21647,17.0
2019-10-12 22:05:02,2458769.42016,16.8
2019-10-12 23:51:36,2458769.49417,16.8
2020-02-20 09:20:20,2458899.88912,16.45
2020-02-20 13:34:01,2458900.06529,16.48
2020-03-16 08:32:36,2458924.85597,16.45
2020-03-16 10:19:11,2458924.92999,16.46
2020-04-11 11:22:53,2458950.97422,16.37
2020-04-11 15:36:34,2458951.15039,16.38
2020-08-14 10:48:46,2459075.95053,16.13
2020-08-14 15:02:25,2459076.12668,16.13
2020-09-03 22:49:30,2459096.45104,16.11
2020-09-04 03:03:08,2459096.62718,16.15
2020-10-05 02:36:52,2459127.60894,16.24
2020-10-05 04:23:26,2459127.68294,16.19
2021-02-17 05:23:06,2459262.72438,16.06
2021-02-17 09:36:48,2459262.90056,16.12
2021-04-09 03:24:10,2459313.64178,16.05
2021-04-09 05:10:45,2459313.7158,16.05
2021-09-19 09:58:16,2459476.91546,16.01
2021-10-15 09:44:19,2459502.90578,15.95
2021-10-15 11:30:53,2459502.97978,15.94
2022-02-27 04:45:44,2459637.69843,15.86
2022-02-27 06:32:19,2459637.77244,15.86
2022-03-26 16:34:39,2459665.19073,15.87
2022-03-26 18:21:13,2459665.26473,15.88
2022-04-19 06:20:50,2459688.76447,15.96
2022-04-19 10:34:32,2459688.94065,15.96
2022-09-03 23:17:24,2459826.47042,16.08
2022-09-04 01:03:58,2459826.54442,16.07
2022-10-04 10:52:52,2459856.95338,16.07
2022-10-25 04:50:19,2459877.70161,16.08
2022-10-25 06:36:53,2459877.77561,16.08
