#Date,JD(TCB),averagemag
2017-11-10 02:37:41,2458067.6095,19.43
2018-08-16 03:05:18,2458346.62868,18.71
2018-08-16 04:51:52,2458346.70269,18.68
2019-02-17 21:34:35,2458532.39902,13.86
2019-02-17 23:21:10,2458532.47303,13.86
2019-03-09 21:38:17,2458552.40159,13.62
2019-03-09 23:24:52,2458552.4756,13.64
2019-04-09 05:07:08,2458582.71329,13.52
2019-08-22 20:20:19,2458718.34744,13.14
2019-08-22 22:06:53,2458718.42145,13.14
2019-09-13 02:56:37,2458739.62265,13.04
2019-10-13 10:10:33,2458769.92399,12.82
2020-02-21 19:36:17,2458901.31686,12.33
2020-02-21 21:22:52,2458901.39088,12.31
2020-03-15 22:13:27,2458924.42601,12.4
2020-04-12 17:25:04,2458952.22574,12.22
2020-04-12 21:38:45,2458952.40191,12.22
2021-02-18 03:33:07,2459263.648,17.71
2021-02-18 05:19:42,2459263.72201,17.67
2021-03-10 15:36:01,2459284.15001,16.81
2021-03-10 17:22:35,2459284.22402,16.8
2021-04-09 15:19:36,2459314.13861,15.93
2021-08-25 22:09:32,2459452.42329,18.07
2021-08-25 23:56:05,2459452.49728,18.07
2021-09-18 22:03:03,2459476.41878,16.27
2021-10-16 15:44:30,2459504.1559,17.59
2021-10-16 17:31:04,2459504.22991,17.61
2022-02-27 18:27:58,2459638.26942,16.79
2022-02-27 22:41:39,2459638.44559,16.8
2022-04-20 00:16:45,2459689.51163,15.18
2022-09-05 05:17:12,2459827.72028,18.12
2022-09-05 07:03:45,2459827.79427,18.17
2022-10-26 16:51:18,2459879.20229,19.31
