#Date,JD(TCB),averagemag
2015-03-23 11:47:52,2457104.99157,11.28
2015-04-14 11:43:06,2457126.98826,11.38
2015-10-26 02:38:24,2457321.61,11.35
2015-10-26 06:52:05,2457321.78617,11.37
2016-04-06 12:42:35,2457485.02957,11.3
2016-04-06 14:29:08,2457485.10356,11.31
2016-04-22 14:33:02,2457501.10627,11.41
2018-03-25 04:58:24,2458202.70722,11.46
2018-03-25 06:44:57,2458202.78122,11.45
2018-08-15 12:13:33,2458346.00941,11.48
2018-08-15 14:00:07,2458346.08341,11.47
2018-09-07 06:14:32,2458368.76009,11.25
2018-10-06 18:01:18,2458398.2509,11.47
2019-02-12 12:31:29,2458527.02186,11.29
2019-02-12 14:18:03,2458527.09587,11.27
2019-03-09 00:22:09,2458551.51538,11.35
2019-08-17 11:13:15,2458712.96753,11.48
2019-08-17 12:59:50,2458713.04155,11.48
2019-10-08 21:03:48,2458765.37764,11.43
2020-02-22 04:25:20,2458901.68426,12.1
2020-02-22 06:11:54,2458901.75826,12.08
2020-04-13 12:13:58,2458953.0097,11.96
2020-04-13 14:00:31,2458953.08369,12.05
2020-10-07 01:46:38,2459129.57405,11.7
2020-10-07 06:00:19,2459129.75022,11.69
2021-02-13 00:30:12,2459258.52097,11.07
2021-03-09 20:06:04,2459283.33755,11.07
2021-04-05 00:04:16,2459309.50296,11.29
2021-08-26 07:21:18,2459452.80646,11.68
2021-08-26 09:07:53,2459452.88047,11.76
2021-10-17 08:57:12,2459504.87306,11.72
2022-03-24 15:00:29,2459663.12534,11.89
2022-04-15 01:10:07,2459684.54869,12.04
2022-09-06 02:31:57,2459828.60552,11.14
2022-10-08 15:57:49,2459861.16515,11.27
2022-10-26 16:05:40,2459879.1706,11.65
2022-10-26 20:19:21,2459879.34677,11.63
