#Date,JD(TCB),averagemag
2014-11-03 09:46:12,2456964.90708,19.27
2015-01-13 03:00:55,2457035.62564,19.36
2015-01-13 04:47:29,2457035.69964,19.33
2015-02-06 04:39:58,2457059.69442,19.3
2015-03-17 19:44:28,2457099.32255,19.3
2015-03-17 21:31:02,2457099.39655,19.3
2015-05-13 18:25:02,2457156.26738,19.21
2015-05-13 20:11:36,2457156.34139,19.21
2015-06-01 20:12:26,2457175.34197,19.21
2015-07-09 17:35:45,2457213.23316,19.21
2015-07-09 19:22:19,2457213.30716,19.18
2015-11-18 16:54:40,2457345.20463,19.18
2015-11-18 18:41:14,2457345.27863,19.21
2015-12-24 12:18:38,2457381.01294,19.23
2016-01-26 16:00:28,2457414.16699,19.26
2016-02-17 03:57:13,2457435.66473,19.28
2016-03-29 02:41:00,2457476.61181,19.28
2016-03-29 04:27:34,2457476.68581,19.29
2016-04-11 14:46:51,2457490.11587,19.34
2016-06-14 15:09:25,2457554.13154,19.3
2016-07-20 18:42:31,2457590.27953,19.28
2016-07-20 20:29:05,2457590.35353,19.31
2016-08-25 20:04:40,2457626.33657,19.34
2016-08-26 00:18:20,2457626.51273,19.25
2016-09-21 00:20:55,2457652.51453,19.28
2016-09-21 02:07:30,2457652.58854,19.24
2016-11-06 11:59:06,2457698.99938,19.26
2016-11-06 13:45:41,2457699.07339,19.24
2016-11-06 17:59:21,2457699.24955,19.28
2016-12-02 12:00:42,2457725.00049,19.24
2016-12-02 13:47:16,2457725.07449,19.25
2017-01-03 23:40:31,2457757.48647,19.22
2017-01-04 01:27:05,2457757.56047,19.22
2017-02-07 16:58:50,2457792.20752,19.23
2017-02-07 18:45:25,2457792.28154,19.19
2017-02-27 02:08:24,2457811.58917,19.15
2017-04-09 22:59:57,2457853.4583,19.16
2017-04-10 00:46:32,2457853.53231,19.18
2017-04-23 17:05:33,2457867.21219,19.21
2017-04-23 18:52:07,2457867.28619,19.22
2017-06-04 15:50:17,2457909.15992,19.13
2017-06-04 17:36:51,2457909.23392,19.12
2017-06-28 17:29:36,2457933.22889,19.13
2017-08-02 03:12:45,2457967.63385,19.13
2017-08-02 04:59:19,2457967.70786,19.15
2017-09-10 16:33:40,2458007.19005,19.21
2017-10-04 20:53:59,2458031.37082,19.19
2017-10-04 22:40:33,2458031.44483,19.2
2017-12-16 20:27:03,2458104.35212,19.11
2017-12-16 22:13:38,2458104.42613,19.12
2018-03-09 21:08:47,2458187.3811,19.16
2018-04-21 11:56:52,2458229.99782,19.26
2018-04-21 13:43:27,2458230.07184,19.2
2018-05-06 07:48:09,2458244.8251,19.23
2018-05-06 12:01:49,2458245.00126,19.28
2018-06-16 04:53:44,2458285.70398,19.33
2018-06-16 06:40:18,2458285.77799,19.28
2018-07-13 04:41:46,2458312.69567,19.29
2018-08-14 12:07:32,2458345.00523,19.29
2018-09-26 05:42:19,2458387.73772,19.29
2018-09-26 09:55:59,2458387.91388,19.3
2018-09-26 11:42:33,2458387.98788,19.3
2018-10-19 10:04:40,2458410.91991,19.35
2018-10-19 11:51:15,2458410.99392,19.38
2018-12-01 09:42:16,2458453.90435,19.46
2018-12-30 21:29:10,2458483.39525,19.47
2019-01-26 11:03:30,2458509.96076,19.47
2019-03-05 14:16:27,2458548.09476,19.21
2019-03-05 16:03:01,2458548.16876,19.35
2019-05-02 18:54:39,2458606.28795,19.33
2019-05-02 20:41:13,2458606.36196,19.32
2019-05-19 12:58:01,2458623.04029,19.27
2019-05-19 14:44:35,2458623.11429,19.29
2019-06-27 23:58:32,2458662.49898,19.29
2019-06-28 01:45:06,2458662.57299,19.27
2019-07-30 09:41:04,2458694.90352,19.16
2019-09-08 11:56:31,2458734.99758,19.15
2019-09-24 04:34:30,2458750.69063,19.02
2019-11-05 15:08:31,2458793.13091,19.04
2019-11-21 19:50:11,2458809.32652,19.02
2019-12-28 22:01:27,2458846.41767,18.94
2019-12-28 23:48:01,2458846.49168,18.91
2020-01-25 23:13:41,2458874.46784,18.9
2020-01-26 01:00:16,2458874.54185,18.92
2020-02-23 14:06:54,2458903.08813,18.85
2020-02-23 18:20:35,2458903.26429,18.87
2020-04-08 02:09:24,2458947.58986,18.81
2020-04-08 03:55:58,2458947.66387,18.78
2020-04-08 08:09:38,2458947.84002,18.79
2020-04-08 09:56:13,2458947.91404,18.81
2020-05-01 20:45:34,2458971.36498,18.8
2020-05-02 02:45:48,2458971.61514,18.83
2020-06-12 04:25:01,2459012.68404,18.82
2020-06-12 06:11:35,2459012.75804,18.79
2020-07-15 17:49:18,2459046.24257,18.86
2020-07-15 19:35:52,2459046.31657,18.89
2020-08-15 04:19:51,2459076.68045,18.98
2020-08-15 06:06:25,2459076.75446,18.96
2020-09-27 03:54:43,2459119.663,18.96
2020-09-27 05:41:18,2459119.73701,18.96
2020-09-27 09:54:57,2459119.91316,18.98
2020-10-20 05:50:05,2459142.74311,19.02
2020-10-20 10:03:45,2459142.91927,18.97
2020-12-01 21:41:03,2459185.40351,18.95
2020-12-01 23:27:38,2459185.47752,18.98
2020-12-31 17:13:50,2459215.21794,18.99
2021-01-26 23:02:00,2459241.45972,18.93
2021-03-06 08:14:14,2459279.84322,18.98
2021-05-03 06:52:29,2459337.78645,19.0
2021-05-03 08:39:03,2459337.86045,19.0
2021-07-28 17:39:42,2459424.2359,18.89
2021-08-27 17:28:47,2459454.22832,19.08
2021-08-27 19:15:21,2459454.30233,19.02
2021-10-12 05:05:12,2459499.71194,19.05
2021-10-12 06:51:46,2459499.78595,19.06
2021-10-12 11:05:26,2459499.96211,19.05
2021-11-04 11:13:37,2459522.96779,19.05
2021-11-04 13:00:12,2459523.04181,19.07
2021-11-04 17:13:52,2459523.21796,19.08
2021-12-13 18:37:10,2459562.27581,19.02
2022-01-14 04:27:38,2459593.68586,19.05
2022-02-06 22:20:31,2459617.43091,19.08
2022-02-07 00:07:06,2459617.50493,19.06
2022-03-18 21:10:59,2459657.38263,19.12
