#Date,JD(TCB),averagemag
2014-10-27 07:37:20,2456957.81759,18.65
2014-10-27 09:23:53,2456957.89159,18.65
2014-11-14 21:27:06,2456976.39382,18.65
2015-06-27 10:07:31,2457200.92189,18.7
2015-06-27 14:21:12,2457201.09806,18.67
2015-11-05 20:44:35,2457332.36429,18.75
2015-11-05 22:31:09,2457332.4383,18.77
2015-11-29 22:23:14,2457356.4328,18.78
2015-12-26 14:18:18,2457383.09604,18.85
2015-12-26 16:04:52,2457383.17005,18.84
2016-05-14 15:42:30,2457523.15451,18.9
2016-06-11 05:20:59,2457550.72291,18.87
2016-07-07 09:32:34,2457576.89762,18.84
2016-07-07 11:19:09,2457576.97163,18.81
2016-11-15 03:52:55,2457707.66175,18.8
2016-12-13 09:31:20,2457735.89676,18.82
2017-01-04 09:23:45,2457757.89149,18.8
2017-01-04 11:10:19,2457757.9655,18.76
2017-05-25 08:01:22,2457898.83428,18.84
2017-05-25 12:15:04,2457899.01046,18.82
2017-07-17 12:05:07,2457952.00355,18.87
2017-07-17 13:51:41,2457952.07756,18.87
2017-11-25 14:10:22,2458083.09053,18.81
2017-12-27 19:34:31,2458115.31564,18.8
2018-01-13 17:49:35,2458132.24277,18.83
2018-01-13 19:36:09,2458132.31677,18.83
2018-04-18 01:57:33,2458226.58163,18.82
2018-04-18 03:44:08,2458226.65565,18.81
2018-04-18 07:57:49,2458226.83182,18.81
2018-04-18 09:44:23,2458226.90582,18.81
2018-04-26 14:04:58,2458235.08678,18.82
2018-04-26 15:51:33,2458235.1608,18.83
2018-06-05 09:12:30,2458274.88368,18.85
2018-06-05 13:26:11,2458275.05985,18.87
2018-07-14 07:01:41,2458313.79284,18.8
2018-07-14 08:48:16,2458313.86685,18.84
2018-07-14 13:01:57,2458314.04302,18.81
2018-07-14 14:48:32,2458314.11704,18.81
2018-07-25 08:57:42,2458324.8734,18.87
2018-07-25 13:11:23,2458325.04957,18.84
2018-07-25 14:57:58,2458325.12359,18.81
2018-10-20 14:02:32,2458412.08509,18.83
2018-10-20 15:49:06,2458412.1591,18.78
2018-10-20 20:02:45,2458412.33524,18.84
2018-10-20 21:49:18,2458412.40924,18.84
2018-10-28 14:08:25,2458420.08918,18.83
2018-10-28 15:54:59,2458420.16318,18.81
2018-10-28 20:08:38,2458420.33933,18.8
2018-12-06 03:18:41,2458458.63797,18.77
2019-01-11 20:29:32,2458495.35384,18.74
2019-01-12 00:43:11,2458495.52999,18.77
2019-01-21 12:48:40,2458505.0338,18.76
2019-01-21 14:35:14,2458505.1078,18.76
2019-04-25 22:44:06,2458599.44729,18.71
2019-04-26 02:57:47,2458599.62346,18.7
2019-05-12 21:04:55,2458616.37841,18.65
2019-05-12 22:51:30,2458616.45243,18.72
2019-06-16 14:37:47,2458651.10957,18.65
2019-06-16 16:24:21,2458651.18358,18.65
2019-07-24 22:13:38,2458689.42613,18.6
2019-07-25 00:00:13,2458689.50015,18.63
2019-10-29 23:05:32,2458786.46218,18.6
2019-10-30 00:52:06,2458786.53618,18.66
2019-11-15 11:30:41,2458802.97964,18.61
2019-11-15 13:17:15,2458803.05365,18.61
2020-04-24 04:40:02,2458963.69447,18.44
2020-05-13 23:14:11,2458983.46818,18.45
2020-05-14 01:00:46,2458983.5422,18.31
2020-06-15 18:43:24,2459016.28014,18.42
2020-10-20 08:00:17,2459142.83353,18.5
2020-10-20 09:46:51,2459142.90753,18.52
2020-10-20 14:00:30,2459143.08368,18.48
2020-10-20 15:47:03,2459143.15767,18.55
2020-10-30 02:06:57,2459152.58816,18.56
2020-10-30 03:53:30,2459152.66215,18.53
2020-10-30 08:07:09,2459152.8383,18.52
2020-12-06 13:30:50,2459190.06308,18.61
2020-12-06 15:17:23,2459190.13707,18.62
2021-01-12 20:27:09,2459227.35219,18.65
2021-01-13 00:40:48,2459227.52833,18.66
2021-01-21 12:46:06,2459236.03201,18.64
2021-01-21 14:32:40,2459236.10602,18.63
2021-01-21 18:46:19,2459236.28216,18.68
2021-01-21 20:32:52,2459236.35616,18.68
2021-04-26 08:55:56,2459330.87218,18.79
2021-04-26 10:42:31,2459330.94619,18.77
2021-05-13 16:49:08,2459348.20079,18.82
2021-10-27 21:04:27,2459515.37809,18.66
2021-10-27 22:51:01,2459515.45209,18.61
2021-11-16 03:06:57,2459534.62983,18.62
2021-12-17 02:38:39,2459565.61017,18.56
2021-12-17 04:25:12,2459565.68417,18.58
2022-05-05 23:47:58,2459705.49164,18.53
2022-05-28 22:01:26,2459728.41766,18.59
2022-05-28 23:48:00,2459728.49167,18.61
2022-06-28 05:35:09,2459758.73274,18.64
2022-06-28 09:48:51,2459758.90892,18.64
