#Date,JD(TCB),averagemag
2015-03-04 04:33:45,2457085.6901,19.11
2015-03-04 08:47:26,2457085.86627,19.12
2015-03-04 14:47:42,2457086.11646,19.13
2015-03-14 14:56:08,2457096.12231,19.12
2015-03-14 16:42:43,2457096.19633,19.1
2015-03-14 20:56:24,2457096.3725,19.04
2015-03-14 22:42:59,2457096.44652,19.05
2015-05-31 21:38:31,2457174.40175,19.11
2015-06-01 01:52:12,2457174.57792,19.08
2015-06-01 03:38:46,2457174.65192,19.09
2015-09-14 04:02:56,2457279.6687,19.07
2015-09-14 05:49:30,2457279.74271,19.03
2015-10-01 10:05:41,2457296.92061,19.1
2015-11-03 11:17:10,2457329.97025,19.07
2016-03-10 17:39:02,2457458.23544,19.09
2016-03-30 09:59:13,2457477.91612,19.14
2016-05-01 03:41:05,2457509.65353,19.12
2016-09-22 17:06:44,2457654.21301,19.09
2016-09-22 18:53:18,2457654.28701,19.1
2016-10-15 06:46:40,2457676.78241,19.11
2016-11-12 22:39:07,2457705.44383,19.13
2016-11-13 00:25:41,2457705.51784,19.1
2017-03-20 12:24:32,2457833.01704,19.05
2017-03-20 14:11:06,2457833.09104,19.08
2017-04-14 18:21:37,2457858.26501,19.09
2017-04-14 20:08:12,2457858.33903,19.13
2017-05-11 18:13:39,2457885.25948,19.09
2017-05-11 20:00:14,2457885.3335,19.12
2017-10-02 19:35:14,2458029.31613,19.16
2017-10-02 21:21:47,2458029.39013,19.15
2018-04-29 19:20:29,2458238.30589,19.31
2018-04-29 21:07:04,2458238.37991,19.34
2018-10-13 08:42:37,2458404.86293,19.16
2018-10-13 10:29:11,2458404.93693,19.17
2018-11-14 03:59:36,2458436.66639,19.17
2018-11-14 08:13:15,2458436.84253,19.18
2018-12-02 08:16:21,2458454.84469,19.21
2018-12-02 10:02:54,2458454.91868,19.18
2019-04-10 14:46:53,2458584.11589,19.07
2019-04-10 16:33:28,2458584.18991,19.12
2019-05-15 02:19:23,2458618.59679,19.07
2019-05-15 04:05:58,2458618.67081,19.11
2019-05-31 10:13:53,2458634.92631,19.1
2019-05-31 14:27:35,2458635.10249,19.08
2019-11-17 18:20:34,2458805.26428,19.13
2019-11-17 20:07:07,2458805.33828,19.1
2019-12-02 18:41:37,2458820.2789,18.92
2019-12-02 20:28:11,2458820.35291,19.05
2020-03-04 03:24:14,2458912.64183,18.9
2020-03-04 07:37:55,2458912.818,18.89
2020-03-04 09:24:30,2458912.89201,18.9
2020-03-13 13:49:48,2458922.07625,18.91
2020-03-13 15:36:23,2458922.15027,18.91
2020-03-13 19:50:04,2458922.32644,18.9
2020-04-20 15:48:31,2458960.15869,18.79
2020-04-20 17:35:05,2458960.2327,18.77
2020-05-31 11:42:15,2459000.98767,18.81
2020-05-31 17:42:31,2459001.23786,18.59
2020-05-31 19:29:05,2459001.31186,18.82
2020-05-31 23:42:47,2459001.48804,18.81
2020-06-01 01:29:21,2459001.56205,18.81
2020-06-06 07:35:11,2459006.8161,18.86
2020-06-06 11:48:53,2459006.99228,18.84
2020-06-06 13:35:27,2459007.06628,18.81
2020-06-06 17:49:08,2459007.24245,18.91
2020-06-06 19:35:43,2459007.31647,18.87
2020-06-06 23:49:24,2459007.49264,18.86
2020-10-13 20:41:19,2459136.36203,18.88
2020-10-13 22:27:52,2459136.43602,18.9
2020-11-15 08:10:59,2459168.84096,18.87
2020-12-02 14:14:46,2459186.09359,18.88
2021-04-11 02:45:55,2459315.61522,18.9
2021-04-11 04:32:30,2459315.68924,18.86
2021-05-16 04:03:55,2459350.66939,18.91
2021-05-31 20:25:45,2459366.35122,18.87
2021-09-16 12:22:15,2459474.01545,18.98
2021-09-16 16:35:54,2459474.1916,18.77
2021-09-16 18:22:28,2459474.2656,18.97
2021-10-24 11:35:59,2459511.98332,18.93
2021-12-02 22:58:14,2459551.45711,18.94
2021-12-03 03:11:54,2459551.63326,18.95
2021-12-03 04:58:27,2459551.70726,18.96
2021-12-03 09:12:06,2459551.8834,18.92
2021-12-03 10:58:40,2459551.95741,18.92
2021-12-03 15:12:19,2459552.13355,18.91
2021-12-03 16:58:52,2459552.20755,18.9
2021-12-03 21:12:31,2459552.38369,18.91
2021-12-07 15:15:29,2459556.13575,18.93
2021-12-07 21:15:42,2459556.3859,18.89
2021-12-07 23:02:15,2459556.4599,18.91
2021-12-08 03:15:54,2459556.63604,18.97
2021-12-08 09:16:07,2459556.88619,18.91
2021-12-08 11:02:41,2459556.9602,18.92
2021-12-08 17:02:54,2459557.21035,18.92
2022-03-04 10:13:57,2459642.92635,18.91
2022-03-04 12:00:32,2459643.00037,18.91
2022-03-04 16:14:13,2459643.17654,18.92
2022-03-04 18:00:47,2459643.25054,18.83
2022-03-16 04:23:24,2459654.68292,18.82
2022-03-16 06:09:58,2459654.75692,18.83
2022-06-02 09:18:55,2459732.88814,18.84
2022-06-02 15:19:11,2459733.13832,18.87
2022-06-02 17:05:46,2459733.21234,18.87
2022-06-02 21:19:27,2459733.38851,18.88
2022-06-02 23:06:02,2459733.46252,18.8
2022-06-03 05:06:17,2459733.7127,18.86
2022-06-06 17:09:46,2459737.21512,18.91
2022-06-06 21:23:27,2459737.39128,18.89
2022-06-06 23:10:01,2459737.46529,18.9
2022-06-07 03:23:42,2459737.64146,18.89
2022-06-07 09:23:58,2459737.89164,18.78
2022-06-07 11:10:33,2459737.96566,18.9
2022-06-07 15:24:14,2459738.14183,18.85
2022-09-14 17:29:41,2459837.22895,18.76
2022-09-14 19:16:15,2459837.30295,18.8
2022-10-02 13:18:16,2459855.05435,18.78
