#Date,JD(TCB),averagemag
2015-03-10 08:37:34,2457091.85942,18.68
2015-03-10 14:37:50,2457092.10961,18.68
2015-03-10 16:24:24,2457092.18361,18.69
2015-09-16 06:05:14,2457281.75363,18.71
2015-10-04 00:06:42,2457299.50465,18.7
2015-11-06 17:28:19,2457333.228,18.69
2016-03-07 05:22:29,2457454.72395,18.69
2016-03-07 09:36:10,2457454.90012,18.73
2016-03-27 03:44:18,2457474.65576,18.72
2016-03-27 05:30:53,2457474.72978,18.72
2016-04-29 03:24:49,2457507.64223,18.75
2016-04-29 05:11:23,2457507.71624,18.67
2016-06-09 20:35:42,2457549.35813,18.71
2016-06-10 02:35:58,2457549.60831,18.75
2016-06-10 04:22:33,2457549.68233,18.69
2016-06-16 16:28:26,2457556.18641,18.71
2016-06-16 20:42:07,2457556.36258,18.71
2016-06-16 22:28:42,2457556.4366,18.71
2016-06-17 02:42:23,2457556.61277,18.7
2016-09-25 05:21:18,2457656.72313,18.64
2016-09-25 07:07:52,2457656.79713,18.66
2016-10-17 13:01:28,2457679.04269,18.61
2017-03-17 07:55:19,2457829.83008,18.66
2017-03-17 12:09:00,2457830.00625,18.65
2017-04-11 13:54:57,2457855.07983,18.69
2017-05-10 05:57:02,2457883.74794,18.65
2017-10-05 13:48:33,2458032.07538,18.58
2017-10-05 15:35:07,2458032.14939,18.56
2017-11-01 01:32:51,2458058.56448,18.62
2017-11-01 03:19:24,2458058.63847,18.62
2017-11-27 07:21:46,2458084.80678,18.64
2017-11-27 09:08:20,2458084.88079,18.65
2018-03-28 03:06:36,2458205.62958,18.59
2018-03-28 07:20:17,2458205.80575,18.55
2018-04-26 14:54:50,2458235.12141,18.59
2018-05-20 20:51:27,2458259.36906,18.55
2018-10-16 08:54:58,2458407.8715,18.63
2018-11-15 22:16:15,2458438.42795,18.57
2018-11-16 02:29:54,2458438.6041,18.55
2018-12-07 14:30:25,2458460.10446,18.57
2019-04-08 04:18:04,2458581.67921,18.53
2019-04-08 08:31:45,2458581.85538,18.49
2019-05-11 08:07:00,2458614.83819,18.49
2019-05-11 09:53:34,2458614.9122,18.47
2019-05-31 03:57:11,2458634.66471,18.51
2019-05-31 08:10:52,2458634.84088,18.53
2019-10-12 12:44:19,2458769.03078,18.49
2019-11-14 02:12:24,2458801.59194,18.5
2020-03-05 03:10:05,2458913.632,18.44
2020-03-05 07:23:46,2458913.80817,18.39
2020-03-17 09:27:51,2458925.89434,18.42
2020-04-23 21:43:02,2458963.40488,18.43
2020-04-23 23:29:37,2458963.4789,18.4
2020-05-31 17:26:03,2459001.22642,18.36
2020-05-31 19:12:37,2459001.30043,18.38
2020-06-01 01:12:53,2459001.55061,18.4
2020-06-15 07:31:47,2459015.81374,18.38
2020-06-15 11:45:28,2459015.98991,18.41
2020-06-15 13:32:03,2459016.06392,18.4
2020-06-15 17:45:43,2459016.24008,18.37
2020-08-31 17:38:30,2459093.23507,18.35
2020-08-31 21:52:09,2459093.41122,18.33
2020-09-01 03:52:22,2459093.66137,18.4
2020-09-01 05:38:56,2459093.73537,18.36
2020-09-01 09:52:35,2459093.91152,18.39
2020-09-01 11:39:09,2459093.98552,18.42
2020-09-01 15:52:48,2459094.16167,18.39
2020-09-01 17:39:22,2459094.23567,18.38
2020-09-01 23:39:34,2459094.48581,18.39
2020-09-02 05:39:47,2459094.73596,18.38
2020-09-02 11:40:00,2459094.98611,18.4
2020-09-02 15:53:39,2459095.16226,18.37
2020-09-02 17:40:13,2459095.23626,18.36
2020-09-02 21:53:52,2459095.41241,18.35
2020-09-02 23:40:25,2459095.4864,18.39
2020-09-03 03:54:05,2459095.66256,18.3
2020-09-03 05:40:38,2459095.73655,18.36
2020-09-03 09:54:18,2459095.91271,18.36
2020-09-03 15:54:31,2459096.16286,18.34
2020-09-03 17:41:05,2459096.23686,18.38
2020-09-03 21:54:44,2459096.41301,18.36
2020-10-16 20:53:34,2459139.37053,18.42
2020-11-16 20:27:34,2459170.35248,18.49
2020-11-16 22:14:07,2459170.42647,18.49
2020-12-07 20:29:01,2459191.35348,18.47
2020-12-07 22:15:34,2459191.42748,18.46
2021-04-08 16:17:03,2459313.17851,18.51
2021-04-08 20:30:44,2459313.35468,18.48
2021-05-31 14:09:02,2459366.08961,18.48
2021-05-31 15:55:36,2459366.16361,18.5
2021-09-07 16:45:49,2459465.19848,18.52
2021-09-07 18:32:23,2459465.27249,18.43
2021-09-20 06:37:53,2459477.77631,18.48
2021-09-20 10:51:32,2459477.95245,18.48
2021-10-27 16:01:03,2459515.1674,18.54
2021-10-27 17:47:36,2459515.24139,18.59
2021-12-03 05:14:55,2459551.71869,18.58
2021-12-03 09:28:34,2459551.89484,18.5
2021-12-16 15:36:03,2459565.15003,18.57
2021-12-16 17:22:37,2459565.22404,18.56
2021-12-16 21:36:16,2459565.40019,18.59
2021-12-16 23:22:50,2459565.47419,18.58
2022-02-28 05:41:51,2459638.7374,18.61
2022-02-28 09:55:32,2459638.91356,18.61
2022-02-28 11:42:07,2459638.98758,18.57
2022-02-28 15:55:48,2459639.16375,18.58
2022-02-28 17:42:22,2459639.23775,18.58
2022-03-12 04:05:23,2459650.67041,18.61
2022-03-12 05:51:57,2459650.74441,18.58
2022-04-19 21:41:51,2459689.40406,18.59
2022-05-27 04:49:39,2459726.70115,18.62
2022-06-10 04:57:45,2459740.70677,18.62
2022-06-10 09:11:26,2459740.88294,18.62
2022-09-16 23:45:30,2459839.48993,18.6
2022-09-17 01:32:03,2459839.56392,18.62
2022-10-05 05:46:24,2459857.74056,18.61
