#Date,JD(TCB),averagemag
2014-10-28 20:43:51,2456959.36378,17.07
2014-10-28 22:30:25,2456959.43779,17.05
2015-02-20 16:01:43,2457074.16786,17.0
2015-02-20 20:15:24,2457074.34403,17.01
2015-02-20 22:01:58,2457074.41803,17.0
2015-03-10 08:26:17,2457091.85159,17.0
2015-04-16 20:04:03,2457129.33615,17.03
2015-04-16 21:50:38,2457129.41016,16.98
2015-05-23 01:26:33,2457165.5601,16.96
2015-05-23 03:13:07,2457165.63411,16.95
2015-09-16 18:16:53,2457282.26172,17.07
2015-10-06 12:15:11,2457302.01054,17.02
2015-10-06 16:28:50,2457302.18669,17.08
2015-11-09 03:51:41,2457335.66089,17.04
2015-12-20 11:08:09,2457376.96399,17.05
2015-12-20 15:21:49,2457377.14015,17.04
2015-12-20 17:08:22,2457377.21414,17.04
2015-12-20 21:22:02,2457377.3903,17.07
2015-12-31 21:30:10,2457388.39595,17.05
2015-12-31 23:16:44,2457388.46995,17.03
2016-01-01 05:16:58,2457388.72012,17.05
2016-01-01 09:30:37,2457388.89626,17.04
2016-01-01 11:17:11,2457388.97027,17.04
2016-03-02 11:12:30,2457449.96701,17.02
2016-03-02 15:26:11,2457450.14318,17.05
2016-03-02 17:12:45,2457450.21719,17.05
2016-03-25 15:32:11,2457473.14735,17.0
2016-04-27 05:00:21,2457505.70858,17.05
2017-11-03 03:30:09,2458060.64594,17.02
2018-03-25 07:11:11,2458202.79943,17.0
2018-04-24 12:57:41,2458233.04006,17.03
2018-05-19 12:52:19,2458258.03633,17.02
2018-05-19 14:38:53,2458258.11034,17.01
2018-08-27 22:01:09,2458358.41747,17.01
2018-08-27 23:47:43,2458358.49147,17.02
2018-09-08 10:07:09,2458369.92163,17.03
2018-09-08 11:53:42,2458369.99563,17.02
2018-10-18 03:05:40,2458409.62894,17.03
2018-10-18 04:52:13,2458409.70293,17.03
2018-11-17 16:28:26,2458440.18641,17.04
2018-11-17 20:42:05,2458440.36256,17.06
2018-12-11 14:40:44,2458464.11162,17.06
2018-12-11 16:27:18,2458464.18563,17.01
2019-02-11 10:21:04,2458525.9313,17.02
2019-02-11 14:34:45,2458526.10747,17.04
2019-02-11 16:21:20,2458526.18148,17.05
2019-02-11 20:35:00,2458526.35764,17.03
2019-02-11 22:21:34,2458526.43164,17.05
2019-02-12 04:21:49,2458526.68182,17.02
2019-02-12 08:35:30,2458526.85799,17.04
2019-02-12 10:22:04,2458526.93199,17.02
2019-02-12 14:35:44,2458527.10815,17.03
2019-02-12 16:22:18,2458527.18215,17.02
2019-02-12 20:35:59,2458527.35832,17.05
2019-02-18 02:40:55,2458532.61175,17.02
2019-02-18 08:41:09,2458532.86191,17.02
2019-02-18 14:41:24,2458533.11208,17.0
2019-02-18 16:27:58,2458533.18609,17.0
2019-02-18 20:41:39,2458533.36226,17.03
2019-02-18 22:28:13,2458533.43626,17.02
2019-02-19 02:41:54,2458533.61243,17.02
2019-02-19 04:28:29,2458533.68645,17.01
2019-02-19 10:28:44,2458533.93662,17.05
2019-04-05 16:08:38,2458579.17266,17.02
2019-05-30 07:57:37,2458633.83168,17.01
2019-05-30 09:44:11,2458633.90568,17.01
2019-08-16 03:07:47,2458711.63041,17.03
2019-08-16 04:54:21,2458711.70441,17.03
2019-08-16 09:08:01,2458711.88057,16.99
2019-08-16 10:54:35,2458711.95457,17.0
2019-08-16 15:08:14,2458712.13072,17.02
2019-08-16 16:54:48,2458712.20472,17.05
2019-08-16 21:08:28,2458712.38088,17.05
2019-08-16 22:55:02,2458712.45488,17.02
2019-08-17 04:55:16,2458712.70505,17.02
2019-08-24 11:02:20,2458719.95995,17.03
2019-08-24 15:15:59,2458720.1361,17.04
2019-08-24 17:02:33,2458720.2101,17.02
2019-08-24 21:16:13,2458720.38626,17.01
2019-08-25 03:16:27,2458720.63642,16.99
2019-08-25 05:03:01,2458720.71043,17.03
2019-08-25 09:16:40,2458720.88657,17.03
2019-11-11 18:31:34,2458799.27192,17.0
2019-12-01 20:56:02,2458819.37225,17.01
2020-03-04 14:58:25,2458913.1239,16.93
2020-03-04 19:12:06,2458913.30007,16.96
2020-03-20 13:39:08,2458929.06884,16.9
2020-03-20 15:25:43,2458929.14286,16.91
2020-06-01 23:14:58,2459002.46873,16.72
2020-06-02 01:01:32,2459002.54273,16.75
2020-06-21 23:44:39,2459022.48934,16.78
2020-06-22 01:31:14,2459022.56336,16.77
2020-06-22 05:44:54,2459022.73951,16.8
2020-08-28 03:58:37,2459089.66571,17.0
2020-08-28 05:45:11,2459089.73971,16.99
2020-08-28 09:58:50,2459089.91586,17.01
2020-09-09 05:51:08,2459101.74384,16.99
2020-09-09 10:04:47,2459101.91999,17.01
2020-10-18 15:04:12,2459141.12792,17.06
2020-10-18 16:50:46,2459141.20192,17.02
2020-11-18 14:39:55,2459172.11105,17.02
2020-11-18 16:26:28,2459172.18505,17.03
2020-12-12 02:39:33,2459195.6108,17.04
2020-12-12 04:26:07,2459195.6848,17.06
2021-02-12 02:33:40,2459257.60671,17.06
2021-02-12 04:20:14,2459257.68072,16.99
2021-02-12 08:33:54,2459257.85688,17.03
2021-02-12 14:34:09,2459258.10705,17.05
2021-02-20 02:41:00,2459265.61181,17.04
2021-02-20 04:27:34,2459265.68581,17.01
2021-02-20 08:41:15,2459265.86198,17.05
2021-02-20 10:27:49,2459265.93598,17.04
2021-02-20 14:41:30,2459266.11215,17.01
2021-02-20 16:28:04,2459266.18616,17.05
2021-02-20 20:41:45,2459266.36233,17.02
2021-02-20 22:28:20,2459266.43634,17.03
2021-04-06 08:21:13,2459310.84807,17.02
2021-05-09 19:54:43,2459344.32966,17.02
2021-05-09 21:41:18,2459344.40368,17.05
2021-05-30 19:55:58,2459365.33053,17.03
2021-05-30 21:42:33,2459365.40455,17.04
2021-09-07 04:56:33,2459464.70594,17.05
2021-09-07 06:43:07,2459464.77994,17.05
2021-09-23 10:59:39,2459480.95809,17.01
2021-10-29 16:11:08,2459517.1744,17.03
2021-10-29 17:57:42,2459517.2484,17.06
2021-12-04 05:28:11,2459552.72791,17.06
2021-12-04 09:41:50,2459552.90405,17.04
2021-12-22 21:48:59,2459571.40902,17.03
2021-12-22 23:35:33,2459571.48302,17.03
2021-12-23 03:49:12,2459571.65917,17.06
2021-12-23 05:35:46,2459571.73317,17.06
2022-02-21 09:42:47,2459631.90471,17.04
2022-02-21 11:29:21,2459631.97872,17.01
2022-02-21 15:43:02,2459632.15488,17.02
2022-03-11 15:53:35,2459650.16221,17.05
2022-03-11 17:40:10,2459650.23623,17.01
2022-04-17 17:18:09,2459687.22094,17.03
2022-05-24 04:39:28,2459723.69407,17.01
2022-06-10 08:58:42,2459740.8741,17.03
2022-06-10 10:45:17,2459740.94811,17.04
2022-09-17 11:57:08,2459839.99801,17.03
2022-09-17 13:43:41,2459840.072,17.07
2022-10-07 17:55:00,2459860.24653,17.06
