#Date,JD(TCB),averagemag
2014-10-27 04:23:58,2456957.68331,18.74
2014-10-27 06:10:33,2456957.75733,18.7
2015-06-28 07:03:05,2457201.79381,18.69
2015-11-05 13:19:38,2457332.0553,18.72
2015-11-05 17:33:19,2457332.23147,18.73
2015-12-26 13:07:01,2457383.04654,18.73
2016-05-15 06:49:49,2457523.78459,18.71
2016-05-15 08:36:23,2457523.8586,18.67
2016-06-11 06:35:43,2457550.7748,18.67
2016-07-08 06:25:37,2457577.76779,18.78
2016-07-08 08:12:11,2457577.84179,18.74
2016-11-14 20:30:27,2457707.35448,18.82
2016-11-15 00:44:08,2457707.53065,18.76
2016-12-12 20:18:24,2457735.34611,18.83
2017-01-04 12:28:37,2457758.01987,18.88
2017-01-04 14:15:12,2457758.09389,18.85
2017-07-18 14:56:27,2457953.12253,18.81
2017-07-18 16:43:01,2457953.19654,18.79
2017-11-25 11:04:17,2458082.96131,18.69
2017-12-27 02:52:21,2458114.61969,18.69
2017-12-27 04:38:55,2458114.69369,18.68
2018-01-14 02:56:59,2458132.62291,18.67
2018-04-18 17:12:19,2458227.21689,18.7
2018-04-18 18:58:53,2458227.29089,18.69
2018-04-18 23:12:32,2458227.46704,18.7
2018-04-19 00:59:06,2458227.54104,18.7
2018-04-26 17:17:53,2458235.22075,18.68
2018-04-26 19:04:27,2458235.29476,18.7
2018-04-26 23:18:06,2458235.4709,18.7
2018-06-06 04:27:30,2458275.68576,18.73
2018-07-13 23:41:03,2458313.48684,18.7
2018-07-14 03:54:42,2458313.66299,18.73
2018-07-27 04:02:16,2458326.66824,18.74
2018-07-27 05:48:49,2458326.74223,18.73
2018-07-27 10:02:29,2458326.91839,18.74
2018-07-27 11:49:03,2458326.9924,18.75
2018-10-21 00:35:06,2458412.52438,18.7
2018-10-21 04:48:47,2458412.70054,18.68
2018-10-21 06:35:22,2458412.77456,18.71
2018-10-21 10:49:03,2458412.95073,18.68
2018-10-21 12:35:37,2458413.02473,18.68
2018-10-21 16:49:18,2458413.2009,18.66
2018-10-21 18:35:53,2458413.27492,18.64
2018-10-21 22:49:34,2458413.45109,18.67
2018-10-26 10:54:00,2458417.95417,18.67
2018-10-26 16:54:16,2458418.20435,18.73
2018-10-27 00:41:06,2458418.52854,18.7
2018-10-27 04:54:47,2458418.70471,18.67
2018-10-27 06:41:22,2458418.77873,18.68
2018-12-06 00:15:26,2458458.51072,18.66
2019-01-10 21:50:38,2458494.41016,18.62
2019-01-10 23:37:13,2458494.48418,18.58
2019-01-22 05:44:55,2458505.73953,18.63
2019-01-22 09:58:36,2458505.91569,18.63
2019-01-22 11:45:10,2458505.9897,18.61
2019-04-26 19:57:05,2458600.33131,18.61
2019-05-13 00:14:12,2458616.50986,18.65
2019-05-13 02:00:46,2458616.58387,18.63
2019-06-17 05:36:09,2458651.73344,18.62
2019-06-17 07:22:43,2458651.80744,18.61
2019-07-25 19:04:58,2458690.29512,18.62
2019-07-25 20:51:31,2458690.36911,18.62
2019-10-30 13:54:25,2458787.07946,18.58
2019-11-15 14:22:10,2458803.09873,18.55
2019-11-15 16:08:44,2458803.17273,18.57
2019-12-18 22:03:52,2458836.41935,18.54
2020-04-24 01:53:14,2458963.57863,18.45
2020-04-24 03:39:48,2458963.65264,18.45
2020-05-13 02:20:41,2458982.5977,18.44
2020-06-15 15:43:30,2459016.15521,18.38
2020-06-15 17:30:03,2459016.2292,18.38
2020-10-20 16:46:21,2459143.19885,18.39
2020-10-20 18:32:56,2459143.27287,18.37
2020-10-20 22:46:37,2459143.44904,18.33
2020-10-21 00:33:12,2459143.52306,18.34
2020-10-21 04:46:53,2459143.69922,18.32
2020-10-28 10:53:41,2459150.95395,18.37
2020-10-28 12:40:16,2459151.02796,18.39
2020-10-28 18:40:31,2459151.27814,18.33
2020-10-28 22:54:12,2459151.45431,18.4
2020-10-29 00:40:47,2459151.52832,18.36
2020-12-06 12:14:29,2459190.01006,18.35
2021-01-11 21:48:38,2459226.40877,18.38
2021-01-11 23:35:13,2459226.48279,18.35
2021-01-22 11:42:52,2459236.9881,18.34
2021-01-22 15:56:33,2459237.16427,18.32
2021-04-27 00:08:34,2459331.50595,18.36
2021-04-27 01:55:08,2459331.57995,18.34
2021-05-13 19:58:12,2459348.33208,18.43
2021-05-14 00:11:50,2459348.50822,18.37
2021-06-17 19:21:31,2459383.30661,18.42
2021-10-27 17:51:25,2459515.24404,18.43
2021-10-27 19:38:00,2459515.31806,18.4
2021-11-15 07:45:50,2459533.8235,18.43
2021-12-16 23:38:33,2459565.4851,18.37
2021-12-17 01:25:07,2459565.55911,18.39
2022-05-06 14:58:06,2459706.12368,18.29
2022-05-29 02:53:13,2459728.62029,18.28
2022-06-29 00:44:08,2459759.53065,18.31
2022-06-29 02:30:42,2459759.60465,18.33
