#Date,JD(TCB),averagemag
2014-08-21 09:21:28,2456890.88991,19.38
2014-08-21 13:35:08,2456891.06606,19.4
2014-08-21 15:21:43,2456891.14008,19.37
2014-08-21 19:35:23,2456891.31624,19.4
2014-08-21 21:21:57,2456891.39024,19.35
2014-08-22 01:35:38,2456891.56641,19.4
2014-08-22 07:35:53,2456891.81659,19.5
2014-08-22 09:22:27,2456891.89059,19.39
2014-08-22 13:36:08,2456892.06676,19.41
2014-08-22 19:36:23,2456892.31693,19.43
2014-11-08 21:01:25,2456970.37598,19.42
2014-11-28 08:59:19,2456989.87453,19.4
2015-01-02 21:55:14,2457025.41336,19.4
2015-02-01 19:47:22,2457055.32456,19.42
2015-02-01 21:33:56,2457055.39856,19.39
2015-03-02 09:23:58,2457083.89164,19.36
2015-04-13 08:59:38,2457125.87475,19.42
2015-11-20 04:02:01,2457346.66807,19.42
2015-12-11 05:43:01,2457367.73821,19.43
2015-12-11 09:56:40,2457367.91435,19.44
2016-01-14 09:14:18,2457401.88493,19.4
2016-01-14 11:00:52,2457401.95894,19.41
2016-03-14 08:46:11,2457461.86541,19.38
2016-03-14 10:32:45,2457461.93941,19.29
2016-05-24 20:21:09,2457533.34802,19.38
2016-05-24 22:07:43,2457533.42203,19.44
2016-08-03 13:26:10,2457604.05984,19.4
2016-08-03 15:12:44,2457604.13384,19.41
2016-11-30 05:03:32,2457722.71079,19.37
2016-11-30 06:50:06,2457722.78479,19.39
2017-01-25 00:07:07,2457778.50494,19.34
2017-03-01 11:17:30,2457813.97049,19.41
2017-03-27 23:17:47,2457840.47068,19.36
2017-03-28 01:04:22,2457840.5447,19.35
2017-05-09 06:41:37,2457882.7789,19.39
2017-05-09 10:55:18,2457882.95507,19.35
2017-06-08 16:48:24,2457913.20028,19.38
2017-06-08 18:34:58,2457913.27428,19.36
2017-07-10 04:33:34,2457944.68998,19.41
2017-07-10 06:20:09,2457944.76399,19.36
2017-09-06 03:48:50,2458002.65891,19.32
2017-09-06 05:35:25,2458002.73293,19.36
2017-10-17 08:32:02,2458043.85558,19.33
2017-10-17 10:18:36,2458043.92958,19.3
2018-01-05 19:15:28,2458124.30241,19.3
2018-02-06 00:50:17,2458155.53492,19.4
2018-03-15 20:10:32,2458193.34065,19.41
2018-03-16 00:24:12,2458193.51681,19.39
2018-03-16 02:10:46,2458193.59081,19.44
2018-04-11 06:27:01,2458219.76876,19.39
2018-04-11 08:13:36,2458219.84278,19.35
2018-05-22 07:51:24,2458260.82736,19.42
2018-05-22 12:05:05,2458261.00353,19.36
2018-06-23 07:38:10,2458292.81817,19.39
2018-07-22 07:26:51,2458321.81031,19.3
2018-08-30 10:46:36,2458360.94903,19.37
2018-09-17 18:35:31,2458379.27466,19.41
2018-10-28 21:30:41,2458420.39631,19.48
2018-10-28 23:17:15,2458420.47031,19.35
2018-11-15 21:31:02,2458438.39655,19.43
2018-11-15 23:17:36,2458438.47056,19.43
2019-01-19 08:15:04,2458502.8438,19.36
2019-02-18 03:44:25,2458532.65584,19.44
2019-03-30 09:18:54,2458572.88813,19.48
2019-03-30 13:32:34,2458573.06428,19.42
2019-04-26 01:35:48,2458599.56653,19.4
2019-04-26 03:22:22,2458599.64053,19.37
2019-06-04 03:00:54,2458638.62563,19.4
2019-06-04 07:14:34,2458638.80178,19.38
2019-07-07 18:53:47,2458672.28735,19.37
2019-07-07 20:40:21,2458672.36135,19.44
2019-07-22 20:43:14,2458687.36336,19.34
2019-07-22 22:29:49,2458687.43737,19.37
2019-08-23 09:58:00,2458718.91528,19.36
2019-08-23 11:44:34,2458718.98928,19.39
2019-10-03 23:41:05,2458760.48686,19.32
2019-10-04 01:27:39,2458760.56087,19.32
2019-10-30 06:27:55,2458786.76939,19.38
2019-10-30 08:14:29,2458786.84339,19.3
2019-12-06 14:01:28,2458824.08435,19.44
2019-12-06 15:48:02,2458824.15836,19.43
2020-01-07 03:24:37,2458855.64209,19.41
2020-01-07 05:11:11,2458855.7161,19.49
2020-01-31 22:20:38,2458880.431,19.42
2020-03-10 06:36:51,2458918.77559,19.39
2020-03-27 02:52:09,2458935.61955,19.44
2020-05-07 09:41:01,2458976.90348,19.42
2020-05-27 22:21:22,2458997.4315,19.38
2020-07-04 12:20:39,2459035.01434,16.41
2020-07-04 14:07:13,2459035.08834,16.38
2020-09-18 06:33:21,2459110.77316,19.39
2020-09-18 10:47:01,2459110.94932,19.33
2020-10-29 09:28:30,2459151.89479,19.3
2020-10-29 11:15:04,2459151.9688,19.4
2021-01-20 02:13:02,2459234.59238,19.28
2021-02-18 19:56:37,2459264.33098,19.39
2021-02-18 21:43:11,2459264.40499,19.34
2021-03-31 03:17:36,2459304.63722,19.41
2021-03-31 07:31:16,2459304.81338,19.44
2021-03-31 09:17:50,2459304.88738,19.41
2021-04-26 19:34:23,2459331.31554,19.39
2021-04-26 21:20:57,2459331.38955,19.39
2021-06-04 19:13:12,2459370.30083,19.44
2021-07-08 12:51:48,2459404.03597,19.46
2021-07-08 14:38:22,2459404.10998,19.42
2021-08-03 20:30:55,2459430.3548,19.34
2021-09-12 23:42:26,2459470.4878,19.46
2021-09-13 01:29:01,2459470.56182,19.41
2021-09-30 01:36:44,2459487.56718,19.37
2021-11-09 16:28:03,2459528.18615,19.33
2021-11-09 18:14:37,2459528.26015,19.33
2021-11-29 10:25:46,2459547.93456,19.4
2022-01-03 15:35:45,2459583.14983,19.44
2022-01-03 17:22:19,2459583.22383,19.47
2022-02-02 21:14:08,2459613.38481,19.36
2022-02-02 23:00:42,2459613.45882,19.4
2022-03-03 09:04:53,2459641.87839,19.41
2022-04-14 08:40:33,2459683.86149,19.45
2022-04-14 10:27:08,2459683.93551,19.53
2022-05-11 20:41:59,2459711.36249,19.42
2022-06-17 10:08:46,2459747.92275,19.43
2022-08-15 15:35:10,2459807.14942,19.38
2022-09-25 12:40:17,2459848.02797,19.37
2022-10-11 20:30:10,2459864.35428,19.43
2022-10-12 00:43:50,2459864.53044,19.42
