#Date,JD(TCB),averagemag
2016-01-15 17:30:18,2457403.22938,19.28
2016-01-15 19:16:53,2457403.30339,19.23
2016-07-10 17:12:32,2457580.21704,19.54
2016-07-10 18:59:06,2457580.29104,19.62
2018-09-24 20:21:33,2458386.3483,20.88
2018-12-28 22:55:57,2458481.45552,21.03
2019-04-07 17:51:21,2458581.24399,20.74
2019-06-23 16:26:37,2458658.18515,20.38
2019-06-24 12:13:50,2458659.00961,21.09
2019-07-01 10:32:56,2458665.93954,21.2
2019-09-24 22:48:49,2458751.45057,21.11
2020-07-07 22:09:11,2459038.42304,18.73
2020-07-07 23:55:45,2459038.49705,18.79
2021-01-09 05:01:02,2459223.70905,20.07
2021-03-22 09:52:49,2459295.91168,17.84
2021-03-22 11:39:24,2459295.98569,17.81
2021-04-08 04:03:45,2459312.66927,21.02
2021-07-03 00:18:29,2459398.51284,20.92
2022-02-26 01:12:53,2459636.55061,17.99
2022-10-04 17:58:33,2459857.24899,20.94
