#Date,JD(TCB),averagemag
2014-08-09 05:16:10,2456878.71956,18.69
2014-08-09 09:29:50,2456878.89572,18.76
2014-08-09 11:16:24,2456878.96972,18.73
2014-08-09 15:30:05,2456879.14589,18.75
2014-08-09 17:16:39,2456879.2199,18.72
2014-08-09 21:30:20,2456879.39606,18.71
2014-08-10 03:30:35,2456879.64624,18.73
2014-08-10 05:17:09,2456879.72024,18.7
2014-08-10 09:30:49,2456879.8964,18.71
2014-08-10 11:17:24,2456879.97042,18.72
2014-08-10 15:31:04,2456880.14657,18.75
2014-08-10 21:31:19,2456880.39675,18.78
2014-08-24 21:45:54,2456894.40688,18.74
2014-11-06 20:38:17,2456968.35992,18.69
2014-11-07 00:51:56,2456968.53606,18.72
2015-01-12 23:48:40,2457035.49213,18.71
2015-02-03 23:41:21,2457057.48705,18.75
2015-02-04 01:27:55,2457057.56105,18.74
2015-03-15 06:15:26,2457096.76072,18.75
2015-04-01 04:31:35,2457113.6886,18.79
2015-04-01 06:18:10,2457113.76262,18.83
2015-09-11 20:27:47,2457277.35263,18.7
2015-09-11 22:14:21,2457277.42663,18.72
2015-10-23 09:50:21,2457318.90997,18.71
2015-10-23 14:04:00,2457319.08611,18.73
2015-11-21 03:41:53,2457347.65409,18.75
2016-01-25 20:32:44,2457413.35606,18.73
2016-02-15 06:42:25,2457433.77946,18.71
2016-03-26 05:26:58,2457473.72706,18.61
2016-04-12 13:16:07,2457491.05286,18.64
2016-05-22 10:26:55,2457530.93536,18.66
2016-05-22 12:13:29,2457531.00936,18.57
2016-06-17 04:20:02,2457556.68058,18.64
2016-06-17 06:06:37,2457556.75459,18.62
2016-07-21 09:56:05,2457590.91395,18.72
2016-07-21 11:42:39,2457590.98795,18.64
2016-08-28 09:35:32,2457628.89968,18.58
2016-08-28 11:22:06,2457628.97368,18.63
2016-09-24 21:37:02,2457656.40072,18.61
2016-09-24 23:23:37,2457656.47473,18.62
2016-11-04 09:12:18,2457696.88354,18.69
2016-12-04 02:57:12,2457726.62306,18.69
2017-02-06 13:43:28,2457791.07185,18.69
2017-02-06 15:30:02,2457791.14586,18.65
2017-02-25 10:51:16,2457809.95227,18.71
2017-04-06 21:34:42,2457850.3991,18.65
2017-04-25 07:50:22,2457868.82664,18.67
2017-08-03 06:27:49,2457968.76932,18.6
2017-10-09 06:08:00,2458035.75556,18.52
2017-11-16 17:42:32,2458074.23787,18.59
2017-11-16 19:29:06,2458074.31188,18.63
2017-12-17 17:19:58,2458105.2222,18.56
2018-03-08 22:03:53,2458186.41936,18.65
2018-03-08 23:50:27,2458186.49337,18.66
2018-04-18 14:48:08,2458227.11676,18.64
2018-06-15 09:47:14,2458284.9078,18.65
2018-07-15 21:33:37,2458315.39834,18.68
2018-08-16 07:37:20,2458346.81759,18.71
2018-09-26 13:14:54,2458388.05201,18.72
2018-09-26 15:01:28,2458388.12602,18.7
2018-10-23 19:15:09,2458415.30219,18.74
2018-10-23 21:01:43,2458415.37619,18.68
2018-11-28 18:49:41,2458451.2845,18.69
2018-11-28 20:36:15,2458451.35851,18.72
2018-12-31 00:19:00,2458483.51319,18.68
2018-12-31 02:05:34,2458483.5872,18.68
2019-01-24 01:54:30,2458507.57951,18.69
2019-03-20 11:02:10,2458562.95984,18.62
2019-03-20 12:48:45,2458563.03385,18.62
2019-04-30 03:49:10,2458603.65914,18.64
2019-04-30 05:35:44,2458603.73315,18.6
2019-05-21 15:47:58,2458625.15831,18.62
2019-05-21 17:34:33,2458625.23233,18.6
2019-06-27 16:54:30,2458662.20451,18.61
2019-07-27 22:59:21,2458692.45788,18.6
2019-09-06 07:22:11,2458732.80707,18.56
2019-09-06 09:08:45,2458732.88108,18.53
2019-09-23 19:52:49,2458750.32834,18.57
2019-11-03 04:22:19,2458790.68216,18.59
2019-11-23 23:03:53,2458811.46103,18.54
2019-12-28 14:37:44,2458846.10954,18.55
2020-01-28 15:55:28,2458877.16352,18.56
2020-01-28 20:09:08,2458877.33968,18.53
2020-02-25 21:08:05,2458905.38061,18.53
2020-02-25 22:54:39,2458905.45462,18.56
2020-04-07 00:36:20,2458946.52523,18.51
2020-04-07 04:50:00,2458946.70139,18.5
2020-05-05 11:46:49,2458974.99084,18.4
2020-05-05 13:33:23,2458975.06485,18.41
2020-07-15 09:01:15,2459045.87587,18.33
2020-07-15 10:47:49,2459045.94987,18.32
2020-08-16 21:22:32,2459078.39065,18.34
2020-08-17 01:36:13,2459078.56682,18.33
2020-09-27 07:13:38,2459119.80113,18.34
2020-09-27 09:00:12,2459119.87514,18.39
2020-10-24 13:13:36,2459147.05111,18.37
2020-10-24 15:00:10,2459147.12512,18.34
2020-12-31 18:16:50,2459215.26169,18.35
2020-12-31 20:03:24,2459215.33569,18.38
2021-01-24 13:52:39,2459239.07823,18.41
2021-03-04 00:44:21,2459277.5308,18.43
2021-03-21 05:00:06,2459294.7084,18.44
2021-04-30 17:33:46,2459335.23178,18.44
2021-05-22 09:45:52,2459356.90685,18.53
2021-06-28 09:06:42,2459393.87965,18.51
2021-07-31 14:49:52,2459427.11796,18.48
2021-07-31 16:36:26,2459427.19197,18.5
2021-08-30 04:32:09,2459456.68899,18.49
2021-08-30 08:45:49,2459456.86515,18.43
2021-10-11 02:22:31,2459498.59897,18.51
2021-10-11 04:09:05,2459498.67297,18.49
2021-11-08 02:18:55,2459526.59647,18.46
2022-01-13 21:01:29,2459593.37603,18.47
2022-02-04 19:08:06,2459615.29729,18.48
2022-02-04 20:54:39,2459615.37128,18.49
2022-03-16 01:41:45,2459654.57066,18.48
2022-03-16 05:55:25,2459654.74682,18.51
2022-04-02 01:44:29,2459671.57256,18.47
2022-05-12 10:49:54,2459711.95132,18.45
2022-05-12 12:36:28,2459712.02532,18.45
2022-06-05 04:45:52,2459735.69852,18.46
2022-06-05 06:32:27,2459735.77253,18.45
2022-07-10 18:01:16,2459771.25088,18.47
2022-08-15 09:55:31,2459806.91355,18.43
2022-08-15 11:42:06,2459806.98757,18.49
2022-09-12 21:55:16,2459835.41338,18.47
2022-09-12 23:41:50,2459835.48738,18.48
2022-10-24 09:31:15,2459876.8967,18.48
2022-10-24 11:17:49,2459876.97071,18.48
